length,p_a
149.0,0.0
149.0,0.0
149.0,0.0
149.0,0.0
149.0,0.0
149.0,0.0
149.0,0.0
149.0,0.0
149.0,0.0
149.0,0.0
149.0,0.0
149.0,0.0
149.0,0.0
149.0,0.0
149.0,0.0
149.0,0.0
149.0,0.0
149.0,0.0
149.0,0.0
149.0,0.0
149.0,0.0
149.0,0.0
149.0,0.0
149.0,0.0
149.0,0.0
149.0,0.0
149.0,0.0
149.0,0.0
149.0,0.0
149.0,0.0
149.0,0.0
149.0,0.0
149.0,0.0
149.0,0.0
149.0,0.0
149.0,0.0
149.0,0.0
149.0,0.0
149.0,0.0
149.0,0.0
149.0,0.0
149.0,0.0
149.0,0.0
149.0,0.0
149.0,0.0
149.0,0.0
149.0,0.0
149.0,0.0
149.0,0.0
149.0,0.0
149.0,0.0
149.0,0.0
149.0,0.0
149.0,0.0
149.0,0.0
149.0,0.0
149.0,0.0
149.0,0.0
149.0,0.0
149.0,0.0
149.0,0.0
149.0,0.0
149.0,0.0
149.0,0.0
149.0,0.0
149.0,0.0
149.0,0.0
149.0,0.0
149.0,0.0
149.0,0.0
149.0,0.0
149.0,0.0
149.0,0.0
149.0,0.0
149.0,0.0
149.0,0.0
149.0,0.0
149.0,0.0
149.0,0.0
149.0,0.0
149.0,0.0
149.0,0.0
149.0,0.0
149.0,0.0
149.0,0.0
149.0,0.0
149.0,0.0
149.0,0.0
149.0,0.0
149.0,0.0
149.0,0.0
149.0,0.0
149.0,0.0
149.0,0.0
149.0,0.0
149.0,0.0
149.0,0.0
149.0,0.0
149.0,0.0
149.0,0.0
149.0,0.0
149.0,0.0
149.0,0.0
149.0,0.0
149.0,0.0
149.0,0.0
149.0,0.0
149.0,0.0
149.0,0.0
149.0,0.0
149.0,0.0
149.0,0.0
149.0,0.0
149.0,0.0
149.0,0.0
149.0,0.0
149.0,0.0
149.0,0.0
149.0,0.0
149.0,0.0
149.0,0.0
149.0,0.0
149.0,0.0
149.0,0.0
149.0,0.0
149.0,0.0
149.0,0.0
149.0,0.0
149.0,0.0
149.0,0.0
149.0,0.0
149.0,0.0
149.0,0.0
149.0,0.0
149.0,0.0
149.0,0.0
149.0,0.0
149.0,0.0
149.0,0.0
149.0,0.0
149.0,0.0
149.0,0.0
149.0,0.0
149.0,0.0
149.0,0.0
149.0,0.0
149.0,0.0
149.0,0.0
149.0,0.0
149.0,0.0
42.0,0.2
202.0,0.2
202.0,0.2
202.0,0.2
110.0,0.2
202.0,0.2
202.0,0.2
202.0,0.2
202.0,0.2
202.0,0.2
202.0,0.2
202.0,0.2
202.0,0.2
24.0,0.2
202.0,0.2
202.0,0.2
202.0,0.2
202.0,0.2
202.0,0.2
202.0,0.2
40.0,0.2
33.0,0.2
202.0,0.2
202.0,0.2
202.0,0.2
202.0,0.2
202.0,0.2
30.0,0.2
60.0,0.2
202.0,0.2
202.0,0.2
202.0,0.2
202.0,0.2
202.0,0.2
202.0,0.2
202.0,0.2
202.0,0.2
18.0,0.2
202.0,0.2
202.0,0.2
202.0,0.2
24.0,0.2
202.0,0.2
202.0,0.2
202.0,0.2
202.0,0.2
202.0,0.2
202.0,0.2
202.0,0.2
202.0,0.2
36.0,0.2
20.0,0.2
202.0,0.2
202.0,0.2
202.0,0.2
202.0,0.2
202.0,0.2
202.0,0.2
202.0,0.2
202.0,0.2
202.0,0.2
202.0,0.2
202.0,0.2
202.0,0.2
202.0,0.2
202.0,0.2
202.0,0.2
202.0,0.2
202.0,0.2
202.0,0.2
202.0,0.2
202.0,0.2
202.0,0.2
202.0,0.2
202.0,0.2
202.0,0.2
202.0,0.2
202.0,0.2
202.0,0.2
202.0,0.2
44.0,0.2
202.0,0.2
202.0,0.2
202.0,0.2
202.0,0.2
60.0,0.2
202.0,0.2
202.0,0.2
202.0,0.2
202.0,0.2
40.0,0.2
202.0,0.2
202.0,0.2
202.0,0.2
202.0,0.2
202.0,0.2
202.0,0.2
202.0,0.2
202.0,0.2
202.0,0.2
202.0,0.2
202.0,0.2
202.0,0.2
202.0,0.2
202.0,0.2
42.0,0.2
202.0,0.2
72.0,0.2
202.0,0.2
30.0,0.2
202.0,0.2
120.0,0.2
202.0,0.2
202.0,0.2
202.0,0.2
42.0,0.2
202.0,0.2
202.0,0.2
168.0,0.2
72.0,0.2
202.0,0.2
202.0,0.2
120.0,0.2
202.0,0.2
202.0,0.2
202.0,0.2
202.0,0.2
202.0,0.2
202.0,0.2
202.0,0.2
202.0,0.2
202.0,0.2
18.0,0.2
202.0,0.2
202.0,0.2
202.0,0.2
202.0,0.2
202.0,0.2
202.0,0.2
70.0,0.2
44.0,0.2
202.0,0.2
180.0,0.2
202.0,0.2
202.0,0.2
202.0,0.2
202.0,0.2
202.0,0.2
202.0,0.2
202.0,0.2
24.0,0.4
120.0,0.4
12.0,0.4
24.0,0.4
12.0,0.4
60.0,0.4
24.0,0.4
12.0,0.4
60.0,0.4
60.0,0.4
120.0,0.4
30.0,0.4
120.0,0.4
24.0,0.4
12.0,0.4
60.0,0.4
120.0,0.4
60.0,0.4
60.0,0.4
