length,$p_{stable}$,SpinGlass,Magnetization
74.0,0,1.0,0.02702702702702703
74.0,0,-3.0,0.0810810810810811
74.0,0,1.0,0.0810810810810811
74.0,0,-11.0,0.0810810810810811
74.0,0,-7.0,0.13513513513513514
74.0,0,9.0,0.13513513513513514
74.0,0,5.0,0.02702702702702703
74.0,0,-23.0,0.10810810810810811
74.0,0,13.0,0.02702702702702703
74.0,0,5.0,0.013333333333333334
74.0,0,-11.0,0.13513513513513511
74.0,0,13.0,0.02702702702702703
74.0,0,-7.0,0.21621621621621617
74.0,0,-11.0,0.05405405405405406
74.0,0,-11.0,0.02702702702702703
74.0,0,13.0,0.0810810810810811
74.0,0,1.0,0.1891891891891892
74.0,0,5.0,0.1621621621621622
74.0,0,-3.0,0.13513513513513514
74.0,0,-3.0,0.10810810810810811
74.0,0,-3.0,0.1621621621621622
74.0,0,-3.0,0.10810810810810811
74.0,0,1.0,0.10810810810810811
74.0,0,1.0,0.05405405405405405
74.0,0,-7.0,0.0810810810810811
74.0,0,1.0,0.013333333333333334
74.0,0,-11.0,0.10810810810810811
74.0,0,-7.0,0.05405405405405405
74.0,0,-11.0,0.2972972972972973
74.0,0,-11.0,0.027027027027027032
74.0,0,-19.0,0.02702702702702703
74.0,0,-3.0,0.02702702702702703
74.0,0,-15.0,0.21621621621621617
74.0,0,-7.0,0.10810810810810811
74.0,0,1.0,0.02702702702702703
74.0,0,-3.0,0.13513513513513514
74.0,0,9.0,0.08108108108108109
74.0,0,1.0,0.02702702702702703
74.0,0,-7.0,0.05405405405405406
74.0,0,-19.0,0.05405405405405405
74.0,0,-7.0,0.10810810810810811
74.0,0,-3.0,0.18918918918918917
74.0,0,-7.0,0.18918918918918917
74.0,0,21.0,0.013333333333333334
74.0,0,9.0,0.05405405405405405
74.0,0,-3.0,0.0810810810810811
74.0,0,1.0,0.013333333333333334
74.0,0,1.0,0.08108108108108109
74.0,0,-7.0,0.1891891891891892
74.0,0,5.0,0.16216216216216217
74.0,0,-11.0,0.18918918918918917
74.0,0,-7.0,0.13513513513513514
74.0,0,1.0,0.027027027027027032
74.0,0,-7.0,0.02702702702702703
74.0,0,-15.0,0.1621621621621622
74.0,0,-11.0,0.0810810810810811
74.0,0,-3.0,0.02702702702702703
74.0,0,-15.0,0.05405405405405404
74.0,0,-3.0,0.05405405405405405
74.0,0,-7.0,0.02702702702702703
74.0,0,-7.0,0.10810810810810811
74.0,0,-3.0,0.0810810810810811
74.0,0,1.0,0.2972972972972973
74.0,0,-3.0,0.05405405405405406
74.0,0,1.0,0.05405405405405404
74.0,0,-15.0,0.05405405405405406
74.0,0,-3.0,0.05405405405405405
74.0,0,-3.0,0.02702702702702703
74.0,0,9.0,0.16216216216216217
74.0,0,-7.0,0.013333333333333334
74.0,0,-7.0,0.0810810810810811
74.0,0,-7.0,0.10810810810810811
74.0,0,-3.0,0.21621621621621617
74.0,0,1.0,0.16216216216216217
74.0,0,-11.0,0.0810810810810811
74.0,0,-3.0,0.02702702702702703
74.0,0,5.0,0.05405405405405406
74.0,0,-3.0,0.18918918918918917
74.0,0,-15.0,0.10810810810810811
74.0,0,1.0,0.027027027027027032
74.0,0,1.0,0.0810810810810811
74.0,0,-7.0,0.10810810810810811
