length,$p_{stable}$,SpinGlass,Magnetization
43.0,$0$,-47.0,0.4883720930232558
43.0,$0$,-55.0,0.16279069767441862
43.0,$0$,-67.0,0.20930232558139536
43.0,$0$,-47.0,0.16279069767441862
43.0,$0$,-71.0,0.9534883720930234
43.0,$0$,-59.0,0.054883720930232555
43.0,$0$,-67.0,0.8604651162790697
43.0,$0$,-51.0,0.34883720930232553
43.0,$0$,-51.0,0.25581395348837205
43.0,$0$,-67.0,0.20930232558139536
43.0,$0$,-63.0,0.3953488372093023
43.0,$0$,-59.0,0.3488372093023256
1.0,$0$,-75.0,1.0
43.0,$0$,-51.0,0.08155038759689921
43.0,$0$,-71.0,0.9534883720930234
43.0,$0$,-67.0,0.7209302325581395
43.0,$0$,-67.0,0.3488372093023256
43.0,$0$,-71.0,0.03503875968992248
43.0,$0$,-59.0,0.0765891472868217
1.0,$0$,-75.0,1.0
1.0,$0$,-75.0,1.0
1.0,$0$,-75.0,1.0
43.0,$0$,-59.0,0.20930232558139536
43.0,$0$,-63.0,0.07410852713178295
43.0,$0$,-67.0,0.8604651162790697
43.0,$0$,-67.0,0.8604651162790697
43.0,$0$,-47.0,0.11751937984496125
43.0,$0$,-71.0,0.813953488372093
43.0,$0$,-59.0,0.05116279069767441
43.0,$0$,-51.0,0.16465116279069766
43.0,$0$,-67.0,0.6744186046511628
43.0,$0$,-63.0,0.2558139534883721
43.0,$0$,-67.0,0.7674418604651163
43.0,$0$,-63.0,0.3953488372093023
43.0,$0$,-63.0,0.3023255813953488
43.0,$0$,-63.0,0.5348837209302325
43.0,$0$,-63.0,0.6279069767441862
43.0,$0$,-51.0,0.2558139534883721
43.0,$0$,-63.0,0.07472868217054264
43.0,$0$,-71.0,0.3488372093023256
43.0,$0$,-67.0,0.813953488372093
43.0,$0$,-51.0,0.3953488372093023
43.0,$0$,-55.0,0.6744186046511628
43.0,$0$,-71.0,0.11627906976744189
43.0,$0$,-55.0,0.2558139534883721
43.0,$0$,-55.0,0.07720930232558139
43.0,$0$,-71.0,0.8604651162790697
43.0,$0$,-55.0,0.04496124031007752
43.0,$0$,-71.0,0.9069767441860465
43.0,$0$,-55.0,0.5813953488372091
43.0,$0$,-51.0,0.3023255813953488
43.0,$0$,-51.0,0.16341085271317832
43.0,$0$,-67.0,0.48837209302325574
43.0,$0$,-63.0,0.5813953488372093
43.0,$0$,-55.0,0.07534883720930231
43.0,$0$,-67.0,0.9069767441860465
43.0,$0$,-55.0,0.5813953488372093
1.0,$0$,-75.0,1.0
43.0,$0$,-55.0,0.3023255813953488
43.0,$0$,-67.0,0.813953488372093
43.0,$0$,-67.0,0.20930232558139536
43.0,$0$,-67.0,0.4883720930232558
43.0,$0$,-51.0,0.5348837209302325
43.0,$0$,-59.0,0.48837209302325574
43.0,$0$,-71.0,0.7674418604651163
32.0,$0$,-71.0,0.9375
43.0,$0$,-63.0,0.2093023255813954
43.0,$0$,-67.0,0.627906976744186
43.0,$0$,-59.0,0.2558139534883721
43.0,$0$,-63.0,0.3023255813953488
43.0,$0$,-59.0,0.5348837209302325
43.0,$0$,-47.0,0.07596899224806201
43.0,$0$,-67.0,0.07100775193798449
43.0,$0$,-67.0,0.03689922480620156
43.0,$0$,-51.0,0.11627906976744186
43.0,$0$,-55.0,0.5348837209302325
43.0,$0$,-59.0,0.34883720930232565
43.0,$0$,-59.0,0.4883720930232558
43.0,$0$,-59.0,0.07844961240310078
32.0,$0$,-67.0,0.25
32.0,$0$,-71.0,0.9375
32.0,$0$,-67.0,0.875
43.0,$0$,-59.0,0.5813953488372093
1.0,$0$,-75.0,1.0
43.0,$0$,-55.0,0.5348837209302325
43.0,$0$,-51.0,0.3023255813953489
43.0,$0$,-67.0,0.3023255813953488
43.0,$0$,-63.0,0.3488372093023256
43.0,$0$,-63.0,0.07410852713178294
43.0,$0$,-71.0,0.9069767441860463
43.0,$0$,-67.0,0.16279069767441862
43.0,$0$,-67.0,0.8604651162790697
43.0,$0$,-63.0,0.7209302325581395
43.0,$0$,-63.0,0.7209302325581396
1.0,$0$,-75.0,1.0
43.0,$0$,-51.0,0.1634108527131783
43.0,$0$,-71.0,0.86046511627907
1.0,$0$,-75.0,1.0
43.0,$0$,-59.0,0.7209302325581396
43.0,$0$,-59.0,0.16279069767441862
1.0,$0$,-75.0,1.0
43.0,$0$,-63.0,0.627906976744186
43.0,$0$,-63.0,0.6279069767441859
43.0,$0$,-55.0,0.3953488372093023
43.0,$0$,-59.0,0.11937984496124034
1.0,$0$,-75.0,1.0
43.0,$0$,-63.0,0.7209302325581395
43.0,$0$,-59.0,0.6744186046511629
32.0,$0$,-67.0,0.875
43.0,$0$,-71.0,0.5348837209302325
43.0,$0$,-55.0,0.3023255813953488
43.0,$0$,-63.0,0.6744186046511629
43.0,$0$,-71.0,0.9534883720930234
43.0,$0$,-55.0,0.44186046511627913
43.0,$0$,-59.0,0.4883720930232558
43.0,$0$,-63.0,0.7674418604651163
43.0,$0$,-59.0,0.5348837209302325
43.0,$0$,-63.0,0.3953488372093023
43.0,$0$,-55.0,0.07844961240310079
43.0,$0$,-59.0,0.2558139534883721
43.0,$0$,-51.0,0.5813953488372092
1.0,$0$,-75.0,1.0
43.0,$0$,-59.0,0.5348837209302325
43.0,$0$,-71.0,0.9534883720930234
43.0,$0$,-63.0,0.16279069767441862
43.0,$0$,-67.0,0.5813953488372093
43.0,$0$,-63.0,0.1627906976744186
