length,$p_{stable}$,SpinGlass,Magnetization
43.0,$0$,-67.0,0.2558139534883721
43.0,$0$,-59.0,0.6744186046511629
43.0,$0$,-55.0,0.08341085271317829
43.0,$0$,-63.0,0.25581395348837216
43.0,$0$,-67.0,0.7674418604651163
43.0,$0$,-59.0,0.34883720930232553
1.0,$0$,-75.0,1.0
43.0,$0$,-55.0,0.4883720930232558
43.0,$0$,-67.0,0.4883720930232559
43.0,$0$,-55.0,0.3023255813953488
43.0,$0$,-63.0,0.05674418604651163
43.0,$0$,-55.0,0.16279069767441862
43.0,$0$,-59.0,0.5813953488372093
43.0,$0$,-63.0,0.3953488372093024
43.0,$0$,-71.0,0.9534883720930233
43.0,$0$,-55.0,0.3023255813953488
43.0,$0$,-71.0,0.9069767441860465
43.0,$0$,-67.0,0.6279069767441862
43.0,$0$,-55.0,0.3023255813953489
43.0,$0$,-59.0,0.04930232558139536
43.0,$0$,-59.0,0.4883720930232559
43.0,$0$,-55.0,0.04434108527131783
32.0,$0$,-67.0,0.5625
43.0,$0$,-63.0,0.05674418604651163
43.0,$0$,-51.0,0.4883720930232558
1.0,$0$,-75.0,1.0
43.0,$0$,-55.0,0.6279069767441859
43.0,$0$,-51.0,0.0648062015503876
43.0,$0$,-51.0,0.5813953488372092
43.0,$0$,-63.0,0.3023255813953488
43.0,$0$,-59.0,0.056124031007751936
43.0,$0$,-67.0,0.48837209302325574
43.0,$0$,-71.0,0.9534883720930234
43.0,$0$,-55.0,0.3488372093023256
43.0,$0$,-59.0,0.627906976744186
43.0,$0$,-55.0,0.2558139534883721
43.0,$0$,-67.0,0.03689922480620156
43.0,$0$,-67.0,0.6744186046511628
43.0,$0$,-71.0,0.9534883720930234
43.0,$0$,-67.0,0.3023255813953489
43.0,$0$,-59.0,0.16279069767441862
43.0,$0$,-55.0,0.4418604651162791
32.0,$0$,-71.0,0.9375
32.0,$0$,-71.0,0.9375
43.0,$0$,-67.0,0.20930232558139536
43.0,$0$,-63.0,0.813953488372093
43.0,$0$,-71.0,0.9534883720930233
43.0,$0$,-63.0,0.5348837209302325
43.0,$0$,-71.0,0.9534883720930234
43.0,$0$,-63.0,0.7209302325581397
43.0,$0$,-59.0,0.5813953488372093
43.0,$0$,-63.0,0.7209302325581395
43.0,$0$,-63.0,0.3023255813953488
43.0,$0$,-71.0,0.9534883720930234
43.0,$0$,-71.0,0.813953488372093
43.0,$0$,-59.0,0.4418604651162791
43.0,$0$,-71.0,0.11627906976744186
43.0,$0$,-63.0,0.03689922480620156
43.0,$0$,-67.0,0.4883720930232558
43.0,$0$,-59.0,0.16279069767441862
43.0,$0$,-71.0,0.9534883720930234
43.0,$0$,-67.0,0.44186046511627897
43.0,$0$,-59.0,0.11627906976744186
43.0,$0$,-55.0,0.3023255813953488
43.0,$0$,-63.0,0.16279069767441862
43.0,$0$,-55.0,0.3953488372093023
43.0,$0$,-71.0,0.6744186046511629
43.0,$0$,-67.0,0.7674418604651164
43.0,$0$,-63.0,0.3953488372093023
43.0,$0$,-39.0,0.4418604651162791
43.0,$0$,-55.0,0.16341085271317826
43.0,$0$,-51.0,0.3953488372093024
43.0,$0$,-59.0,0.0462015503875969
43.0,$0$,-67.0,0.7674418604651163
43.0,$0$,-55.0,0.5813953488372093
