length,$p_{stable}$,Energy,Consensus
512,$1/n^{3/2}$,-0.9921875,0.63671875
512,$1/n$,-0.9921875,0.63671875
20002,$1/{n^{3/4}}$,-0.99609375,0.35546875
20002,$1/\sqrt{n}$,-0.9921875,0.1640625
20002,$1/{n^{1/3}}$,-0.9609375,0.11328125
1,$1/\log^{3}(n)$,-1.0,1.0
20002,$1/\log^{2}(n)$,-0.98828125,0.697265625
20002,$1/\log(n)$,-0.94921875,0.107421875
1,$1/n^{3/2}$,-1.0,1.0
20002,$1/n$,-0.99609375,0.12890625
20002,$1/{n^{3/4}}$,-0.99609375,0.46875
20002,$1/\sqrt{n}$,-0.984375,0.068359375
20002,$1/{n^{1/3}}$,-0.94921875,0.044921875
1,$1/\log^{3}(n)$,-1.0,1.0
18786,$1/\log^{2}(n)$,-0.99609375,0.6357421875
20002,$1/\log(n)$,-0.9609375,0.013671875
512,$1/n^{3/2}$,-0.99609375,0.984375
512,$1/n$,-0.99609375,0.984375
6160,$1/{n^{3/4}}$,-0.99609375,0.5146484375
20002,$1/\sqrt{n}$,-0.98046875,0.259765625
20002,$1/{n^{1/3}}$,-0.95703125,0.251953125
20002,$1/\log^{3}(n)$,-0.99609375,0.251953125
20002,$1/\log^{2}(n)$,-0.99609375,0.240234375
20002,$1/\log(n)$,-0.93359375,0.123046875
512,$1/n^{3/2}$,-0.9765625,0.4609375
1,$1/n$,-1.0,1.0
1,$1/{n^{3/4}}$,-1.0,1.0
20002,$1/\sqrt{n}$,-0.984375,0.330078125
20002,$1/{n^{1/3}}$,-0.9453125,0.16796875
1,$1/\log^{3}(n)$,-1.0,1.0
20002,$1/\log^{2}(n)$,-0.9921875,0.818359375
20002,$1/\log(n)$,-0.9453125,0.111328125
512,$1/n^{3/2}$,-0.9921875,0.73828125
1,$1/n$,-1.0,1.0
16416,$1/{n^{3/4}}$,-0.9921875,0.39899788125913743
5460,$1/\sqrt{n}$,-0.984375,0.5537109375
20002,$1/{n^{1/3}}$,-0.94921875,0.197265625
1,$1/\log^{3}(n)$,-1.0,1.0
2076,$1/\log^{2}(n)$,-0.99609375,0.3466796875
20002,$1/\log(n)$,-0.95703125,0.103515625
512,$1/n^{3/2}$,-0.98828125,0.91796875
1,$1/n$,-1.0,1.0
20002,$1/{n^{3/4}}$,-0.99609375,0.419921875
20002,$1/\sqrt{n}$,-0.984375,0.037109375
20002,$1/{n^{1/3}}$,-0.953125,0.013671875
1,$1/\log^{3}(n)$,-1.0,1.0
3770,$1/\log^{2}(n)$,-0.99609375,0.3994140625
20002,$1/\log(n)$,-0.94140625,0.2265625
512,$1/n^{3/2}$,-0.96484375,0.7890625
512,$1/n$,-0.96484375,0.7890625
9600,$1/{n^{3/4}}$,-0.99609375,0.3687288411458333
20002,$1/\sqrt{n}$,-0.9921875,0.7890625
20002,$1/{n^{1/3}}$,-0.953125,0.23046875
512,$1/\log^{3}(n)$,-0.96484375,0.7890625
156,$1/\log^{2}(n)$,-0.99609375,0.6328125
20002,$1/\log(n)$,-0.94140625,0.068359375
512,$1/n^{3/2}$,-0.98046875,0.65234375
1,$1/n$,-1.0,1.0
20002,$1/{n^{3/4}}$,-0.99609375,0.31640625
20002,$1/\sqrt{n}$,-0.9765625,0.171875
20002,$1/{n^{1/3}}$,-0.94140625,0.07421875
20002,$1/\log^{3}(n)$,-0.99609375,0.009765625
20002,$1/\log^{2}(n)$,-0.99609375,0.134765625
20002,$1/\log(n)$,-0.96484375,0.341796875
512,$1/n^{3/2}$,-0.99609375,0.99609375
512,$1/n$,-0.99609375,0.99609375
20002,$1/{n^{3/4}}$,-0.9921875,0.251953125
20002,$1/\sqrt{n}$,-0.98828125,0.126953125
20002,$1/{n^{1/3}}$,-0.953125,0.03515625
512,$1/\log^{3}(n)$,-0.99609375,0.99609375
20002,$1/\log^{2}(n)$,-0.9921875,0.048828125
20002,$1/\log(n)$,-0.95703125,0.255859375
512,$1/n^{3/2}$,-0.99609375,0.99609375
1,$1/n$,-1.0,1.0
20002,$1/{n^{3/4}}$,-0.99609375,0.818359375
20002,$1/\sqrt{n}$,-0.98828125,0.349609375
20002,$1/{n^{1/3}}$,-0.96484375,0.087890625
7920,$1/\log^{3}(n)$,-0.99609375,0.43340632891414144
20002,$1/\log^{2}(n)$,-0.99609375,0.25390625
20002,$1/\log(n)$,-0.9453125,0.302734375
512,$1/n^{3/2}$,-0.96484375,0.625
1,$1/n$,-1.0,1.0
