length,$p_{stable}$,SpinGlass,Magnetization
129,$0.0$,-0.90625,0.4418604651162791
630,$0.1$,-0.953125,0.66015625
3002,$0.3$,-0.84375,0.0546875
120,$0.5$,-0.78125,0.0859375
20,$0.7$,-0.703125,0.109375
2,$0.9$,-0.59375,0.12109375
1,$1$,-0.59375,0.078125
127,$0.0$,-0.921875,0.5748031496062992
2394,$0.1$,-0.953125,0.11021042188805348
3002,$0.3$,-0.921875,0.1875
60,$0.5$,-0.828125,0.3125
2,$0.7$,-0.8125,0.09765625
6,$0.9$,-0.65625,0.09765625
1,$1$,-0.640625,0.1171875
127,$0.0$,-0.90625,0.3858267716535433
160,$0.1$,-0.984375,0.640625
2520,$0.3$,-0.84375,0.453125
84,$0.5$,-0.796875,0.27734375
12,$0.7$,-0.71875,0.2734375
6,$0.9$,-0.671875,0.15234375
1,$1$,-0.6875,0.203125
129,$0.0$,-0.984375,0.8914728682170543
420,$0.1$,-0.96875,0.5625
360,$0.3$,-0.828125,0.1015625
24,$0.5$,-0.796875,0.17578125
30,$0.7$,-0.75,0.08203125
2,$0.9$,-0.71875,0.1328125
1,$1$,-0.671875,0.125
129,$0.0$,-0.953125,0.02592054263565892
585,$0.1$,-0.9375,0.40625
60,$0.3$,-0.8125,0.24609375
60,$0.5$,-0.734375,0.022135416666666668
6,$0.7$,-0.75,0.078125
6,$0.9$,-0.6875,0.0390625
1,$1$,-0.65625,0.015625
129,$0.0$,-0.984375,0.8914728682170543
156,$0.1$,-0.9375,0.08834134615384616
3002,$0.3$,-0.875,0.03125
60,$0.5$,-0.796875,0.1171875
24,$0.7$,-0.765625,0.16796875
2,$0.9$,-0.71875,0.1953125
1,$1$,-0.671875,0.140625
127,$0.0$,-0.984375,0.6220472440944882
280,$0.1$,-0.96875,0.2109375
660,$0.3$,-0.875,0.1640625
60,$0.5$,-0.796875,0.06692708333333333
12,$0.7$,-0.78125,0.1015625
6,$0.9$,-0.703125,0.14453125
1,$1$,-0.65625,0.0859375
127,$0.0$,-0.984375,0.968503937007874
72,$0.1$,-0.953125,0.328125
660,$0.3$,-0.890625,0.25390625
420,$0.5$,-0.75,0.06108630952380952
30,$0.7$,-0.703125,0.11328125
2,$0.9$,-0.578125,0.07421875
1,$1$,-0.578125,0.015625
1,$0.0$,-1.0,1.0
3002,$0.1$,-0.953125,0.1171875
840,$0.3$,-0.890625,0.048214285714285716
60,$0.5$,-0.78125,0.02473958333333333
4,$0.7$,-0.703125,0.0546875
6,$0.9$,-0.6875,0.02734375
1,$1$,-0.625,0.015625
129,$0.0$,-0.984375,0.8294573643410853
10,$0.1$,-0.984375,0.07421875
360,$0.3$,-0.8125,0.056770833333333326
420,$0.5$,-0.828125,0.06822916666666666
12,$0.7$,-0.734375,0.0234375
6,$0.9$,-0.65625,0.046875
1,$1$,-0.625,0.015625
127,$0.0$,-0.9375,0.2125984251968504
3002,$0.1$,-0.953125,0.296875
3002,$0.3$,-0.828125,0.046875
60,$0.5$,-0.75,0.028125
6,$0.7$,-0.765625,0.12890625
2,$0.9$,-0.625,0.03515625
1,$1$,-0.625,0.0625
129,$0.0$,-0.953125,0.2713178294573643
720,$0.1$,-0.9375,0.23444010416666666
420,$0.3$,-0.84375,0.13671875
36,$0.5$,-0.796875,0.078125
60,$0.7$,-0.734375,0.11328125
2,$0.9$,-0.71875,0.14453125
1,$1$,-0.625,0.0703125
127,$0.0$,-0.96875,0.7007874015748031
385,$0.1$,-0.96875,0.7578125
120,$0.3$,-0.890625,0.27734375
60,$0.5$,-0.8125,0.05078125
30,$0.7$,-0.703125,0.20703125
6,$0.9$,-0.71875,0.12890625
1,$1$,-0.6875,0.1328125
127,$0.0$,-0.921875,0.8267716535433071
420,$0.1$,-0.96875,0.11343005952380952
1170,$0.3$,-0.875,0.1015892094017094
60,$0.5$,-0.78125,0.20703125
6,$0.7$,-0.765625,0.14453125
2,$0.9$,-0.75,0.06640625
1,$1$,-0.703125,0.109375
127,$0.0$,-0.96875,0.7952755905511811
420,$0.1$,-0.953125,0.10513392857142856
1320,$0.3$,-0.890625,0.51953125
60,$0.5$,-0.796875,0.1953125
12,$0.7$,-0.84375,0.29296875
2,$0.9$,-0.765625,0.203125
1,$1$,-0.75,0.21875
127,$0.0$,-0.984375,0.8897637795275591
360,$0.1$,-0.9375,0.73046875
3002,$0.3$,-0.90625,0.0625
60,$0.5$,-0.828125,0.109375
60,$0.7$,-0.796875,0.3046875
2,$0.9$,-0.703125,0.203125
1,$1$,-0.703125,0.2734375
