length,$p_{stable}$,Energy,Consensus
255,$0$,-0.046875,0.027450980392156862
255,$1/n^2$,-0.046875,0.027450980392156862
255,$1/n^{3/2}$,-0.046875,0.027450980392156862
1,$1/n$,-1.0,1.0
2508,$1/\sqrt{n}$,-0.984375,0.1513967803030303
3002,$1/{n^{1/3}}$,-0.921875,0.0078125
1,$1/\log^{2}(n)$,-1.0,1.0
3002,$1/\log(n)$,-0.9375,0.0859375
255,$0$,0.015625,0.035294117647058816
255,$1/n^2$,0.015625,0.035294117647058816
255,$1/n^{3/2}$,0.015625,0.035294117647058816
255,$1/n$,0.015625,0.035294117647058816
20,$1/\sqrt{n}$,-0.984375,0.1875
2280,$1/{n^{1/3}}$,-0.953125,0.3984375
3002,$1/\log^{2}(n)$,-0.984375,0.875
360,$1/\log(n)$,-0.9375,0.60546875
255,$0$,0.03125,0.043137254901960784
255,$1/n^2$,0.03125,0.043137254901960784
255,$1/n^{3/2}$,0.03125,0.043137254901960784
1,$1/n$,-1.0,1.0
3002,$1/\sqrt{n}$,-0.96875,0.484375
60,$1/{n^{1/3}}$,-0.953125,0.625
3002,$1/\log^{2}(n)$,-0.984375,0.734375
3002,$1/\log(n)$,-0.921875,0.1640625
255,$0$,-0.078125,0.07450980392156863
255,$1/n^2$,-0.078125,0.07450980392156863
255,$1/n^{3/2}$,-0.078125,0.07450980392156863
255,$1/n$,-0.078125,0.07450980392156863
3002,$1/\sqrt{n}$,-0.96875,0.09375
840,$1/{n^{1/3}}$,-0.9375,0.28515625
222,$1/\log^{2}(n)$,-0.984375,0.2708685247747748
2730,$1/\log(n)$,-0.9375,0.04700091575091575
255,$0$,-0.0625,0.043137254901960784
255,$1/n^2$,-0.0625,0.043137254901960784
255,$1/n^{3/2}$,-0.0625,0.043137254901960784
1,$1/n$,-1.0,1.0
1,$1/\sqrt{n}$,-1.0,1.0
3002,$1/{n^{1/3}}$,-0.9375,0.09375
3002,$1/\log^{2}(n)$,-0.984375,0.03125
3002,$1/\log(n)$,-0.921875,0.2734375
255,$0$,0.03125,0.027450980392156862
255,$1/n^2$,0.03125,0.027450980392156862
255,$1/n^{3/2}$,0.03125,0.027450980392156862
1,$1/n$,-1.0,1.0
336,$1/\sqrt{n}$,-0.984375,0.28515625
420,$1/{n^{1/3}}$,-0.921875,0.1875372023809524
1,$1/\log^{2}(n)$,-1.0,1.0
240,$1/\log(n)$,-0.953125,0.34765625
255,$0$,-0.015625,0.10588235294117647
255,$1/n^2$,-0.015625,0.10588235294117647
255,$1/n^{3/2}$,-0.015625,0.10588235294117647
3002,$1/n$,-0.984375,0.046875
287,$1/\sqrt{n}$,-0.984375,0.1719294425087108
3002,$1/{n^{1/3}}$,-0.9375,0.4921875
3002,$1/\log^{2}(n)$,-0.984375,0.46875
792,$1/\log(n)$,-0.9375,0.4453125
255,$0$,0.09375,0.06666666666666668
255,$1/n^2$,0.09375,0.06666666666666668
255,$1/n^{3/2}$,0.09375,0.06666666666666668
255,$1/n$,0.09375,0.06666666666666668
3002,$1/\sqrt{n}$,-0.96875,0.0703125
3002,$1/{n^{1/3}}$,-0.921875,0.0390625
1,$1/\log^{2}(n)$,-1.0,1.0
420,$1/\log(n)$,-0.953125,0.2734375
255,$0$,-0.125,0.10588235294117647
255,$1/n^2$,-0.125,0.10588235294117647
255,$1/n^{3/2}$,-0.125,0.10588235294117647
255,$1/n$,-0.125,0.10588235294117647
396,$1/\sqrt{n}$,-0.96875,0.7734375
840,$1/{n^{1/3}}$,-0.9375,0.09427083333333333
1,$1/\log^{2}(n)$,-1.0,1.0
65,$1/\log(n)$,-0.984375,0.859375
255,$0$,-0.03125,0.1607843137254902
255,$1/n^2$,-0.03125,0.1607843137254902
1,$1/n^{3/2}$,-1.0,1.0
255,$1/n$,-0.03125,0.1607843137254902
3002,$1/\sqrt{n}$,-0.96875,0.4609375
2340,$1/{n^{1/3}}$,-0.953125,0.28125
1794,$1/\log^{2}(n)$,-0.984375,0.39243659420289856
3002,$1/\log(n)$,-0.953125,0.3984375
255,$0$,-0.015625,0.08235294117647059
255,$1/n^2$,-0.015625,0.08235294117647059
255,$1/n^{3/2}$,-0.015625,0.08235294117647059
255,$1/n$,-0.015625,0.08235294117647059
3002,$1/\sqrt{n}$,-0.953125,0.140625
936,$1/{n^{1/3}}$,-0.9375,0.22265625
1,$1/\log^{2}(n)$,-1.0,1.0
52,$1/\log(n)$,-0.96875,0.09375
255,$0$,0.125,0.09803921568627452
255,$1/n^2$,0.125,0.09803921568627452
255,$1/n^{3/2}$,0.125,0.09803921568627452
255,$1/n$,0.125,0.09803921568627452
3002,$1/\sqrt{n}$,-0.953125,0.265625
252,$1/{n^{1/3}}$,-0.953125,0.20703125
255,$1/\log^{2}(n)$,0.125,0.09803921568627452
360,$1/\log(n)$,-0.96875,0.2578125
255,$0$,0.0625,0.05882352941176471
255,$1/n^2$,0.0625,0.05882352941176471
255,$1/n^{3/2}$,0.0625,0.05882352941176471
1,$1/n$,-1.0,1.0
1980,$1/\sqrt{n}$,-0.953125,0.07954545454545454
3002,$1/{n^{1/3}}$,-0.90625,0.1640625
3002,$1/\log^{2}(n)$,-0.984375,0.1171875
3002,$1/\log(n)$,-0.9375,0.109375
255,$0$,-0.140625,0.09019607843137256
255,$1/n^2$,-0.140625,0.09019607843137256
255,$1/n^{3/2}$,-0.140625,0.09019607843137256
1,$1/n$,-1.0,1.0
3002,$1/\sqrt{n}$,-0.953125,0.484375
3002,$1/{n^{1/3}}$,-0.90625,0.1015625
1,$1/\log^{2}(n)$,-1.0,1.0
2520,$1/\log(n)$,-0.90625,0.19921875
255,$0$,-0.015625,0.1215686274509804
255,$1/n^2$,-0.015625,0.1215686274509804
255,$1/n^{3/2}$,-0.015625,0.1215686274509804
255,$1/n$,-0.015625,0.1215686274509804
1827,$1/\sqrt{n}$,-0.96875,0.5859375
2730,$1/{n^{1/3}}$,-0.9375,0.45703125
3002,$1/\log^{2}(n)$,-0.984375,0.046875
168,$1/\log(n)$,-0.9375,0.21875
255,$0$,-0.078125,0.043137254901960784
255,$1/n^2$,-0.078125,0.043137254901960784
255,$1/n^{3/2}$,-0.078125,0.043137254901960784
1,$1/n$,-1.0,1.0
1148,$1/\sqrt{n}$,-0.984375,0.44140625
1260,$1/{n^{1/3}}$,-0.953125,0.11519097222222223
210,$1/\log^{2}(n)$,-0.984375,0.71875
1950,$1/\log(n)$,-0.96875,0.14593349358974358
255,$0$,-0.03125,0.09019607843137256
255,$1/n^2$,-0.03125,0.09019607843137256
255,$1/n^{3/2}$,-0.03125,0.09019607843137256
1,$1/n$,-1.0,1.0
3002,$1/\sqrt{n}$,-0.953125,0.0703125
1320,$1/{n^{1/3}}$,-0.9375,0.3125
1,$1/\log^{2}(n)$,-1.0,1.0
120,$1/\log(n)$,-0.953125,0.37890625
255,$0$,0.015625,0.043137254901960784
255,$1/n^2$,0.015625,0.043137254901960784
1,$1/n^{3/2}$,-1.0,1.0
1,$1/n$,-1.0,1.0
252,$1/\sqrt{n}$,-0.96875,0.61328125
510,$1/{n^{1/3}}$,-0.9375,0.25
3002,$1/\log^{2}(n)$,-0.984375,0.1015625
408,$1/\log(n)$,-0.953125,0.45703125
255,$0$,-0.046875,0.07450980392156863
255,$1/n^2$,-0.046875,0.07450980392156863
255,$1/n^{3/2}$,-0.046875,0.07450980392156863
1,$1/n$,-1.0,1.0
672,$1/\sqrt{n}$,-0.984375,0.07291666666666667
1320,$1/{n^{1/3}}$,-0.9375,0.40625
1780,$1/\log^{2}(n)$,-0.984375,0.55859375
120,$1/\log(n)$,-0.96875,0.8125
