length,$p_{stable}$,SpinGlass,Magnetization
129,$0$,-0.859375,0.751937984496124
129,$1/n^2$,-0.859375,0.751937984496124
129,$1/n^{3/2}$,-0.859375,0.751937984496124
1,$1/n$,-1.0,1.0
72,$1/\sqrt{n}$,-0.96875,0.03819444444444445
3002,$1/{n^{1/3}}$,-0.890625,0.2109375
2233,$1/\log^{2}(n)$,-0.984375,0.4921875
140,$1/\log(n)$,-0.96875,0.69140625
127,$0$,-0.984375,0.84251968503937
127,$1/n^2$,-0.984375,0.84251968503937
127,$1/n^{3/2}$,-0.984375,0.84251968503937
1,$1/n$,-1.0,1.0
3002,$1/\sqrt{n}$,-0.953125,0.3125
3002,$1/{n^{1/3}}$,-0.953125,0.5234375
3002,$1/\log^{2}(n)$,-0.96875,0.0859375
3002,$1/\log(n)$,-0.921875,0.3046875
129,$0$,-0.875,0.4108527131782946
129,$1/n^2$,-0.875,0.4108527131782946
1,$1/n^{3/2}$,-1.0,1.0
129,$1/n$,-0.875,0.4108527131782946
126,$1/\sqrt{n}$,-0.96875,0.625
3002,$1/{n^{1/3}}$,-0.9375,0.578125
1,$1/\log^{2}(n)$,-1.0,1.0
690,$1/\log(n)$,-0.96875,0.6796875
127,$0$,-0.953125,0.5118110236220472
127,$1/n^2$,-0.953125,0.5118110236220472
127,$1/n^{3/2}$,-0.953125,0.5118110236220472
127,$1/n$,-0.953125,0.5118110236220472
3002,$1/\sqrt{n}$,-0.953125,0.046875
2520,$1/{n^{1/3}}$,-0.875,0.09509548611111113
1710,$1/\log^{2}(n)$,-0.984375,0.38537097953216376
1008,$1/\log(n)$,-0.921875,0.34375
127,$0$,-0.953125,0.9370078740157479
127,$1/n^2$,-0.953125,0.9370078740157479
127,$1/n^{3/2}$,-0.953125,0.9370078740157479
1,$1/n$,-1.0,1.0
3002,$1/\sqrt{n}$,-0.953125,0.046875
3002,$1/{n^{1/3}}$,-0.90625,0.3671875
1350,$1/\log^{2}(n)$,-0.984375,0.55078125
2310,$1/\log(n)$,-0.953125,0.21484375
129,$0$,-0.96875,0.9224806201550388
129,$1/n^2$,-0.96875,0.9224806201550388
129,$1/n^{3/2}$,-0.96875,0.9224806201550388
1,$1/n$,-1.0,1.0
280,$1/\sqrt{n}$,-0.984375,0.53125
240,$1/{n^{1/3}}$,-0.9375,0.50390625
1,$1/\log^{2}(n)$,-1.0,1.0
3002,$1/\log(n)$,-0.9375,0.0234375
129,$0$,-0.984375,0.9844961240310076
129,$1/n^2$,-0.984375,0.9844961240310076
129,$1/n^{3/2}$,-0.984375,0.9844961240310076
129,$1/n$,-0.984375,0.9844961240310076
270,$1/\sqrt{n}$,-0.96875,0.15625
3002,$1/{n^{1/3}}$,-0.921875,0.1796875
1,$1/\log^{2}(n)$,-1.0,1.0
1848,$1/\log(n)$,-0.9375,0.031055533008658005
127,$0$,-0.96875,0.07086614173228346
127,$1/n^2$,-0.96875,0.07086614173228346
127,$1/n^{3/2}$,-0.96875,0.07086614173228346
1,$1/n$,-1.0,1.0
3002,$1/\sqrt{n}$,-0.984375,0.078125
3002,$1/{n^{1/3}}$,-0.9375,0.1171875
408,$1/\log^{2}(n)$,-0.984375,0.48046875
240,$1/\log(n)$,-0.9375,0.1427734375
129,$0$,-0.96875,0.02931201550387597
129,$1/n^2$,-0.96875,0.02931201550387597
129,$1/n^{3/2}$,-0.96875,0.02931201550387597
1,$1/n$,-1.0,1.0
3002,$1/\sqrt{n}$,-0.96875,0.484375
3002,$1/{n^{1/3}}$,-0.890625,0.0078125
3002,$1/\log^{2}(n)$,-0.984375,0.390625
3002,$1/\log(n)$,-0.9375,0.1796875
129,$0$,-0.984375,0.7364341085271318
129,$1/n^2$,-0.984375,0.7364341085271318
129,$1/n^{3/2}$,-0.984375,0.7364341085271318
129,$1/n$,-0.984375,0.7364341085271318
60,$1/\sqrt{n}$,-0.984375,0.31640625
3002,$1/{n^{1/3}}$,-0.921875,0.0
3002,$1/\log^{2}(n)$,-0.984375,0.8671875
1020,$1/\log(n)$,-0.953125,0.51171875
127,$0$,-0.859375,0.3543307086614173
127,$1/n^2$,-0.859375,0.3543307086614173
127,$1/n^{3/2}$,-0.859375,0.3543307086614173
1,$1/n$,-1.0,1.0
920,$1/\sqrt{n}$,-0.984375,0.33140285326086955
336,$1/{n^{1/3}}$,-0.9375,0.328125
1,$1/\log^{2}(n)$,-1.0,1.0
