length,$p_{stable}$,SpinGlass,Magnetization
127,$0$,-0.953125,0.1811023622047244
127,$1/n^2$,-0.953125,0.1811023622047244
1,$1/n^{3/2}$,-1.0,1.0
1,$1/n$,-1.0,1.0
360,$1/\sqrt{n}$,-0.96875,0.41796875
3002,$1/{n^{1/3}}$,-0.921875,0.234375
3002,$1/\log^{2}(n)$,-0.984375,0.21875
3002,$1/\log(n)$,-0.9375,0.0703125
129,$0$,-0.96875,0.16279069767441862
129,$1/n^2$,-0.96875,0.16279069767441862
129,$1/n^{3/2}$,-0.96875,0.16279069767441862
129,$1/n$,-0.96875,0.16279069767441862
1710,$1/\sqrt{n}$,-0.953125,0.046038925438596494
1170,$1/{n^{1/3}}$,-0.9375,0.06493723290598291
1,$1/\log^{2}(n)$,-1.0,1.0
3002,$1/\log(n)$,-0.96875,0.015625
127,$0$,-0.96875,0.9527559055118109
127,$1/n^2$,-0.96875,0.9527559055118109
127,$1/n^{3/2}$,-0.96875,0.9527559055118109
127,$1/n$,-0.96875,0.9527559055118109
495,$1/\sqrt{n}$,-0.984375,0.11742424242424244
120,$1/{n^{1/3}}$,-0.90625,0.3984375
426,$1/\log^{2}(n)$,-0.984375,0.3285468016431925
1848,$1/\log(n)$,-0.9375,0.19931175595238096
129,$0$,-0.984375,0.8449612403100775
129,$1/n^2$,-0.984375,0.8449612403100775
129,$1/n^{3/2}$,-0.984375,0.8449612403100775
1,$1/n$,-1.0,1.0
66,$1/\sqrt{n}$,-0.984375,0.37109375
140,$1/{n^{1/3}}$,-0.953125,0.19921875
2618,$1/\log^{2}(n)$,-0.984375,0.30565137987012986
3002,$1/\log(n)$,-0.9375,0.109375
129,$0$,-0.984375,0.9844961240310076
129,$1/n^2$,-0.984375,0.9844961240310076
129,$1/n^{3/2}$,-0.984375,0.9844961240310076
1,$1/n$,-1.0,1.0
208,$1/\sqrt{n}$,-0.984375,0.82421875
1260,$1/{n^{1/3}}$,-0.9375,0.34375
1,$1/\log^{2}(n)$,-1.0,1.0
1512,$1/\log(n)$,-0.953125,0.234375
127,$0$,-0.921875,0.7952755905511811
127,$1/n^2$,-0.921875,0.7952755905511811
127,$1/n^{3/2}$,-0.921875,0.7952755905511811
1,$1/n$,-1.0,1.0
3002,$1/\sqrt{n}$,-0.96875,0.2109375
3002,$1/{n^{1/3}}$,-0.921875,0.0546875
1,$1/\log^{2}(n)$,-1.0,1.0
3002,$1/\log(n)$,-0.9375,0.0234375
127,$0$,-0.96875,0.9527559055118109
127,$1/n^2$,-0.96875,0.9527559055118109
127,$1/n^{3/2}$,-0.96875,0.9527559055118109
1,$1/n$,-1.0,1.0
3002,$1/\sqrt{n}$,-0.96875,0.203125
3002,$1/{n^{1/3}}$,-0.921875,0.1953125
1,$1/\log^{2}(n)$,-1.0,1.0
3002,$1/\log(n)$,-0.9375,0.171875
127,$0$,-0.90625,0.2283464566929134
127,$1/n^2$,-0.90625,0.2283464566929134
127,$1/n^{3/2}$,-0.90625,0.2283464566929134
1,$1/n$,-1.0,1.0
152,$1/\sqrt{n}$,-0.984375,0.14453125
3002,$1/{n^{1/3}}$,-0.875,0.0625
