length,$r_{stable}$,fct,Energy,Consensus
13002,0.23828125,244,-0.90234375,0.072265625
2520,0.2421875,248,-0.8984375,0.027202690972222218
13002,0.24609375,252,-0.9140625,0.015625
13002,0.25,256,-0.90625,0.0703125
13002,0.25390625,260,-0.87890625,0.17578125
13002,0.2578125,264,-0.88671875,0.03125
13002,0.26171875,268,-0.89453125,0.158203125
13002,0.265625,272,-0.8828125,0.119140625
13002,0.26953125,276,-0.8828125,0.00390625
13002,0.2734375,280,-0.87109375,0.166015625
13002,0.27734375,284,-0.8984375,0.0078125
13002,0.28125,288,-0.86328125,0.0625
2520,0.28515625,292,-0.8828125,0.05483320932539683
840,0.2890625,296,-0.87890625,0.0732421875
13002,0.29296875,300,-0.85546875,0.1015625
13002,0.296875,304,-0.87890625,0.009765625
3960,0.30078125,308,-0.875,0.049816524621212124
13002,0.3046875,312,-0.859375,0.037109375
13002,0.30859375,316,-0.87890625,0.037109375
13002,0.3125,320,-0.87109375,0.16015625
13002,0.31640625,324,-0.86328125,0.123046875
2520,0.3203125,328,-0.8515625,0.064453125
13002,0.32421875,332,-0.83203125,0.05078125
13002,0.328125,336,-0.8671875,0.05078125
9240,0.33203125,340,-0.8671875,0.01849254261363636
13002,0.3359375,344,-0.87109375,0.0390625
2520,0.33984375,348,-0.87109375,0.1962890625
13002,0.34375,352,-0.8671875,0.017578125
2520,0.34765625,356,-0.859375,0.03071986607142857
13002,0.3515625,360,-0.85546875,0.05078125
13002,0.35546875,364,-0.875,0.0703125
1260,0.359375,368,-0.875,0.044921875
2520,0.36328125,372,-0.83203125,0.0908203125
840,0.3671875,376,-0.84375,0.2041015625
2520,0.37109375,380,-0.8359375,0.020890687003968254
2520,0.375,384,-0.83984375,0.04214254712301587
2520,0.37890625,388,-0.83203125,0.0449280753968254
13002,0.3828125,392,-0.81640625,0.015625
1260,0.38671875,396,-0.84765625,0.03723648313492064
9240,0.390625,400,-0.84375,0.014619690205627704
13002,0.23828125,244,-0.8671875,0.046875
13002,0.2421875,248,-0.9140625,0.109375
2520,0.24609375,252,-0.90234375,0.08203125
12600,0.25,256,-0.8828125,0.15625
13002,0.25390625,260,-0.8828125,0.1328125
2520,0.2578125,264,-0.87890625,0.146484375
13002,0.26171875,268,-0.875,0.107421875
12600,0.265625,272,-0.88671875,0.171875
5040,0.26953125,276,-0.88671875,0.1142578125
13002,0.2734375,280,-0.86328125,0.041015625
13002,0.27734375,284,-0.89453125,0.064453125
13002,0.28125,288,-0.88671875,0.005859375
1260,0.28515625,292,-0.875,0.052563864087301584
13002,0.2890625,296,-0.88671875,0.046875
13002,0.29296875,300,-0.875,0.1171875
13002,0.296875,304,-0.87890625,0.005859375
13002,0.30078125,308,-0.87109375,0.169921875
2520,0.3046875,312,-0.8671875,0.03218781001984127
10920,0.30859375,316,-0.859375,0.0703125
13002,0.3125,320,-0.875,0.056640625
13002,0.31640625,324,-0.87890625,0.017578125
2520,0.3203125,328,-0.8671875,0.029224020337301582
2520,0.32421875,332,-0.8671875,0.04007006448412698
1680,0.328125,336,-0.85546875,0.04547061011904762
2520,0.33203125,340,-0.8671875,0.0224640376984127
9240,0.3359375,344,-0.83203125,0.04697477002164503
840,0.33984375,348,-0.84375,0.05078125
2520,0.34375,352,-0.84765625,0.015463789682539685
13002,0.34765625,356,-0.85546875,0.09375
13002,0.3515625,360,-0.83984375,0.107421875
2520,0.35546875,364,-0.8203125,0.04245566716269841
2520,0.359375,368,-0.8359375,0.028893849206349208
13002,0.36328125,372,-0.8359375,0.03515625
2520,0.3671875,376,-0.81640625,0.060568576388888885
13002,0.37109375,380,-0.86328125,0.20703125
2520,0.375,384,-0.84375,0.0732421875
2520,0.37890625,388,-0.8359375,0.12890625
9240,0.3828125,392,-0.8359375,0.03449421672077922
4620,0.38671875,396,-0.83984375,0.06640625
13002,0.390625,400,-0.8359375,0.123046875
13002,0.23828125,244,-0.90234375,0.1171875
13002,0.2421875,248,-0.91015625,0.20703125
13002,0.24609375,252,-0.8984375,0.10546875
13002,0.25,256,-0.87890625,0.04296875
13002,0.25390625,260,-0.90625,0.015625
13002,0.2578125,264,-0.8828125,0.1171875
13002,0.26171875,268,-0.87890625,0.05078125
13002,0.265625,272,-0.90234375,0.16796875
13002,0.26953125,276,-0.88671875,0.05078125
13002,0.2734375,280,-0.87890625,0.03515625
2520,0.27734375,284,-0.8671875,0.02913721478174603
2520,0.28125,288,-0.875,0.05110367063492064
13002,0.28515625,292,-0.88671875,0.00390625
13002,0.2890625,296,-0.89453125,0.0234375
840,0.29296875,300,-0.86328125,0.02048456101190476
13002,0.296875,304,-0.8828125,0.01953125
840,0.30078125,308,-0.875,0.1474609375
420,0.3046875,312,-0.875,0.04183407738095238
9360,0.30859375,316,-0.85546875,0.076171875
13002,0.3125,320,-0.859375,0.0703125
13002,0.31640625,324,-0.85546875,0.10546875
13002,0.3203125,328,-0.85546875,0.064453125
13002,0.32421875,332,-0.8671875,0.080078125
13002,0.328125,336,-0.85546875,0.0234375
13002,0.33203125,340,-0.8359375,0.09765625
10920,0.3359375,344,-0.84375,0.0888671875
13002,0.33984375,348,-0.8515625,0.083984375
13002,0.34375,352,-0.83203125,0.03515625
2520,0.34765625,356,-0.86328125,0.111328125
360,0.3515625,360,-0.85546875,0.03427734375
13002,0.35546875,364,-0.84375,0.083984375
10920,0.359375,368,-0.84375,0.028789634844322343
13002,0.36328125,372,-0.83984375,0.04296875
2520,0.3671875,376,-0.859375,0.018133060515873014
840,0.37109375,380,-0.83203125,0.033565848214285716
840,0.375,384,-0.83984375,0.08984375
13002,0.37890625,388,-0.859375,0.021484375
840,0.3828125,392,-0.84765625,0.058607700892857134
13002,0.38671875,396,-0.84375,0.005859375
2520,0.390625,400,-0.8359375,0.056640625
13002,0.23828125,244,-0.890625,0.0234375
13002,0.2421875,248,-0.91015625,0.11328125
13002,0.24609375,252,-0.87109375,0.005859375
13002,0.25,256,-0.87890625,0.197265625
2520,0.25390625,260,-0.89453125,0.087890625
13002,0.2578125,264,-0.8828125,0.21875
2520,0.26171875,268,-0.8984375,0.05377759176587302
13002,0.265625,272,-0.90625,0.11328125
13002,0.26953125,276,-0.88671875,0.001953125
13002,0.2734375,280,-0.88671875,0.001953125
360,0.27734375,284,-0.890625,0.1572265625
13002,0.28125,288,-0.875,0.00390625
13002,0.28515625,292,-0.88671875,0.17578125
13002,0.2890625,296,-0.89453125,0.00390625
2520,0.29296875,300,-0.8671875,0.022211371527777773
13002,0.296875,304,-0.875,0.126953125
2520,0.30078125,308,-0.88671875,0.05372178819444445
13002,0.3046875,312,-0.875,0.013671875
2520,0.30859375,316,-0.86328125,0.0255006820436508
2520,0.3125,320,-0.8515625,0.068359375
5040,0.31640625,324,-0.87109375,0.02207108754960317
2520,0.3203125,328,-0.8515625,0.02239583333333333
13002,0.32421875,332,-0.8671875,0.07421875
2520,0.328125,336,-0.859375,0.0654296875
9240,0.33203125,340,-0.84375,0.095703125
13002,0.3359375,344,-0.85546875,0.03515625
13002,0.33984375,348,-0.83203125,0.171875
13002,0.34375,352,-0.8359375,0.033203125
13002,0.34765625,356,-0.8515625,0.125
360,0.3515625,360,-0.86328125,0.0986328125
2520,0.35546875,364,-0.86328125,0.02254154265873016
