length,$r_{stable}$,fct,Energy,Consensus
30,6.314285714285713,884,-0.6875,0.05859375
6,6.529411764705883,888,-0.66796875,0.025390625
6,6.757575757575758,892,-0.66015625,0.01171875
6,7.0,896,-0.67578125,0.0205078125
6,7.258064516129032,900,-0.6875,0.015625
12,7.533333333333332,904,-0.6640625,0.0341796875
6,7.827586206896553,908,-0.671875,0.0390625
12,8.142857142857142,912,-0.671875,0.0087890625
6,8.481481481481481,916,-0.66796875,0.009765625
6,8.846153846153848,920,-0.67578125,0.0244140625
12,9.24,924,-0.64453125,0.02734375
12,9.666666666666666,928,-0.671875,0.025390625
6,10.130434782608695,932,-0.66796875,0.0380859375
4,10.636363636363637,936,-0.6875,0.02734375
6,11.190476190476188,940,-0.671875,0.0537109375
6,11.8,944,-0.6640625,0.025390625
6,12.473684210526313,948,-0.67578125,0.0087890625
2,13.222222222222221,952,-0.68359375,0.0224609375
6,14.058823529411766,956,-0.671875,0.0029296875
2,15.0,960,-0.6484375,0.0166015625
6,16.066666666666666,964,-0.6640625,0.04296875
6,17.285714285714285,968,-0.65625,0.0234375
6,18.69230769230769,972,-0.65234375,0.0556640625
6,20.33333333333333,976,-0.64453125,0.03515625
2,22.272727272727273,980,-0.65234375,0.0361328125
2,24.6,984,-0.65625,0.013671875
2,27.444444444444446,988,-0.63671875,0.03125
6,31.0,992,-0.64453125,0.02734375
2,35.57142857142857,996,-0.65234375,0.0234375
2,41.66666666666666,1000,-0.640625,0.03125
2,50.2,1004,-0.640625,0.0146484375
2,63.0,1008,-0.6484375,0.0341796875
2,84.33333333333333,1012,-0.640625,0.03125
2,127.0,1016,-0.6328125,0.02734375
2,255.0,1020,-0.6328125,0.0302734375
1,,1024,-0.6328125,0.029296875
6,6.314285714285713,884,-0.67578125,0.0146484375
12,6.529411764705883,888,-0.6875,0.0078125
12,6.757575757575758,892,-0.66796875,0.03125
12,7.0,896,-0.6640625,0.052734375
6,7.258064516129032,900,-0.671875,0.0078125
12,7.533333333333332,904,-0.65625,0.015625
12,7.827586206896553,908,-0.65625,0.0185546875
12,8.142857142857142,912,-0.6640625,0.0263671875
6,8.481481481481481,916,-0.6484375,0.004557291666666667
6,8.846153846153848,920,-0.65234375,0.0146484375
6,9.24,924,-0.65625,0.017578125
6,9.666666666666666,928,-0.6484375,0.01171875
6,10.130434782608695,932,-0.66796875,0.0205078125
6,10.636363636363637,936,-0.65234375,0.033203125
6,11.190476190476188,940,-0.63671875,0.0244140625
6,11.8,944,-0.65625,0.0205078125
6,12.473684210526313,948,-0.65625,0.0107421875
6,13.222222222222221,952,-0.63671875,0.0146484375
2,14.058823529411766,956,-0.6484375,0.0263671875
2,15.0,960,-0.6328125,0.0244140625
6,16.066666666666666,964,-0.63671875,0.0016276041666666667
6,17.285714285714285,968,-0.65234375,0.0263671875
2,18.69230769230769,972,-0.6484375,0.0068359375
2,20.33333333333333,976,-0.640625,0.0185546875
6,22.272727272727273,980,-0.6484375,0.0322265625
6,24.6,984,-0.63671875,0.0146484375
6,27.444444444444446,988,-0.6328125,0.006510416666666667
2,31.0,992,-0.6328125,0.005859375
2,35.57142857142857,996,-0.63671875,0.017578125
2,41.66666666666666,1000,-0.63671875,0.0126953125
6,50.2,1004,-0.63671875,0.0185546875
2,63.0,1008,-0.63671875,0.0048828125
2,84.33333333333333,1012,-0.625,0.01171875
1,127.0,1016,-0.6328125,0.017578125
1,255.0,1020,-0.62890625,0.013671875
1,,1024,-0.625,0.009765625
6,6.314285714285713,884,-0.67578125,0.015625
12,6.529411764705883,888,-0.6875,0.04296875
12,6.757575757575758,892,-0.67578125,0.005859375
6,7.0,896,-0.7109375,0.005859375
6,7.258064516129032,900,-0.6796875,0.0087890625
12,7.533333333333332,904,-0.68359375,0.006184895833333333
6,7.827586206896553,908,-0.6640625,0.046875
6,8.142857142857142,912,-0.671875,0.04296875
12,8.481481481481481,916,-0.67578125,0.0146484375
12,8.846153846153848,920,-0.6640625,0.004231770833333333
6,9.24,924,-0.69140625,0.0048828125
2,9.666666666666666,928,-0.67578125,0.001953125
6,10.130434782608695,932,-0.66796875,0.009765625
6,10.636363636363637,936,-0.65234375,0.0068359375
4,11.190476190476188,940,-0.66015625,0.021484375
12,11.8,944,-0.65625,0.017578125
2,12.473684210526313,948,-0.671875,0.025390625
6,13.222222222222221,952,-0.6796875,0.009765625
6,14.058823529411766,956,-0.65625,0.0126953125
2,15.0,960,-0.6640625,0.01171875
6,16.066666666666666,964,-0.6640625,0.0205078125
6,17.285714285714285,968,-0.65234375,0.0263671875
2,18.69230769230769,972,-0.671875,0.0146484375
2,20.33333333333333,976,-0.640625,0.01171875
6,22.272727272727273,980,-0.65234375,0.004231770833333333
2,24.6,984,-0.66015625,0.0078125
2,27.444444444444446,988,-0.6484375,0.0078125
2,31.0,992,-0.64453125,0.00390625
2,35.57142857142857,996,-0.65234375,0.02734375
2,41.66666666666666,1000,-0.65625,0.013671875
2,50.2,1004,-0.65234375,0.0068359375
2,63.0,1008,-0.64453125,0.0068359375
2,84.33333333333333,1012,-0.640625,0.0078125
1,127.0,1016,-0.64453125,0.013671875
2,255.0,1020,-0.64453125,0.0029296875
1,,1024,-0.640625,0.005859375
12,6.314285714285713,884,-0.671875,0.0439453125
6,6.529411764705883,888,-0.671875,0.029296875
6,6.757575757575758,892,-0.671875,0.0016276041666666667
6,7.0,896,-0.671875,0.017578125
6,7.258064516129032,900,-0.6875,0.02734375
6,7.533333333333332,904,-0.69921875,0.005859375
6,7.827586206896553,908,-0.68359375,0.03125
6,8.142857142857142,912,-0.69140625,0.033203125
12,8.481481481481481,916,-0.671875,0.0185546875
6,8.846153846153848,920,-0.6796875,0.005533854166666667
12,9.24,924,-0.671875,0.0244140625
6,9.666666666666666,928,-0.671875,0.0035807291666666665
6,10.130434782608695,932,-0.65625,0.041015625
6,10.636363636363637,936,-0.65625,0.008463541666666666
6,11.190476190476188,940,-0.6796875,0.0205078125
6,11.8,944,-0.65625,0.0302734375
6,12.473684210526313,948,-0.66796875,0.0234375
6,13.222222222222221,952,-0.66015625,0.0390625
2,14.058823529411766,956,-0.66796875,0.013671875
6,15.0,960,-0.65234375,0.029296875
6,16.066666666666666,964,-0.65234375,0.0146484375
2,17.285714285714285,968,-0.68359375,0.0126953125
6,18.69230769230769,972,-0.65625,0.0107421875
2,20.33333333333333,976,-0.65234375,0.017578125
6,22.272727272727273,980,-0.6484375,0.013671875
2,24.6,984,-0.6640625,0.017578125
6,27.444444444444446,988,-0.64453125,0.02734375
