length,$r_{stable}$,fct,Energy,Consensus
512,0.0,0,-0.96484375,0.30859375
12002,0.00390625,4,-0.99609375,0.279296875
12002,0.0078125,8,-0.99609375,0.595703125
12002,0.01171875,12,-0.9921875,0.65625
78,0.015625,16,-0.99609375,0.96875
12002,0.01953125,20,-0.98828125,0.244140625
12002,0.0234375,24,-0.98828125,0.0546875
12002,0.02734375,28,-0.984375,0.271484375
12002,0.03125,32,-0.98828125,0.37109375
3276,0.03515625,36,-0.98828125,0.353515625
12002,0.0390625,40,-0.9921875,0.150390625
12002,0.04296875,44,-0.9765625,0.119140625
12002,0.046875,48,-0.97265625,0.052734375
12002,0.05078125,52,-0.98046875,0.091796875
12002,0.0546875,56,-0.98046875,0.271484375
12002,0.05859375,60,-0.96875,0.109375
12002,0.0625,64,-0.97265625,0.484375
12002,0.06640625,68,-0.96875,0.00390625
12002,0.0703125,72,-0.98046875,0.2890625
12002,0.07421875,76,-0.9609375,0.22265625
12002,0.078125,80,-0.9765625,0.275390625
512,0.0,0,-0.9453125,0.46875
10863,0.00390625,4,-0.99609375,0.32623857935192857
12002,0.0078125,8,-0.99609375,0.3671875
12002,0.01171875,12,-0.9921875,0.05078125
12002,0.015625,16,-0.9921875,0.2578125
12002,0.01953125,20,-0.9921875,0.333984375
12002,0.0234375,24,-0.98046875,0.26953125
12002,0.02734375,28,-0.98828125,0.021484375
12002,0.03125,32,-0.9921875,0.28125
12002,0.03515625,36,-0.984375,0.216796875
12002,0.0390625,40,-0.97265625,0.072265625
12002,0.04296875,44,-0.984375,0.1640625
12002,0.046875,48,-0.98046875,0.12109375
12002,0.05078125,52,-0.98046875,0.2734375
12002,0.0546875,56,-0.96875,0.08203125
12002,0.05859375,60,-0.95703125,0.1640625
12002,0.0625,64,-0.96875,0.171875
12002,0.06640625,68,-0.96484375,0.296875
12002,0.0703125,72,-0.98046875,0.193359375
12002,0.07421875,76,-0.9609375,0.052734375
12002,0.078125,80,-0.96484375,0.326171875
512,0.0,0,-0.9453125,0.47265625
1,0.00390625,4,-1.0,1.0
5978,0.0078125,8,-0.99609375,0.5849609375
3,0.01171875,12,-0.99609375,0.994140625
280,0.015625,16,-0.9921875,0.06457868303571429
34,0.01953125,20,-0.99609375,0.93359375
6120,0.0234375,24,-0.9921875,0.533203125
12002,0.02734375,28,-0.9765625,0.013671875
12002,0.03125,32,-0.984375,0.46484375
12002,0.03515625,36,-0.98046875,0.033203125
12002,0.0390625,40,-0.98046875,0.1640625
12002,0.04296875,44,-0.98046875,0.345703125
