length,$p_{stable}$,SpinGlass,Magnetization
255,$0.0$,-0.015625,0.13725490196078433
2502,$0.1$,-0.96875,0.0234375
1260,$0.3$,-0.875,0.359375
84,$0.5$,-0.796875,0.26953125
12,$0.7$,-0.75,0.234375
2,$0.9$,-0.765625,0.109375
1,$1$,-0.71875,0.265625
255,$0.0$,-0.015625,0.05098039215686274
1260,$0.1$,-0.96875,0.265625
180,$0.3$,-0.921875,0.21484375
420,$0.5$,-0.859375,0.1328125
60,$0.7$,-0.78125,0.08984375
12,$0.9$,-0.71875,0.04296875
1,$1$,-0.640625,0.015625
255,$0.0$,-0.03125,0.027450980392156862
2502,$0.1$,-0.953125,0.3203125
1260,$0.3$,-0.875,0.1953125
60,$0.5$,-0.78125,0.05078125
60,$0.7$,-0.75,0.03333333333333333
6,$0.9$,-0.59375,0.026041666666666668
1,$1$,-0.546875,0.0234375
255,$0.0$,0.046875,0.10588235294117647
420,$0.1$,-0.9375,0.06201636904761905
120,$0.3$,-0.890625,0.234375
60,$0.5$,-0.796875,0.04739583333333333
12,$0.7$,-0.765625,0.171875
2,$0.9$,-0.703125,0.1640625
1,$1$,-0.6875,0.1328125
255,$0.0$,-0.03125,0.06666666666666668
2502,$0.1$,-0.953125,0.0390625
840,$0.3$,-0.890625,0.11328125
420,$0.5$,-0.8125,0.03850446428571429
6,$0.7$,-0.75,0.01953125
6,$0.9$,-0.6875,0.0625
1,$1$,-0.609375,0.0390625
255,$0.0$,0.0625,0.035294117647058816
1540,$0.1$,-0.96875,0.578125
840,$0.3$,-0.921875,0.23046875
60,$0.5$,-0.828125,0.21875
60,$0.7$,-0.75,0.1484375
4,$0.9$,-0.6875,0.01171875
1,$1$,-0.671875,0.0703125
255,$0.0$,0.046875,0.011764705882352941
2502,$0.1$,-0.953125,0.5078125
2502,$0.3$,-0.875,0.109375
60,$0.5$,-0.84375,0.15625
84,$0.7$,-0.6875,0.018973214285714284
6,$0.9$,-0.65625,0.00390625
1,$1$,-0.625,0.015625
255,$0.0$,0.0,0.0039215686274509795
2502,$0.1$,-0.96875,0.171875
2502,$0.3$,-0.921875,0.015625
84,$0.5$,-0.828125,0.08203125
60,$0.7$,-0.78125,0.14453125
2,$0.9$,-0.734375,0.10546875
1,$1$,-0.6875,0.0234375
255,$0.0$,-0.046875,0.035294117647058816
2502,$0.1$,-0.9375,0.0546875
420,$0.3$,-0.859375,0.07380952380952381
120,$0.5$,-0.8125,0.0859375
12,$0.7$,-0.78125,0.018229166666666668
2,$0.9$,-0.734375,0.2265625
1,$1$,-0.703125,0.1953125
255,$0.0$,0.015625,0.027450980392156862
2502,$0.1$,-0.953125,0.3203125
2502,$0.3$,-0.90625,0.03125
60,$0.5$,-0.78125,0.19921875
12,$0.7$,-0.8125,0.21484375
12,$0.9$,-0.6875,0.04296875
1,$1$,-0.671875,0.0078125
255,$0.0$,0.046875,0.011764705882352941
308,$0.1$,-0.96875,0.07208806818181818
2502,$0.3$,-0.90625,0.0625
420,$0.5$,-0.8125,0.15234375
84,$0.7$,-0.78125,0.109375
2,$0.9$,-0.75,0.03125
1,$1$,-0.6875,0.015625
255,$0.0$,-0.046875,0.0039215686274509795
2502,$0.1$,-0.953125,0.1875
2502,$0.3$,-0.828125,0.1328125
60,$0.5$,-0.828125,0.18359375
30,$0.7$,-0.734375,0.12890625
12,$0.9$,-0.6875,0.046875
1,$1$,-0.625,0.09375
255,$0.0$,-0.015625,0.043137254901960784
180,$0.1$,-0.96875,0.125
2502,$0.3$,-0.890625,0.203125
60,$0.5$,-0.8125,0.2578125
12,$0.7$,-0.6875,0.0234375
2,$0.9$,-0.625,0.05078125
1,$1$,-0.609375,0.0078125
255,$0.0$,-0.046875,0.043137254901960784
840,$0.1$,-0.953125,0.5234375
360,$0.3$,-0.9375,0.03272569444444445
12,$0.5$,-0.8125,0.1328125
12,$0.7$,-0.8125,0.022135416666666668
