length,$r_{stable}$,fct,Energy,Consensus
60,2.4133333333333336,724,-0.70703125,0.008854166666666666
12,2.45945945945946,728,-0.73828125,0.01171875
60,2.5068493150684934,732,-0.74609375,0.0109375
60,2.555555555555556,736,-0.70703125,0.0322265625
60,2.605633802816901,740,-0.7265625,0.048828125
60,2.657142857142857,744,-0.72265625,0.0302734375
12,2.710144927536232,748,-0.73828125,0.052734375
60,2.764705882352941,752,-0.69921875,0.04296875
12,2.82089552238806,756,-0.70703125,0.0283203125
12,2.878787878787879,760,-0.7109375,0.005533854166666667
12,2.9384615384615387,764,-0.73046875,0.012369791666666666
24,3.0,768,-0.71484375,0.0478515625
60,3.063492063492064,772,-0.7265625,0.0224609375
12,3.129032258064516,776,-0.69921875,0.0185546875
12,3.19672131147541,780,-0.69921875,0.005208333333333333
60,3.2666666666666666,784,-0.69140625,0.0322265625
84,3.3389830508474576,788,-0.69921875,0.021484375
84,3.4137931034482767,792,-0.70703125,0.0205078125
60,3.4912280701754392,796,-0.6953125,0.06640625
60,3.571428571428572,800,-0.66796875,0.0625
12,3.654545454545455,804,-0.703125,0.0107421875
60,3.7407407407407414,808,-0.703125,0.004947916666666666
12,3.830188679245283,812,-0.66796875,0.013346354166666666
12,3.9230769230769234,816,-0.6796875,0.0126953125
60,4.019607843137255,820,-0.71484375,0.013671875
12,4.12,824,-0.6875,0.0419921875
30,4.224489795918367,828,-0.6875,0.048828125
12,4.333333333333333,832,-0.6796875,0.015625
60,4.446808510638298,836,-0.69140625,0.0166015625
12,4.565217391304348,840,-0.6875,0.03125
12,4.688888888888889,844,-0.7109375,0.0283203125
6,4.818181818181818,848,-0.68359375,0.0244140625
60,4.953488372093024,852,-0.70703125,0.015625
12,5.095238095238095,856,-0.671875,0.0126953125
12,5.243902439024391,860,-0.671875,0.017578125
6,5.4,864,-0.66015625,0.01171875
12,5.564102564102564,868,-0.671875,0.0283203125
30,5.7368421052631575,872,-0.68359375,0.008919270833333333
6,5.918918918918918,876,-0.6796875,0.009765625
6,6.111111111111112,880,-0.6640625,0.007486979166666667
60,2.4133333333333336,724,-0.71484375,0.068359375
60,2.45945945945946,728,-0.71875,0.0556640625
60,2.5068493150684934,732,-0.73046875,0.006705729166666665
60,2.555555555555556,736,-0.75,0.0234375
24,2.605633802816901,740,-0.7421875,0.087890625
60,2.657142857142857,744,-0.72265625,0.0201171875
660,2.710144927536232,748,-0.73046875,0.010097064393939394
60,2.764705882352941,752,-0.71875,0.0322265625
60,2.82089552238806,756,-0.7265625,0.0119140625
60,2.878787878787879,760,-0.7109375,0.013020833333333334
12,2.9384615384615387,764,-0.71875,0.0205078125
6,3.0,768,-0.72265625,0.0283203125
60,3.063492063492064,772,-0.7109375,0.033203125
12,3.129032258064516,776,-0.69921875,0.0205078125
12,3.19672131147541,780,-0.73828125,0.015625
30,3.2666666666666666,784,-0.7265625,0.017578125
12,3.3389830508474576,788,-0.703125,0.015950520833333332
6,3.4137931034482767,792,-0.7109375,0.0283203125
6,3.4912280701754392,796,-0.71875,0.05078125
60,3.571428571428572,800,-0.70703125,0.0712890625
12,3.654545454545455,804,-0.703125,0.0498046875
30,3.7407407407407414,808,-0.703125,0.0419921875
12,3.830188679245283,812,-0.7265625,0.013997395833333334
6,3.9230769230769234,816,-0.69140625,0.0595703125
12,4.019607843137255,820,-0.68359375,0.01953125
6,4.12,824,-0.71484375,0.0537109375
12,4.224489795918367,828,-0.703125,0.0107421875
12,4.333333333333333,832,-0.69140625,0.0146484375
12,4.446808510638298,836,-0.6953125,0.006510416666666667
6,4.565217391304348,840,-0.71484375,0.0478515625
84,4.688888888888889,844,-0.68359375,0.052734375
6,4.818181818181818,848,-0.68359375,0.025390625
12,4.953488372093024,852,-0.69921875,0.0546875
12,5.095238095238095,856,-0.68359375,0.0283203125
12,5.243902439024391,860,-0.69140625,0.025390625
12,5.4,864,-0.703125,0.0546875
12,5.564102564102564,868,-0.66796875,0.010416666666666666
12,5.7368421052631575,872,-0.69140625,0.0166015625
6,5.918918918918918,876,-0.671875,0.03125
12,6.111111111111112,880,-0.68359375,0.025390625
12,2.4133333333333336,724,-0.73828125,0.004557291666666667
12,2.45945945945946,728,-0.765625,0.056640625
60,2.5068493150684934,732,-0.7421875,0.033203125
60,2.555555555555556,736,-0.72265625,0.012044270833333334
120,2.605633802816901,740,-0.734375,0.05859375
60,2.657142857142857,744,-0.703125,0.044921875
12,2.710144927536232,748,-0.7265625,0.0146484375
12,2.764705882352941,752,-0.73046875,0.01171875
12,2.82089552238806,756,-0.73046875,0.0068359375
12,2.878787878787879,760,-0.73046875,0.0087890625
36,2.9384615384615387,764,-0.73828125,0.08984375
6,3.0,768,-0.71875,0.0283203125
60,3.063492063492064,772,-0.73046875,0.0380859375
60,3.129032258064516,776,-0.72265625,0.01197916666666667
6,3.19672131147541,780,-0.74609375,0.007161458333333333
12,3.2666666666666666,784,-0.72265625,0.0244140625
60,3.3389830508474576,788,-0.734375,0.0224609375
12,3.4137931034482767,792,-0.703125,0.0361328125
12,3.4912280701754392,796,-0.70703125,0.0302734375
12,3.571428571428572,800,-0.73828125,0.013671875
12,3.654545454545455,804,-0.73046875,0.006184895833333333
60,3.7407407407407414,808,-0.71875,0.0166015625
60,3.830188679245283,812,-0.72265625,0.008919270833333333
12,3.9230769230769234,816,-0.70703125,0.0166015625
12,4.019607843137255,820,-0.703125,0.03515625
12,4.12,824,-0.703125,0.021484375
12,4.224489795918367,828,-0.72265625,0.017578125
12,4.333333333333333,832,-0.703125,0.0322265625
12,4.446808510638298,836,-0.70703125,0.041015625
6,4.565217391304348,840,-0.70703125,0.041015625
12,4.688888888888889,844,-0.69140625,0.017903645833333332
6,4.818181818181818,848,-0.7109375,0.0537109375
12,4.953488372093024,852,-0.6953125,0.013020833333333334
6,5.095238095238095,856,-0.6953125,0.007486979166666667
12,5.243902439024391,860,-0.7109375,0.02734375
12,5.4,864,-0.69921875,0.009765625
6,5.564102564102564,868,-0.69921875,0.0341796875
12,5.7368421052631575,872,-0.69140625,0.017578125
6,5.918918918918918,876,-0.67578125,0.03125
6,6.111111111111112,880,-0.703125,0.0107421875
60,2.4133333333333336,724,-0.73828125,0.0556640625
60,2.45945945945946,728,-0.734375,0.0283203125
60,2.5068493150684934,732,-0.71484375,0.033203125
84,2.555555555555556,736,-0.72265625,0.03515625
60,2.605633802816901,740,-0.734375,0.009375
60,2.657142857142857,744,-0.734375,0.0072265625
12,2.710144927536232,748,-0.734375,0.0302734375
12,2.764705882352941,752,-0.73046875,0.021484375
60,2.82089552238806,756,-0.73046875,0.0556640625
60,2.878787878787879,760,-0.71875,0.0361328125
60,2.9384615384615387,764,-0.71484375,0.011067708333333334
12,3.0,768,-0.71875,0.103515625
60,3.063492063492064,772,-0.6953125,0.005859375
12,3.129032258064516,776,-0.70703125,0.037109375
60,3.19672131147541,780,-0.71875,0.0673828125
12,3.2666666666666666,784,-0.69140625,0.025390625
60,3.3389830508474576,788,-0.71484375,0.06640625
12,3.4137931034482767,792,-0.7109375,0.0712890625
12,3.4912280701754392,796,-0.69921875,0.0390625
12,3.571428571428572,800,-0.69140625,0.0634765625
60,3.654545454545455,804,-0.69921875,0.0712890625
60,3.7407407407407414,808,-0.7109375,0.080078125
60,3.830188679245283,812,-0.69140625,0.1025390625
12,3.9230769230769234,816,-0.69921875,0.0966796875
12,4.019607843137255,820,-0.72265625,0.0810546875
12,4.12,824,-0.68359375,0.033203125
12,4.224489795918367,828,-0.69140625,0.1103515625
12,4.333333333333333,832,-0.69921875,0.1025390625
12,4.446808510638298,836,-0.703125,0.0517578125
12,4.565217391304348,840,-0.66796875,0.0654296875
12,4.688888888888889,844,-0.69140625,0.048828125
30,4.818181818181818,848,-0.68359375,0.0673828125
60,4.953488372093024,852,-0.67578125,0.0322265625
6,5.095238095238095,856,-0.6875,0.083984375
12,5.243902439024391,860,-0.69140625,0.0390625
12,5.4,864,-0.7109375,0.0048828125
12,5.564102564102564,868,-0.65625,0.115234375
6,5.7368421052631575,872,-0.71875,0.123046875
12,5.918918918918918,876,-0.6640625,0.0234375
6,6.111111111111112,880,-0.6953125,0.0517578125
60,2.4133333333333336,724,-0.75,0.078125
12,2.45945945945946,728,-0.72265625,0.13671875
12,2.5068493150684934,732,-0.73828125,0.1181640625
60,2.555555555555556,736,-0.7421875,0.046875
60,2.605633802816901,740,-0.7265625,0.064453125
84,2.657142857142857,744,-0.73046875,0.052734375
12,2.710144927536232,748,-0.7421875,0.011067708333333334
12,2.764705882352941,752,-0.71484375,0.072265625
12,2.82089552238806,756,-0.7421875,0.078125
12,2.878787878787879,760,-0.734375,0.041015625
60,2.9384615384615387,764,-0.71484375,0.0234375
12,3.0,768,-0.7109375,0.0361328125
60,3.063492063492064,772,-0.7265625,0.0810546875
60,3.129032258064516,776,-0.71484375,0.037109375
12,3.19672131147541,780,-0.71484375,0.0390625
12,3.2666666666666666,784,-0.73046875,0.0419921875
60,3.3389830508474576,788,-0.71875,0.021484375
60,3.4137931034482767,792,-0.7265625,0.1162109375
12,3.4912280701754392,796,-0.69921875,0.048828125
12,3.571428571428572,800,-0.703125,0.0546875
12,3.654545454545455,804,-0.7109375,0.0087890625
12,3.7407407407407414,808,-0.6953125,0.0849609375
12,3.830188679245283,812,-0.69921875,0.0322265625
12,3.9230769230769234,816,-0.7109375,0.0537109375
