length,p_a,SpinGlass,Magnetization
1.0,0,-288.0,1.0
11.0,0,-208.0,0.28787878787878785
1.0,0,-288.0,1.0
1.0,0,-288.0,1.0
1.0,0,-288.0,1.0
1.0,0,-288.0,1.0
11.0,0,-208.0,0.1212121212121212
1.0,0,-288.0,1.0
1.0,0,-288.0,1.0
1.0,0,-288.0,1.0
1.0,0,-288.0,1.0
1.0,0,-288.0,1.0
1.0,0,-288.0,1.0
1.0,0,-288.0,1.0
1.0,0,-288.0,1.0
1.0,0,-288.0,1.0
1.0,0,-288.0,1.0
1.0,0,-288.0,1.0
1.0,0,-288.0,1.0
11.0,0,-220.0,0.18181818181818182
1.0,0,-288.0,1.0
1.0,0,-288.0,1.0
1.0,0,-288.0,1.0
11.0,0,-212.0,0.36363636363636365
11.0,0,-212.0,0.25757575757575757
11.0,0,-220.0,0.42424242424242425
1.0,0,-288.0,1.0
1.0,0,-288.0,1.0
1.0,0,-288.0,1.0
1.0,0,-288.0,1.0
1.0,0,-288.0,1.0
11.0,0,-212.0,0.2727272727272727
1.0,0,-288.0,1.0
1.0,0,-288.0,1.0
1.0,0,-288.0,1.0
1.0,0,-288.0,1.0
1.0,0,-288.0,1.0
1.0,0,-288.0,1.0
1.0,0,-288.0,1.0
1.0,0,-288.0,1.0
11.0,0,-208.0,0.2727272727272727
1.0,0,-288.0,1.0
1.0,0,-288.0,1.0
1.0,0,-288.0,1.0
11.0,0,-220.0,0.030303030303030307
1.0,0,-288.0,1.0
1.0,0,-288.0,1.0
1.0,0,-288.0,1.0
1.0,0,-288.0,1.0
11.0,0,-208.0,0.09090909090909091
11.0,0,-216.0,0.16666666666666669
1.0,0,-288.0,1.0
1.0,0,-288.0,1.0
1.0,0,-288.0,1.0
11.0,0,-216.0,0.33333333333333337
1.0,0,-288.0,1.0
1.0,0,-288.0,1.0
11.0,0,-212.0,0.49999999999999994
11.0,0,-216.0,0.13636363636363635
1.0,0,-288.0,1.0
11.0,0,-220.0,0.19696969696969696
1.0,0,-288.0,1.0
1.0,0,-288.0,1.0
1.0,0,-288.0,1.0
1.0,0,-288.0,1.0
1.0,0,-288.0,1.0
11.0,0,-208.0,0.07575757575757576
1.0,0,-288.0,1.0
1.0,0,-288.0,1.0
1.0,0,-288.0,1.0
1.0,0,-288.0,1.0
1.0,0,-288.0,1.0
1.0,0,-288.0,1.0
1.0,0,-288.0,1.0
1.0,0,-288.0,1.0
1.0,0,-288.0,1.0
1.0,0,-288.0,1.0
1.0,0,-288.0,1.0
11.0,0,-196.0,0.02777777777777778
1.0,0,-288.0,1.0
1.0,0,-288.0,1.0
1.0,0,-288.0,1.0
1.0,0,-288.0,1.0
1.0,0,-288.0,1.0
11.0,0,-208.0,0.3484848484848485
1.0,0,-288.0,1.0
1.0,0,-288.0,1.0
1.0,0,-288.0,1.0
1.0,0,-288.0,1.0
1.0,0,-288.0,1.0
1.0,0,-288.0,1.0
1.0,0,-288.0,1.0
1.0,0,-288.0,1.0
1.0,0,-288.0,1.0
1.0,0,-288.0,1.0
1.0,0,-288.0,1.0
1.0,0,-288.0,1.0
1.0,0,-288.0,1.0
1.0,0,-288.0,1.0
11.0,0,-220.0,0.13636363636363635
11.0,0,-220.0,0.13636363636363635
1.0,0,-288.0,1.0
11.0,0,-208.0,0.0202020202020202
1.0,0,-288.0,1.0
1.0,0,-288.0,1.0
1.0,0,-288.0,1.0
1.0,0,-288.0,1.0
1.0,0,-288.0,1.0
1.0,0,-288.0,1.0
1.0,0,-288.0,1.0
1.0,0,-288.0,1.0
1.0,0,-288.0,1.0
1.0,0,-288.0,1.0
1.0,0,-288.0,1.0
1.0,0,-288.0,1.0
1.0,0,-288.0,1.0
1.0,0,-288.0,1.0
1.0,0,-288.0,1.0
1.0,0,-288.0,1.0
11.0,0,-204.0,0.10606060606060606
1.0,0,-288.0,1.0
1.0,0,-288.0,1.0
1.0,0,-288.0,1.0
1.0,0,-288.0,1.0
1.0,0,-288.0,1.0
11.0,0,-212.0,0.22727272727272732
1.0,0,-288.0,1.0
1.0,0,-288.0,1.0
1.0,0,-288.0,1.0
1.0,0,-288.0,1.0
1.0,0,-288.0,1.0
1.0,0,-288.0,1.0
11.0,0,-212.0,0.12121212121212123
1.0,0,-288.0,1.0
1.0,0,-288.0,1.0
1.0,0,-288.0,1.0
11.0,0,-220.0,0.2424242424242424
1.0,0,-288.0,1.0
1.0,0,-288.0,1.0
1.0,0,-288.0,1.0
11.0,0,-204.0,0.1212121212121212
1.0,0,-288.0,1.0
1.0,0,-288.0,1.0
11.0,0,-216.0,0.017676767676767676
1.0,0,-288.0,1.0
1.0,0,-288.0,1.0
11.0,0,-212.0,0.25757575757575757
1.0,0,-288.0,1.0
1.0,0,-288.0,1.0
1.0,0,-288.0,1.0
1.0,0,-288.0,1.0
11.0,0,-216.0,0.21212121212121213
1.0,0,-288.0,1.0
1.0,0,-288.0,1.0
1.0,0,-288.0,1.0
1.0,0,-288.0,1.0
1.0,0,-288.0,1.0
1.0,0,-288.0,1.0
1.0,0,-288.0,1.0
1.0,0,-288.0,1.0
1.0,0,-288.0,1.0
1.0,0,-288.0,1.0
1.0,0,-288.0,1.0
1.0,0,-288.0,1.0
1.0,0,-288.0,1.0
11.0,0,-220.0,0.09090909090909093
1.0,0,-288.0,1.0
1.0,0,-288.0,1.0
1.0,0,-288.0,1.0
1.0,0,-288.0,1.0
1.0,0,-288.0,1.0
1.0,0,-288.0,1.0
1.0,0,-288.0,1.0
1.0,0,-288.0,1.0
1.0,0,-288.0,1.0
1.0,0,-288.0,1.0
1.0,0,-288.0,1.0
1.0,0,-288.0,1.0
1.0,0,-288.0,1.0
1.0,0,-288.0,1.0
1.0,0,-288.0,1.0
11.0,0,-204.0,0.060606060606060615
1.0,0,-288.0,1.0
1.0,0,-288.0,1.0
1.0,0,-288.0,1.0
1.0,0,-288.0,1.0
1.0,0,-288.0,1.0
11.0,0,-196.0,0.10606060606060606
1.0,0,-288.0,1.0
1.0,0,-288.0,1.0
1.0,0,-288.0,1.0
1.0,0,-288.0,1.0
1.0,0,-288.0,1.0
1.0,0,-288.0,1.0
1.0,0,-288.0,1.0
1.0,0,-288.0,1.0
11.0,0,-208.0,0.13636363636363635
1.0,0,-288.0,1.0
1.0,0,-288.0,1.0
1.0,0,-288.0,1.0
1.0,0,-288.0,1.0
1.0,0,-288.0,1.0
1.0,0,-288.0,1.0
11.0,0,-216.0,0.0202020202020202
1.0,0,-288.0,1.0
1.0,0,-288.0,1.0
1.0,0,-288.0,1.0
1.0,0,-288.0,1.0
11.0,0,-208.0,0.22727272727272727
11.0,0,-208.0,0.3181818181818181
1.0,0,-288.0,1.0
1.0,0,-288.0,1.0
11.0,0,-216.0,0.030303030303030307
1.0,0,-288.0,1.0
1.0,0,-288.0,1.0
1.0,0,-288.0,1.0
11.0,0,-220.0,0.04545454545454546
1.0,0,-288.0,1.0
1.0,0,-288.0,1.0
1.0,0,-288.0,1.0
11.0,0,-208.0,0.1666666666666667
1.0,0,-288.0,1.0
11.0,0,-220.0,0.16666666666666666
11.0,0,-220.0,0.2727272727272727
1.0,0,-288.0,1.0
1.0,0,-288.0,1.0
1.0,0,-288.0,1.0
1.0,0,-288.0,1.0
1.0,0,-288.0,1.0
11.0,0,-216.0,0.18181818181818182
1.0,0,-288.0,1.0
1.0,0,-288.0,1.0
1.0,0,-288.0,1.0
1.0,0,-288.0,1.0
11.0,0,-212.0,0.10606060606060606
11.0,0,-212.0,0.1818181818181818
1.0,0,-288.0,1.0
11.0,0,-216.0,0.10606060606060606
1.0,0,-288.0,1.0
1.0,0,-288.0,1.0
11.0,0,-212.0,0.42424242424242425
1.0,0,-288.0,1.0
1.0,0,-288.0,1.0
1.0,0,-288.0,1.0
1.0,0,-288.0,1.0
1.0,0,-288.0,1.0
1.0,0,-288.0,1.0
1.0,0,-288.0,1.0
1.0,0,-288.0,1.0
1.0,0,-288.0,1.0
11.0,0,-220.0,0.045454545454545456
1.0,0,-288.0,1.0
1.0,0,-288.0,1.0
1.0,0,-288.0,1.0
1.0,0,-288.0,1.0
11.0,0,-220.0,0.07575757575757576
1.0,0,-288.0,1.0
1.0,0,-288.0,1.0
1.0,0,-288.0,1.0
1.0,0,-288.0,1.0
1.0,0,-288.0,1.0
11.0,0,-212.0,0.07575757575757576
11.0,0,-212.0,0.1666666666666667
1.0,0,-288.0,1.0
11.0,0,-220.0,0.0909090909090909
11.0,0,-208.0,0.16666666666666663
11.0,0,-212.0,0.0303030303030303
1.0,0,-288.0,1.0
1.0,0,-288.0,1.0
1.0,0,-288.0,1.0
1.0,0,-288.0,1.0
1.0,0,-288.0,1.0
11.0,0,-212.0,0.07575757575757576
1.0,0,-288.0,1.0
11.0,0,-204.0,0.12121212121212123
1.0,0,-288.0,1.0
11.0,0,-216.0,0.16666666666666666
1.0,0,-288.0,1.0
11.0,0,-220.0,0.13636363636363635
1.0,0,-288.0,1.0
1.0,0,-288.0,1.0
1.0,0,-288.0,1.0
1.0,0,-288.0,1.0
1.0,0,-288.0,1.0
1.0,0,-288.0,1.0
1.0,0,-288.0,1.0
1.0,0,-288.0,1.0
11.0,0,-216.0,0.07575757575757575
11.0,0,-216.0,0.28787878787878785
1.0,0,-288.0,1.0
1.0,0,-288.0,1.0
1.0,0,-288.0,1.0
1.0,0,-288.0,1.0
1.0,0,-288.0,1.0
1.0,0,-288.0,1.0
1.0,0,-288.0,1.0
1.0,0,-288.0,1.0
11.0,0,-216.0,0.36363636363636365
1.0,0,-288.0,1.0
1.0,0,-288.0,1.0
11.0,0,-224.0,0.19696969696969696
11.0,0,-208.0,0.3181818181818181
11.0,0,-216.0,0.36363636363636365
1.0,0,-288.0,1.0
1.0,0,-288.0,1.0
1.0,0,-288.0,1.0
1.0,0,-288.0,1.0
1.0,0,-288.0,1.0
1.0,0,-288.0,1.0
1.0,0,-288.0,1.0
11.0,0,-204.0,0.15151515151515152
11.0,0,-216.0,0.13636363636363635
1.0,0,-288.0,1.0
1.0,0,-288.0,1.0
1.0,0,-288.0,1.0
11.0,0,-208.0,0.015151515151515154
1.0,0,-288.0,1.0
1.0,0,-288.0,1.0
11.0,0,-204.0,0.21212121212121213
1.0,0,-288.0,1.0
1.0,0,-288.0,1.0
1.0,0,-288.0,1.0
1.0,0,-288.0,1.0
1.0,0,-288.0,1.0
1.0,0,-288.0,1.0
11.0,0,-204.0,0.2878787878787879
1.0,0,-288.0,1.0
11.0,0,-208.0,0.1212121212121212
1.0,0,-288.0,1.0
11.0,0,-200.0,0.13636363636363635
1.0,0,-288.0,1.0
1.0,0,-288.0,1.0
1.0,0,-288.0,1.0
11.0,0,-220.0,0.015151515151515154
1.0,0,-288.0,1.0
11.0,0,-208.0,0.13636363636363635
1.0,0,-288.0,1.0
1.0,0,-288.0,1.0
1.0,0,-288.0,1.0
1.0,0,-288.0,1.0
1.0,0,-288.0,1.0
1.0,0,-288.0,1.0
1.0,0,-288.0,1.0
11.0,0,-216.0,0.19696969696969696
1.0,0,-288.0,1.0
1.0,0,-288.0,1.0
1.0,0,-288.0,1.0
1.0,0,-288.0,1.0
1.0,0,-288.0,1.0
11.0,0,-220.0,0.1515151515151515
1.0,0,-288.0,1.0
1.0,0,-288.0,1.0
1.0,0,-288.0,1.0
1.0,0,-288.0,1.0
1.0,0,-288.0,1.0
1.0,0,-288.0,1.0
1.0,0,-288.0,1.0
1.0,0,-288.0,1.0
11.0,0,-216.0,0.0606060606060606
11.0,0,-216.0,0.21212121212121213
1.0,0,-288.0,1.0
11.0,0,-220.0,0.33333333333333337
11.0,0,-212.0,0.16666666666666666
1.0,0,-288.0,1.0
1.0,0,-288.0,1.0
11.0,0,-220.0,0.045454545454545456
1.0,0,-288.0,1.0
1.0,0,-288.0,1.0
1.0,0,-288.0,1.0
1.0,0,-288.0,1.0
1.0,0,-288.0,1.0
1.0,0,-288.0,1.0
1.0,0,-288.0,1.0
1.0,0,-288.0,1.0
11.0,0,-216.0,0.015151515151515154
11.0,0,-216.0,0.33333333333333337
1.0,0,-288.0,1.0
1.0,0,-288.0,1.0
1.0,0,-288.0,1.0
1.0,0,-288.0,1.0
1.0,0,-288.0,1.0
1.0,0,-288.0,1.0
11.0,0,-212.0,0.18181818181818182
1.0,0,-288.0,1.0
11.0,0,-212.0,0.28787878787878785
1.0,0,-288.0,1.0
11.0,0,-208.0,0.40909090909090917
1.0,0,-288.0,1.0
1.0,0,-288.0,1.0
1.0,0,-288.0,1.0
11.0,0,-212.0,0.36363636363636365
1.0,0,-288.0,1.0
1.0,0,-288.0,1.0
1.0,0,-288.0,1.0
1.0,0,-288.0,1.0
1.0,0,-288.0,1.0
11.0,0,-216.0,0.4848484848484848
11.0,0,-204.0,0.21212121212121213
1.0,0,-288.0,1.0
1.0,0,-288.0,1.0
11.0,0.1,-232.0,0.1212121212121212
7.0,0.1,-232.0,0.5
1.0,0.1,-288.0,1.0
1.0,0.1,-288.0,1.0
1.0,0.1,-288.0,1.0
1.0,0.1,-288.0,1.0
1.0,0.1,-288.0,1.0
1.0,0.1,-240.0,0.3333333333333333
12.0,0.1,-232.0,0.23611111111111113
1.0,0.1,-288.0,1.0
2.0,0.1,-236.0,0.3888888888888889
1.0,0.1,-288.0,1.0
6.0,0.1,-236.0,0.4444444444444445
1.0,0.1,-288.0,1.0
1.0,0.1,-288.0,1.0
1.0,0.1,-288.0,1.0
1.0,0.1,-240.0,0.0
1.0,0.1,-288.0,1.0
1.0,0.1,-288.0,1.0
1.0,0.1,-288.0,1.0
1.0,0.1,-288.0,1.0
1.0,0.1,-288.0,1.0
1.0,0.1,-288.0,1.0
1.0,0.1,-288.0,1.0
1.0,0.1,-288.0,1.0
1.0,0.1,-288.0,1.0
1.0,0.1,-288.0,1.0
1.0,0.1,-288.0,1.0
1.0,0.1,-288.0,1.0
1.0,0.1,-288.0,1.0
1.0,0.1,-288.0,1.0
1.0,0.1,-288.0,1.0
1.0,0.1,-288.0,1.0
11.0,0.1,-236.0,0.28787878787878785
1.0,0.1,-288.0,1.0
1.0,0.1,-288.0,1.0
1.0,0.1,-288.0,1.0
1.0,0.1,-288.0,1.0
1.0,0.1,-288.0,1.0
1.0,0.1,-288.0,1.0
1.0,0.1,-240.0,0.0
1.0,0.1,-288.0,1.0
1.0,0.1,-288.0,1.0
11.0,0.1,-228.0,0.015151515151515154
11.0,0.1,-232.0,0.28787878787878785
88.0,0.1,-232.0,0.29545454545454547
1.0,0.1,-288.0,1.0
1.0,0.1,-288.0,1.0
1.0,0.1,-288.0,1.0
1.0,0.1,-240.0,0.0
1.0,0.1,-240.0,0.3333333333333333
1.0,0.1,-288.0,1.0
1.0,0.1,-288.0,1.0
1.0,0.1,-288.0,1.0
11.0,0.1,-236.0,0.045454545454545456
1.0,0.1,-240.0,0.3333333333333333
11.0,0.1,-232.0,0.030303030303030307
1.0,0.1,-288.0,1.0
11.0,0.1,-228.0,0.030303030303030307
1.0,0.1,-288.0,1.0
11.0,0.1,-232.0,0.09090909090909093
1.0,0.1,-288.0,1.0
1.0,0.1,-288.0,1.0
1.0,0.1,-288.0,1.0
1.0,0.1,-288.0,1.0
11.0,0.1,-236.0,0.18181818181818182
1.0,0.1,-288.0,1.0
1.0,0.1,-288.0,1.0
1.0,0.1,-288.0,1.0
1.0,0.1,-288.0,1.0
1.0,0.1,-288.0,1.0
1.0,0.1,-288.0,1.0
1.0,0.1,-288.0,1.0
1.0,0.1,-288.0,1.0
1.0,0.1,-288.0,1.0
1.0,0.1,-288.0,1.0
1.0,0.1,-288.0,1.0
1.0,0.1,-288.0,1.0
1.0,0.1,-288.0,1.0
1.0,0.1,-288.0,1.0
1.0,0.1,-288.0,1.0
11.0,0.1,-236.0,0.5151515151515151
1.0,0.1,-240.0,0.0
1.0,0.1,-288.0,1.0
1.0,0.1,-288.0,1.0
1.0,0.1,-288.0,1.0
1.0,0.1,-288.0,1.0
1.0,0.1,-288.0,1.0
1.0,0.1,-288.0,1.0
1.0,0.1,-288.0,1.0
1.0,0.1,-288.0,1.0
11.0,0.1,-228.0,0.07575757575757576
1.0,0.1,-240.0,0.16666666666666666
1.0,0.1,-288.0,1.0
1.0,0.1,-288.0,1.0
