length,p_a,SpinGlass,Magnetization
1.0,$0$,-288.0,1.0
1.0,$0$,-288.0,1.0
1.0,$0$,-288.0,1.0
1.0,$0$,-288.0,1.0
1.0,$0$,-288.0,1.0
1.0,$0$,-288.0,1.0
1.0,$0$,-288.0,1.0
1.0,$0$,-288.0,1.0
11.0,$0$,-208.0,0.15151515151515152
11.0,$0$,-204.0,0.030303030303030307
1.0,$0$,-288.0,1.0
1.0,$0$,-288.0,1.0
11.0,$0$,-212.0,0.16666666666666666
11.0,$0$,-212.0,0.25757575757575757
1.0,$0$,-288.0,1.0
1.0,$0$,-288.0,1.0
1.0,$0$,-288.0,1.0
1.0,$0$,-288.0,1.0
1.0,$0$,-288.0,1.0
1.0,$0$,-288.0,1.0
1.0,$0$,-288.0,1.0
1.0,$0$,-288.0,1.0
11.0,$0$,-220.0,0.31818181818181823
1.0,$0$,-288.0,1.0
1.0,$0$,-288.0,1.0
1.0,$0$,-288.0,1.0
1.0,$0$,-288.0,1.0
1.0,$0$,-288.0,1.0
1.0,$0$,-288.0,1.0
11.0,$0$,-212.0,0.36363636363636365
1.0,$0$,-288.0,1.0
1.0,$0$,-288.0,1.0
11.0,$0$,-216.0,0.12121212121212123
1.0,$0$,-288.0,1.0
11.0,$0$,-216.0,0.3030303030303031
1.0,$0$,-288.0,1.0
1.0,$0$,-288.0,1.0
1.0,$0$,-288.0,1.0
1.0,$0$,-288.0,1.0
1.0,$0$,-288.0,1.0
1.0,$0$,-288.0,1.0
1.0,$0$,-288.0,1.0
1.0,$0$,-288.0,1.0
1.0,$0$,-288.0,1.0
1.0,$0$,-288.0,1.0
11.0,$0$,-204.0,0.07575757575757575
1.0,$0$,-288.0,1.0
1.0,$0$,-288.0,1.0
1.0,$0$,-288.0,1.0
1.0,$0$,-288.0,1.0
1.0,$0$,-288.0,1.0
1.0,$0$,-288.0,1.0
1.0,$0$,-288.0,1.0
1.0,$0$,-288.0,1.0
11.0,$0$,-200.0,0.19696969696969696
11.0,$0$,-208.0,0.21212121212121213
1.0,$0$,-288.0,1.0
1.0,$0$,-288.0,1.0
1.0,$0$,-288.0,1.0
1.0,$0$,-288.0,1.0
1.0,$0$,-288.0,1.0
1.0,$0$,-288.0,1.0
1.0,$0$,-288.0,1.0
11.0,$0$,-220.0,0.25757575757575757
1.0,$0$,-288.0,1.0
1.0,$0$,-288.0,1.0
1.0,$0$,-288.0,1.0
11.0,$0$,-212.0,0.07575757575757576
11.0,$0$,-212.0,0.3333333333333333
11.0,$0$,-204.0,0.09090909090909091
1.0,$0$,-288.0,1.0
1.0,$0$,-288.0,1.0
1.0,$0$,-288.0,1.0
1.0,$0$,-288.0,1.0
11.0,$0$,-208.0,0.12121212121212123
1.0,$0$,-288.0,1.0
1.0,$0$,-288.0,1.0
1.0,$0$,-288.0,1.0
11.0,$0$,-212.0,0.09090909090909091
1.0,$0$,-288.0,1.0
1.0,$0$,-288.0,1.0
1.0,$0$,-288.0,1.0
11.0,$0$,-208.0,0.13636363636363635
1.0,$0$,-288.0,1.0
1.0,$0$,-288.0,1.0
11.0,$0$,-212.0,0.15151515151515155
1.0,$0$,-288.0,1.0
11.0,$0$,-216.0,0.10606060606060605
1.0,$0$,-288.0,1.0
11.0,$0$,-212.0,0.15151515151515152
1.0,$0$,-288.0,1.0
1.0,$0$,-288.0,1.0
1.0,$0$,-288.0,1.0
1.0,$0$,-288.0,1.0
1.0,$0$,-288.0,1.0
1.0,$0$,-288.0,1.0
1.0,$0$,-288.0,1.0
11.0,$0$,-220.0,0.15151515151515152
1.0,$0$,-288.0,1.0
11.0,$0$,-212.0,0.07575757575757576
1.0,$0$,-288.0,1.0
1.0,$0$,-288.0,1.0
1.0,$0$,-288.0,1.0
1.0,$0$,-288.0,1.0
1.0,$0$,-288.0,1.0
11.0,$0$,-204.0,0.18181818181818182
1.0,$0$,-288.0,1.0
1.0,$0$,-288.0,1.0
1.0,$0$,-288.0,1.0
1.0,$0$,-288.0,1.0
11.0,$0$,-216.0,0.2727272727272727
1.0,$0$,-288.0,1.0
1.0,$0$,-288.0,1.0
11.0,$0$,-208.0,0.2424242424242424
1.0,$0$,-288.0,1.0
1.0,$0$,-288.0,1.0
11.0,$0$,-216.0,0.42424242424242425
1.0,$0$,-288.0,1.0
1.0,$0$,-288.0,1.0
1.0,$0$,-288.0,1.0
1.0,$0$,-288.0,1.0
1.0,$0$,-288.0,1.0
1.0,$0$,-288.0,1.0
1.0,$0$,-288.0,1.0
11.0,$0$,-220.0,0.16666666666666669
1.0,$0$,-288.0,1.0
1.0,$0$,-288.0,1.0
1.0,$0$,-288.0,1.0
1.0,$0$,-288.0,1.0
11.0,$0$,-220.0,0.07575757575757575
1.0,$0$,-288.0,1.0
1.0,$0$,-288.0,1.0
1.0,$0$,-288.0,1.0
1.0,$0$,-288.0,1.0
11.0,$0$,-208.0,0.10606060606060606
1.0,$0$,-288.0,1.0
1.0,$0$,-288.0,1.0
1.0,$0$,-288.0,1.0
1.0,$0$,-288.0,1.0
1.0,$0$,-288.0,1.0
1.0,$0$,-288.0,1.0
11.0,$0$,-212.0,0.36363636363636365
1.0,$0$,-288.0,1.0
1.0,$0$,-288.0,1.0
1.0,$0$,-288.0,1.0
1.0,$0$,-288.0,1.0
1.0,$0$,-288.0,1.0
11.0,$0$,-212.0,0.012626262626262626
1.0,$0$,-288.0,1.0
1.0,$0$,-288.0,1.0
1.0,$0$,-288.0,1.0
1.0,$0$,-288.0,1.0
1.0,$0$,-288.0,1.0
1.0,$0$,-288.0,1.0
1.0,$0$,-288.0,1.0
1.0,$0$,-288.0,1.0
11.0,$0$,-212.0,0.3484848484848485
1.0,$0$,-288.0,1.0
1.0,$0$,-288.0,1.0
1.0,$0$,-288.0,1.0
11.0,$0$,-216.0,0.1515151515151515
1.0,$0$,-288.0,1.0
1.0,$0$,-288.0,1.0
1.0,$0$,-288.0,1.0
1.0,$0$,-288.0,1.0
1.0,$0$,-288.0,1.0
1.0,$0$,-288.0,1.0
11.0,$0$,-220.0,0.09090909090909091
1.0,$0$,-288.0,1.0
1.0,$0$,-288.0,1.0
11.0,$0$,-204.0,0.18181818181818182
1.0,$0$,-288.0,1.0
1.0,$0$,-288.0,1.0
1.0,$0$,-288.0,1.0
1.0,$0$,-288.0,1.0
11.0,$0$,-208.0,0.45454545454545453
1.0,$0$,-288.0,1.0
1.0,$0$,-288.0,1.0
1.0,$0$,-288.0,1.0
1.0,$0$,-288.0,1.0
1.0,$0$,-288.0,1.0
11.0,$0$,-204.0,0.303030303030303
1.0,$0$,-288.0,1.0
1.0,$0$,-288.0,1.0
11.0,$0$,-212.0,0.10606060606060606
1.0,$0$,-288.0,1.0
11.0,$0$,-204.0,0.15151515151515152
1.0,$0$,-288.0,1.0
1.0,$0$,-288.0,1.0
11.0,$0$,-216.0,0.030303030303030307
1.0,$0$,-288.0,1.0
1.0,$0$,-288.0,1.0
1.0,$0$,-288.0,1.0
11.0,$0$,-212.0,0.045454545454545456
1.0,$0$,-288.0,1.0
1.0,$0$,-288.0,1.0
1.0,$0$,-288.0,1.0
11.0,$0$,-220.0,0.13636363636363638
11.0,$0$,-216.0,0.1212121212121212
1.0,$0$,-288.0,1.0
1.0,$0$,-288.0,1.0
1.0,$0$,-288.0,1.0
1.0,$0$,-288.0,1.0
1.0,$0$,-288.0,1.0
1.0,$0$,-288.0,1.0
1.0,$0$,-288.0,1.0
11.0,$0$,-224.0,0.21212121212121213
11.0,$0$,-220.0,0.1212121212121212
1.0,$0$,-288.0,1.0
1.0,$0$,-288.0,1.0
1.0,$0$,-288.0,1.0
1.0,$0$,-288.0,1.0
1.0,$0$,-288.0,1.0
11.0,$0$,-212.0,0.18181818181818182
1.0,$0$,-288.0,1.0
1.0,$0$,-288.0,1.0
1.0,$0$,-288.0,1.0
1.0,$0$,-288.0,1.0
1.0,$0$,-288.0,1.0
11.0,$0$,-212.0,0.022727272727272728
1.0,$0$,-288.0,1.0
1.0,$0$,-288.0,1.0
1.0,$0$,-288.0,1.0
1.0,$0$,-288.0,1.0
11.0,$0$,-212.0,0.18181818181818182
1.0,$0$,-288.0,1.0
1.0,$0$,-288.0,1.0
11.0,$0$,-204.0,0.37878787878787873
11.0,$0$,-212.0,0.10606060606060609
1.0,$0$,-288.0,1.0
11.0,$0$,-216.0,0.1666666666666667
1.0,$0$,-288.0,1.0
1.0,$0$,-288.0,1.0
1.0,$0$,-288.0,1.0
11.0,$0$,-212.0,0.18181818181818182
1.0,$0$,-288.0,1.0
1.0,$0$,-288.0,1.0
11.0,$0$,-216.0,0.2121212121212121
1.0,$0$,-288.0,1.0
1.0,$0$,-288.0,1.0
1.0,$0$,-288.0,1.0
11.0,$0$,-212.0,0.01767676767676768
1.0,$0$,-288.0,1.0
1.0,$0$,-288.0,1.0
1.0,$0$,-288.0,1.0
1.0,$0$,-288.0,1.0
1.0,$0$,-288.0,1.0
1.0,$0$,-288.0,1.0
11.0,$0$,-212.0,0.3181818181818182
1.0,$0$,-288.0,1.0
11.0,$0$,-212.0,0.18181818181818182
1.0,$0$,-288.0,1.0
11.0,$0$,-200.0,0.15151515151515152
1.0,$0$,-288.0,1.0
1.0,$0$,-288.0,1.0
1.0,$0$,-288.0,1.0
11.0,$0$,-220.0,0.4393939393939394
11.0,$0$,-204.0,0.15151515151515152
11.0,$0$,-216.0,0.12121212121212123
11.0,$0$,-216.0,0.2727272727272727
1.0,$0$,-288.0,1.0
1.0,$0$,-288.0,1.0
1.0,$0$,-288.0,1.0
1.0,$0$,-288.0,1.0
11.0,$0$,-220.0,0.21212121212121213
1.0,$0$,-288.0,1.0
1.0,$0$,-288.0,1.0
11.0,$0$,-212.0,0.030303030303030307
1.0,$0$,-288.0,1.0
1.0,$0$,-288.0,1.0
1.0,$0$,-288.0,1.0
11.0,$0$,-216.0,0.0303030303030303
1.0,$0$,-288.0,1.0
1.0,$0$,-288.0,1.0
1.0,$0$,-288.0,1.0
1.0,$0$,-288.0,1.0
1.0,$0$,-288.0,1.0
1.0,$0$,-288.0,1.0
11.0,$0$,-208.0,0.16666666666666669
1.0,$0$,-288.0,1.0
1.0,$0$,-288.0,1.0
1.0,$0$,-288.0,1.0
1.0,$0$,-288.0,1.0
11.0,$0$,-212.0,0.18181818181818182
1.0,$0$,-288.0,1.0
1.0,$0$,-288.0,1.0
1.0,$0$,-288.0,1.0
11.0,$0$,-220.0,0.13636363636363635
11.0,$0$,-204.0,0.12121212121212119
11.0,$0$,-216.0,0.16666666666666669
1.0,$0$,-288.0,1.0
11.0,$0$,-208.0,0.30303030303030304
