length,$p_{stable}$,SpinGlass,Magnetization
10.0,$0$,-386.0,0.013333333333333332
1.0,$0$,-450.0,1.0
1.0,$0$,-450.0,1.0
1.0,$0$,-450.0,1.0
1.0,$0$,-450.0,1.0
10.0,$0$,-382.0,0.29333333333333333
8.0,$0$,-386.0,0.25
56.0,$0$,-382.0,0.04047619047619048
8.0,$0$,-386.0,0.03333333333333333
63.0,$0$,-382.0,0.024761904761904763
9.0,$0$,-386.0,0.2444444444444444
9.0,$0$,-386.0,0.17037037037037037
7.0,$0$,-386.0,0.21904761904761907
56.0,$0$,-382.0,0.17380952380952383
7.0,$0$,-382.0,0.2380952380952381
1.0,$0$,-450.0,1.0
6.0,$0$,-386.0,0.24444444444444446
1.0,$0$,-450.0,1.0
56.0,$0$,-382.0,0.17380952380952383
1.0,$0$,-450.0,1.0
9.0,$0$,-386.0,0.0962962962962963
1.0,$0$,-450.0,1.0
1.0,$0$,-450.0,1.0
1.0,$0$,-450.0,1.0
56.0,$0$,-382.0,0.19523809523809524
1.0,$0$,-450.0,1.0
1.0,$0$,-450.0,1.0
1.0,$0$,-390.0,0.4666666666666667
1.0,$0$,-450.0,1.0
1.0,$0$,-390.0,0.06666666666666667
1.0,$0$,-450.0,1.0
1.0,$0$,-450.0,1.0
1.0,$0$,-450.0,1.0
1.0,$0$,-450.0,1.0
7.0,$0$,-386.0,0.2571428571428572
9.0,$0$,-382.0,0.012345679012345678
10.0,$0$,-386.0,0.12
56.0,$0$,-382.0,0.18571428571428572
8.0,$0$,-386.0,0.13333333333333333
8.0,$0$,-386.0,0.09999999999999999
1.0,$0$,-450.0,1.0
1.0,$0$,-450.0,1.0
1.0,$0$,-450.0,1.0
9.0,$0$,-386.0,0.15555555555555556
1.0,$0$,-390.0,0.3333333333333333
1.0,$0$,-450.0,1.0
1.0,$0$,-450.0,1.0
1.0,$0$,-450.0,1.0
1.0,$0$,-450.0,1.0
1.0,$0$,-450.0,1.0
1.0,$0$,-450.0,1.0
1.0,$0$,-450.0,1.0
90.0,$0$,-382.0,0.18074074074074076
10.0,$0$,-386.0,0.3866666666666667
1.0,$0$,-390.0,0.3333333333333333
1.0,$0$,-450.0,1.0
1.0,$0$,-390.0,0.06666666666666667
40.0,$0$,-382.0,0.26000000000000006
10.0,$0$,-386.0,0.36
1.0,$0$,-450.0,1.0
9.0,$0$,-386.0,0.037037037037037035
40.0,$0$,-382.0,0.30333333333333334
1.0,$0$,-450.0,1.0
1.0,$0$,-450.0,1.0
1.0,$0$,-450.0,1.0
1.0,$0$,-450.0,1.0
1.0,$0$,-450.0,1.0
1.0,$0$,-450.0,1.0
1.0,$0$,-450.0,1.0
1.0,$0$,-450.0,1.0
1.0,$0$,-450.0,1.0
1.0,$0$,-450.0,1.0
1.0,$0$,-450.0,1.0
40.0,$0$,-382.0,0.46333333333333326
1.0,$0$,-450.0,1.0
1.0,$0$,-450.0,1.0
1.0,$0$,-450.0,1.0
1.0,$0$,-450.0,1.0
9.0,$0$,-386.0,0.3037037037037037
1.0,$0$,-450.0,1.0
90.0,$0$,-382.0,0.10814814814814812
1.0,$0$,-450.0,1.0
1.0,$0$,-390.0,0.2
1.0,$0$,-390.0,0.3333333333333333
1.0,$0$,-450.0,1.0
1.0,$0$,-450.0,1.0
1.0,$0$,-450.0,1.0
1.0,$0$,-450.0,1.0
1.0,$0$,-450.0,1.0
1.0,$0$,-450.0,1.0
1.0,$0$,-450.0,1.0
1.0,$0$,-450.0,1.0
5.0,$0$,-386.0,0.018666666666666668
1.0,$0$,-450.0,1.0
1.0,$0$,-450.0,1.0
