init_magnet,length,Magnetization_mean,Magnetization_min,Magnetization_max,Magnetization_std,SpinGlass
0.0,2,0.01953125,0.015625,0.0234375,0.00390625,-0.078125
0.0,2,0.0390625,0.0390625,0.0390625,0.0,-0.03125
0.0,2,0.03515625,0.03125,0.0390625,0.00390625,0.0
0.0,2,0.01953125,0.015625,0.0234375,0.00390625,-0.0390625
0.0,2,0.015625,0.015625,0.015625,0.0,-0.03125
0.0,2,0.0078125,0.0078125,0.0078125,0.0,-0.0078125
0.0,2,0.01953125,0.015625,0.0234375,0.00390625,-0.140625
0.0,2,0.03515625,0.03125,0.0390625,0.00390625,-0.0234375
0.0,2,0.00390625,0.0,0.0078125,0.00390625,-0.1015625
0.0,2,0.015625,0.015625,0.015625,0.0,-0.0859375
0.0,2,0.02734375,0.0234375,0.03125,0.00390625,-0.046875
0.0,2,0.01171875,0.0078125,0.015625,0.00390625,-0.09375
0.0,2,0.01953125,0.0078125,0.03125,0.01171875,-0.0625
0.0,2,0.01171875,0.0078125,0.015625,0.00390625,-0.0078125
0.0,2,0.015625,0.0078125,0.0234375,0.0078125,-0.046875
0.0,1,0.046875,0.046875,0.046875,0.0,-0.0703125
0.0,2,0.015625,0.0078125,0.0234375,0.0078125,-0.046875
0.0,2,0.04296875,0.0390625,0.046875,0.00390625,-0.0625
0.0,2,0.0234375,0.015625,0.03125,0.0078125,0.0234375
0.0,2,0.02734375,0.0234375,0.03125,0.00390625,-0.109375
0.0,2,0.01171875,0.0078125,0.015625,0.00390625,-0.1484375
0.0,2,0.00390625,0.0,0.0078125,0.00390625,-0.015625
0.0,2,0.05859375,0.0546875,0.0625,0.00390625,-0.046875
0.0,2,0.01171875,0.0078125,0.015625,0.00390625,-0.0078125
0.0,2,0.0625,0.0546875,0.0703125,0.0078125,-0.046875
0.0,2,0.00390625,0.0,0.0078125,0.00390625,0.0078125
0.0,2,0.01953125,0.015625,0.0234375,0.00390625,-0.0078125
0.0,1,0.0546875,0.0546875,0.0546875,0.0,-0.125
0.0,2,0.01171875,0.0078125,0.015625,0.00390625,-0.03125
0.0,2,0.01171875,0.0078125,0.015625,0.00390625,0.0546875
0.0,2,0.0390625,0.03125,0.046875,0.0078125,-0.1171875
0.0,2,0.03125,0.03125,0.03125,0.0,-0.0546875
0.0,2,0.015625,0.0078125,0.0234375,0.0078125,-0.0234375
0.0,2,0.04296875,0.0390625,0.046875,0.00390625,-0.0078125
0.0,1,0.015625,0.015625,0.015625,0.0,-0.078125
0.0,2,0.0,0.0,0.0,0.0,-0.0546875
0.0,2,0.015625,0.015625,0.015625,0.0,-0.0390625
0.0,2,0.01171875,0.0,0.0234375,0.01171875,-0.046875
0.0,2,0.02734375,0.0234375,0.03125,0.00390625,-0.03125
0.0,2,0.0234375,0.0234375,0.0234375,0.0,-0.0390625
0.0,1,0.0390625,0.0390625,0.0390625,0.0,-0.015625
0.0,2,0.03515625,0.03125,0.0390625,0.00390625,-0.0859375
0.0,2,0.03515625,0.03125,0.0390625,0.00390625,-0.0546875
0.0,1,0.0078125,0.0078125,0.0078125,0.0,-0.0234375
0.0,2,0.0078125,0.0078125,0.0078125,0.0,-0.0859375
0.0,2,0.015625,0.0078125,0.0234375,0.0078125,-0.0625
0.0,2,0.0078125,0.0078125,0.0078125,0.0,0.03125
0.0,2,0.0234375,0.0234375,0.0234375,0.0,-0.015625
0.0,2,0.015625,0.015625,0.015625,0.0,-0.0390625
0.0,2,0.00390625,0.0,0.0078125,0.00390625,-0.1015625
0.0,2,0.03125,0.03125,0.03125,0.0,-0.03125
0.0,1,0.0234375,0.0234375,0.0234375,0.0,-0.03125
0.0,2,0.046875,0.046875,0.046875,0.0,-0.0546875
0.0,2,0.00390625,0.0,0.0078125,0.00390625,0.0
0.0,2,0.01171875,0.0078125,0.015625,0.00390625,-0.046875
0.0,2,0.00390625,0.0,0.0078125,0.00390625,0.03125
0.0,2,0.015625,0.0078125,0.0234375,0.0078125,0.0546875
0.0,2,0.0078125,0.0,0.015625,0.0078125,-0.0078125
0.0,2,0.015625,0.0078125,0.0234375,0.0078125,-0.109375
0.0,2,0.0390625,0.03125,0.046875,0.0078125,-0.03125
0.0,2,0.01171875,0.0078125,0.015625,0.00390625,-0.0078125
0.0,2,0.0234375,0.015625,0.03125,0.0078125,-0.0625
0.0,2,0.03515625,0.03125,0.0390625,0.00390625,-0.0625
0.0,2,0.03125,0.0234375,0.0390625,0.0078125,-0.125
0.0,2,0.015625,0.0078125,0.0234375,0.0078125,-0.0234375
0.0,2,0.01171875,0.0078125,0.015625,0.00390625,-0.1171875
0.0,2,0.02734375,0.0234375,0.03125,0.00390625,-0.0234375
0.0,2,0.01953125,0.015625,0.0234375,0.00390625,-0.0234375
0.0,2,0.03515625,0.03125,0.0390625,0.00390625,-0.046875
0.0,2,0.02734375,0.015625,0.0390625,0.01171875,-0.0234375
0.0,2,0.01171875,0.0078125,0.015625,0.00390625,0.015625
0.0,2,0.046875,0.046875,0.046875,0.0,-0.0390625
0.0,2,0.015625,0.015625,0.015625,0.0,0.0390625
0.0,2,0.0078125,0.0,0.015625,0.0078125,-0.0078125
0.0,2,0.03515625,0.03125,0.0390625,0.00390625,0.0078125
0.0,2,0.02734375,0.0234375,0.03125,0.00390625,-0.03125
0.0,1,0.0546875,0.0546875,0.0546875,0.0,-0.09375
0.0,2,0.01171875,0.0078125,0.015625,0.00390625,-0.0078125
0.0,2,0.01171875,0.0078125,0.015625,0.00390625,-0.0625
0.0,2,0.01171875,0.0078125,0.015625,0.00390625,-0.0859375
0.0,2,0.01953125,0.015625,0.0234375,0.00390625,0.0390625
0.0,2,0.015625,0.0078125,0.0234375,0.0078125,-0.0234375
0.0,2,0.01953125,0.015625,0.0234375,0.00390625,-0.1015625
0.0,2,0.0078125,0.0,0.015625,0.0078125,-0.0703125
0.0,2,0.02734375,0.0234375,0.03125,0.00390625,0.03125
0.0,2,0.00390625,0.0,0.0078125,0.00390625,-0.1171875
0.0,1,0.0,0.0,0.0,0.0,-0.1015625
0.0,1,0.0390625,0.0390625,0.0390625,0.0,-0.0859375
0.0,2,0.02734375,0.0234375,0.03125,0.00390625,-0.0078125
0.0,2,0.02734375,0.015625,0.0390625,0.01171875,-0.1171875
0.0,2,0.00390625,0.0,0.0078125,0.00390625,-0.015625
0.0,2,0.01171875,0.0078125,0.015625,0.00390625,-0.078125
0.0,2,0.01953125,0.015625,0.0234375,0.00390625,-0.0546875
0.0,2,0.03515625,0.03125,0.0390625,0.00390625,-0.03125
0.0,2,0.0234375,0.0234375,0.0234375,0.0,-0.015625
0.0,2,0.02734375,0.0234375,0.03125,0.00390625,-0.0546875
0.0,2,0.00390625,0.0,0.0078125,0.00390625,-0.0703125
0.0,2,0.01171875,0.0078125,0.015625,0.00390625,-0.046875
0.0,2,0.02734375,0.0234375,0.03125,0.00390625,-0.0859375
0.0,2,0.046875,0.0390625,0.0546875,0.0078125,-0.0703125
0.0,1,0.0234375,0.0234375,0.0234375,0.0,0.0078125
0.0,2,0.0078125,0.0078125,0.0078125,0.0,-0.015625
0.0,2,0.015625,0.0078125,0.0234375,0.0078125,0.0234375
0.0,2,0.02734375,0.0234375,0.03125,0.00390625,-0.0234375
0.0,2,0.00390625,0.0,0.0078125,0.00390625,-0.1484375
0.0,2,0.00390625,0.0,0.0078125,0.00390625,-0.1171875
0.0,2,0.00390625,0.0,0.0078125,0.00390625,-0.171875
0.0,2,0.02734375,0.0234375,0.03125,0.00390625,-0.03125
0.0,2,0.0078125,0.0,0.015625,0.0078125,-0.0390625
0.0,1,0.0078125,0.0078125,0.0078125,0.0,-0.0859375
0.0,2,0.01171875,0.0078125,0.015625,0.00390625,-0.0078125
0.0,1,0.0,0.0,0.0,0.0,0.015625
0.0,2,0.0078125,0.0078125,0.0078125,0.0,-0.0390625
0.0,2,0.02734375,0.0234375,0.03125,0.00390625,-0.03125
0.0,2,0.04296875,0.0390625,0.046875,0.00390625,-0.0546875
0.0,2,0.02734375,0.0234375,0.03125,0.00390625,-0.0546875
0.0,2,0.00390625,0.0,0.0078125,0.00390625,-0.015625
0.0,2,0.0078125,0.0,0.015625,0.0078125,-0.0859375
0.0,2,0.02734375,0.0234375,0.03125,0.00390625,-0.0859375
0.0,2,0.00390625,0.0,0.0078125,0.00390625,-0.0078125
0.0,2,0.01171875,0.0078125,0.015625,0.00390625,0.0078125
0.0,1,0.0078125,0.0078125,0.0078125,0.0,-0.046875
0.0,2,0.03125,0.03125,0.03125,0.0,0.0234375
0.0,2,0.01171875,0.0078125,0.015625,0.00390625,-0.0078125
0.0,2,0.01171875,0.0078125,0.015625,0.00390625,-0.0546875
0.0,2,0.00390625,0.0,0.0078125,0.00390625,-0.078125
0.0,2,0.03515625,0.03125,0.0390625,0.00390625,0.0078125
0.0,2,0.01953125,0.015625,0.0234375,0.00390625,-0.0625
0.0,1,0.046875,0.046875,0.046875,0.0,-0.1328125
0.0,2,0.00390625,0.0,0.0078125,0.00390625,-0.0234375
0.0,2,0.03515625,0.03125,0.0390625,0.00390625,-0.0859375
0.0,1,0.0390625,0.0390625,0.0390625,0.0,-0.1171875
0.0,2,0.0625,0.0546875,0.0703125,0.0078125,-0.046875
0.0,2,0.00390625,0.0,0.0078125,0.00390625,-0.015625
0.0,2,0.0546875,0.046875,0.0625,0.0078125,0.0078125
0.0,2,0.0078125,0.0078125,0.0078125,0.0,0.03125
0.0,2,0.00390625,0.0,0.0078125,0.00390625,-0.0703125
0.0,2,0.05078125,0.046875,0.0546875,0.00390625,-0.046875
0.0,2,0.04296875,0.0390625,0.046875,0.00390625,-0.078125
0.0,2,0.0234375,0.0234375,0.0234375,0.0,0.015625
0.0,1,0.046875,0.046875,0.046875,0.0,-0.015625
0.0,2,0.0078125,0.0078125,0.0078125,0.0,-0.03125
0.0,1,0.0,0.0,0.0,0.0,-0.109375
0.0,2,0.03515625,0.03125,0.0390625,0.00390625,0.0
0.0,2,0.0078125,0.0,0.015625,0.0078125,-0.0546875
0.0,2,0.00390625,0.0,0.0078125,0.00390625,-0.0625
0.0,2,0.01171875,0.0078125,0.015625,0.00390625,-0.0078125
0.0,2,0.01171875,0.0078125,0.015625,0.00390625,0.0
0.0,2,0.01171875,0.0078125,0.015625,0.00390625,-0.0859375
0.0,2,0.01171875,0.0078125,0.015625,0.00390625,-0.03125
0.0,2,0.01171875,0.0078125,0.015625,0.00390625,0.0
0.0,2,0.0078125,0.0078125,0.0078125,0.0,-0.0390625
0.0,2,0.01953125,0.015625,0.0234375,0.00390625,0.0625
0.0,2,0.0078125,0.0,0.015625,0.0078125,-0.0703125
0.0,2,0.015625,0.015625,0.015625,0.0,-0.0390625
0.0,2,0.0078125,0.0,0.015625,0.0078125,-0.0859375
0.0,2,0.0234375,0.0234375,0.0234375,0.0,-0.046875
0.0,2,0.03125,0.0234375,0.0390625,0.0078125,-0.0390625
0.0,2,0.0078125,0.0078125,0.0078125,0.0,-0.03125
0.0,2,0.046875,0.0390625,0.0546875,0.0078125,0.0
0.0,2,0.01953125,0.015625,0.0234375,0.00390625,-0.0234375
0.0,2,0.03125,0.03125,0.03125,0.0,0.015625
0.0,2,0.01953125,0.015625,0.0234375,0.00390625,-0.0078125
0.0,2,0.0,0.0,0.0,0.0,-0.0078125
0.0,2,0.02734375,0.0234375,0.03125,0.00390625,0.0
0.0,2,0.01171875,0.0078125,0.015625,0.00390625,-0.0234375
0.0,2,0.04296875,0.0390625,0.046875,0.00390625,-0.0234375
0.0,2,0.0390625,0.0390625,0.0390625,0.0,0.0078125
0.0,2,0.01953125,0.015625,0.0234375,0.00390625,-0.09375
0.0,2,0.01171875,0.0,0.0234375,0.01171875,-0.0390625
0.0,2,0.00390625,0.0,0.0078125,0.00390625,-0.09375
0.0,2,0.03515625,0.03125,0.0390625,0.00390625,-0.0234375
0.0,2,0.03515625,0.03125,0.0390625,0.00390625,-0.046875
0.0,2,0.015625,0.015625,0.015625,0.0,-0.0546875
0.0,2,0.01171875,0.0078125,0.015625,0.00390625,0.03125
0.0,2,0.00390625,0.0,0.0078125,0.00390625,0.0
0.0,2,0.05078125,0.046875,0.0546875,0.00390625,0.03125
0.0,1,0.015625,0.015625,0.015625,0.0,-0.078125
0.0,2,0.0390625,0.03125,0.046875,0.0078125,-0.046875
0.0,2,0.01953125,0.015625,0.0234375,0.00390625,-0.0703125
0.0,1,0.0546875,0.0546875,0.0546875,0.0,-0.09375
0.0,2,0.01171875,0.0078125,0.015625,0.00390625,0.0
0.0,2,0.01953125,0.015625,0.0234375,0.00390625,-0.078125
0.0,1,0.046875,0.046875,0.046875,0.0,-0.0234375
0.0,1,0.0234375,0.0234375,0.0234375,0.0,0.015625
0.0,2,0.02734375,0.0234375,0.03125,0.00390625,0.046875
0.0,2,0.00390625,0.0,0.0078125,0.00390625,-0.09375
0.0,2,0.0390625,0.03125,0.046875,0.0078125,-0.1015625
0.0,2,0.0390625,0.0390625,0.0390625,0.0,-0.0390625
0.0,2,0.03125,0.0234375,0.0390625,0.0078125,0.0625
0.0,2,0.01171875,0.0078125,0.015625,0.00390625,-0.0078125
0.0,2,0.01171875,0.0078125,0.015625,0.00390625,-0.0390625
0.0,2,0.0234375,0.015625,0.03125,0.0078125,0.0078125
0.0,2,0.015625,0.0078125,0.0234375,0.0078125,-0.078125
0.0,2,0.01953125,0.015625,0.0234375,0.00390625,-0.03125
0.0,1,0.0078125,0.0078125,0.0078125,0.0,-0.0703125
0.0,2,0.00390625,0.0,0.0078125,0.00390625,-0.0703125
0.0,2,0.015625,0.0078125,0.0234375,0.0078125,-0.1484375
0.0,2,0.03125,0.03125,0.03125,0.0,0.0
0.0,2,0.00390625,0.0,0.0078125,0.00390625,-0.046875
0.0,2,0.015625,0.0078125,0.0234375,0.0078125,-0.015625
0.0,2,0.0078125,0.0,0.015625,0.0078125,-0.15625
0.0,2,0.0078125,0.0,0.015625,0.0078125,0.0234375
0.0,2,0.0234375,0.015625,0.03125,0.0078125,0.046875
0.0,2,0.01171875,0.0,0.0234375,0.01171875,0.0078125
0.0,1,0.046875,0.046875,0.046875,0.0,-0.0078125
0.0,2,0.00390625,0.0,0.0078125,0.00390625,-0.0859375
0.0,2,0.01171875,0.0078125,0.015625,0.00390625,-0.0390625
0.0,2,0.0234375,0.0234375,0.0234375,0.0,-0.0546875
0.0,2,0.015625,0.015625,0.015625,0.0,-0.0859375
0.0,2,0.0234375,0.0234375,0.0234375,0.0,-0.078125
0.0,2,0.0078125,0.0078125,0.0078125,0.0,-0.0703125
0.0,2,0.03515625,0.03125,0.0390625,0.00390625,0.046875
0.0,2,0.046875,0.0390625,0.0546875,0.0078125,-0.046875
0.0,2,0.046875,0.046875,0.046875,0.0,-0.0546875
0.0,2,0.0078125,0.0078125,0.0078125,0.0,0.0078125
0.0,2,0.03515625,0.03125,0.0390625,0.00390625,-0.09375
0.0,2,0.00390625,0.0,0.0078125,0.00390625,0.0234375
0.0,1,0.0390625,0.0390625,0.0390625,0.0,0.0
0.0,1,0.03125,0.03125,0.03125,0.0,-0.046875
0.0,2,0.0390625,0.03125,0.046875,0.0078125,-0.1015625
0.0,2,0.015625,0.015625,0.015625,0.0,-0.015625
0.0,2,0.01953125,0.015625,0.0234375,0.00390625,-0.0625
0.0,2,0.0234375,0.0234375,0.0234375,0.0,-0.015625
0.0,2,0.06640625,0.0625,0.0703125,0.00390625,-0.0546875
0.0,2,0.01171875,0.0078125,0.015625,0.00390625,0.03125
0.0,2,0.0078125,0.0078125,0.0078125,0.0,0.0
0.0,2,0.03125,0.03125,0.03125,0.0,-0.0703125
0.0,2,0.015625,0.0078125,0.0234375,0.0078125,0.0234375
0.0,1,0.015625,0.015625,0.015625,0.0,0.0078125
0.0,2,0.015625,0.015625,0.015625,0.0,-0.078125
0.0,2,0.0234375,0.0234375,0.0234375,0.0,-0.0546875
0.0,2,0.0078125,0.0078125,0.0078125,0.0,-0.015625
0.0,2,0.015625,0.0078125,0.0234375,0.0078125,-0.03125
0.0,2,0.0234375,0.015625,0.03125,0.0078125,0.0078125
0.0,2,0.04296875,0.03125,0.0546875,0.01171875,0.0234375
0.0,2,0.01171875,0.0078125,0.015625,0.00390625,-0.0859375
0.0,2,0.01953125,0.015625,0.0234375,0.00390625,-0.0859375
0.0,1,0.046875,0.046875,0.046875,0.0,-0.125
0.0,2,0.015625,0.015625,0.015625,0.0,-0.0390625
0.0,2,0.00390625,0.0,0.0078125,0.00390625,-0.03125
0.0,2,0.0078125,0.0078125,0.0078125,0.0,-0.0390625
0.0,1,0.0,0.0,0.0,0.0,0.0
0.0,2,0.0546875,0.046875,0.0625,0.0078125,-0.0703125
0.0,2,0.0078125,0.0078125,0.0078125,0.0,-0.0078125
0.0,2,0.0390625,0.0390625,0.0390625,0.0,0.0078125
0.0,2,0.0078125,0.0,0.015625,0.0078125,-0.046875
0.0,2,0.03125,0.0234375,0.0390625,0.0078125,-0.046875
0.0,2,0.015625,0.015625,0.015625,0.0,-0.0078125
0.0,2,0.00390625,0.0,0.0078125,0.00390625,-0.0234375
0.0,2,0.03515625,0.03125,0.0390625,0.00390625,-0.015625
0.0,2,0.0,0.0,0.0,0.0,-0.046875
0.0,2,0.03515625,0.0234375,0.046875,0.01171875,-0.0859375
0.0,1,0.0,0.0,0.0,0.0,-0.0390625
0.0,2,0.0234375,0.0234375,0.0234375,0.0,-0.0859375
0.0,2,0.02734375,0.0234375,0.03125,0.00390625,-0.0546875
0.0,2,0.0078125,0.0,0.015625,0.0078125,-0.0078125
0.0,2,0.00390625,0.0,0.0078125,0.00390625,-0.03125
0.0,2,0.0078125,0.0078125,0.0078125,0.0,0.046875
0.0,2,0.01171875,0.0078125,0.015625,0.00390625,-0.125
0.0,2,0.01171875,0.0078125,0.015625,0.00390625,-0.0546875
0.0,2,0.00390625,0.0,0.0078125,0.00390625,0.015625
0.0,2,0.01171875,0.0078125,0.015625,0.00390625,-0.03125
0.0,1,0.0234375,0.0234375,0.0234375,0.0,-0.015625
0.0,2,0.0,0.0,0.0,0.0,-0.015625
0.0,2,0.01953125,0.015625,0.0234375,0.00390625,-0.0703125
0.0,2,0.03125,0.0234375,0.0390625,0.0078125,-0.0546875
0.0,1,0.046875,0.046875,0.046875,0.0,-0.03125
0.0,2,0.00390625,0.0,0.0078125,0.00390625,-0.09375
0.0,1,0.0390625,0.0390625,0.0390625,0.0,-0.046875
0.0,2,0.01171875,0.0078125,0.015625,0.00390625,-0.0625
0.0,2,0.02734375,0.0234375,0.03125,0.00390625,-0.0390625
0.0,2,0.0,0.0,0.0,0.0,0.015625
0.0,2,0.01171875,0.0078125,0.015625,0.00390625,-0.09375
0.0,2,0.0078125,0.0078125,0.0078125,0.0,-0.0703125
0.0,2,0.015625,0.015625,0.015625,0.0,-0.0703125
0.0,2,0.01171875,0.0,0.0234375,0.01171875,0.0
0.0,2,0.00390625,0.0,0.0078125,0.00390625,-0.015625
