length,$p_{stable}$,SpinGlass,Magnetization
1.0,0,-800.0,1.0
1.0,0,-800.0,1.0
19.0,0,-680.0,0.4105263157894737
1.0,0,-800.0,1.0
19.0,0,-672.0,0.1105263157894737
19.0,0,-664.0,0.04736842105263159
1.0,0,-800.0,1.0
19.0,0,-676.0,0.2263157894736842
1.0,0,-800.0,1.0
19.0,0,-676.0,0.19473684210526318
19.0,0,-676.0,0.01578947368421053
1.0,0,-800.0,1.0
1.0,0,-800.0,1.0
1.0,0,-800.0,1.0
1.0,0,-800.0,1.0
19.0,0,-656.0,0.37368421052631573
19.0,0,-672.0,0.2157894736842105
19.0,0,-652.0,0.22631578947368425
1.0,0,-800.0,1.0
19.0,0,-660.0,0.14210526315789473
19.0,0,-684.0,0.05263157894736843
1.0,0,-800.0,1.0
1.0,0,-800.0,1.0
19.0,0,-668.0,0.2894736842105263
1.0,0,-800.0,1.0
1.0,0,-800.0,1.0
1.0,0,-800.0,1.0
19.0,0,-664.0,0.04210526315789474
19.0,0,-672.0,0.008947368421052631
1.0,0,-800.0,1.0
19.0,0,-680.0,0.1105263157894737
1.0,0,-800.0,1.0
1.0,0,-800.0,1.0
19.0,0,-684.0,0.1
19.0,0,-680.0,0.03157894736842106
1.0,0,-800.0,1.0
19.0,0,-660.0,0.2210526315789474
1.0,0,-800.0,1.0
1.0,0,-800.0,1.0
19.0,0,-660.0,0.3631578947368422
1.0,0,-800.0,1.0
1.0,0,-800.0,1.0
19.0,0,-672.0,0.09473684210526316
1.0,0,-800.0,1.0
1.0,0,-800.0,1.0
1.0,0,-800.0,1.0
1.0,0,-800.0,1.0
19.0,0,-660.0,0.4315789473684211
1.0,0,-800.0,1.0
19.0,0,-680.0,0.02105263157894737
19.0,0,-676.0,0.14736842105263157
1.0,0,-800.0,1.0
19.0,0,-672.0,0.1105263157894737
1.0,0,-800.0,1.0
1.0,0,-800.0,1.0
1.0,0,-800.0,1.0
1.0,0,-800.0,1.0
1.0,0,-800.0,1.0
1.0,0,-800.0,1.0
19.0,0,-704.0,0.21578947368421056
1.0,0,-800.0,1.0
1.0,0,-800.0,1.0
19.0,0,-676.0,0.29473684210526313
1.0,0,-800.0,1.0
1.0,0,-800.0,1.0
1.0,0,-800.0,1.0
19.0,0,-664.0,0.22105263157894733
1.0,0,-800.0,1.0
1.0,0,-800.0,1.0
19.0,0,-660.0,0.03157894736842106
19.0,0,-676.0,0.04736842105263159
19.0,0,-676.0,0.04736842105263159
1.0,0,-800.0,1.0
1.0,0,-800.0,1.0
1.0,0,-800.0,1.0
1.0,0,-800.0,1.0
1.0,0,-800.0,1.0
19.0,0,-652.0,0.19999999999999998
1.0,0,-800.0,1.0
19.0,0,-656.0,0.16842105263157894
19.0,0,-672.0,0.06315789473684211
1.0,0,-800.0,1.0
19.0,0,-672.0,0.13157894736842105
1.0,0,-800.0,1.0
19.0,0,-664.0,0.3578947368421052
19.0,0,-664.0,0.06842105263157895
1.0,0,-800.0,1.0
1.0,0,-800.0,1.0
1.0,0,-800.0,1.0
1.0,0,-800.0,1.0
19.0,0,-672.0,0.24210526315789477
1.0,0,-800.0,1.0
1.0,0,-800.0,1.0
1.0,0,-800.0,1.0
1.0,0,-800.0,1.0
19.0,0,-664.0,0.01368421052631579
1.0,0,-800.0,1.0
1.0,0,-800.0,1.0
1.0,0,-800.0,1.0
1.0,0,-800.0,1.0
19.0,0,-672.0,0.23684210526315788
1.0,0,-800.0,1.0
1.0,0,-800.0,1.0
1.0,0,-800.0,1.0
1.0,0,-800.0,1.0
1.0,0,-800.0,1.0
1.0,0,-800.0,1.0
1.0,0,-800.0,1.0
1.0,0,-800.0,1.0
1.0,0,-800.0,1.0
1.0,0,-800.0,1.0
19.0,0,-668.0,0.04736842105263159
19.0,0,-656.0,0.331578947368421
1.0,0,-800.0,1.0
1.0,0,-800.0,1.0
1.0,0,-800.0,1.0
1.0,0,-800.0,1.0
19.0,0,-668.0,0.37368421052631584
1.0,0,-800.0,1.0
1.0,0,-800.0,1.0
1.0,0,-800.0,1.0
1.0,0,-800.0,1.0
19.0,0,-676.0,0.23157894736842102
1.0,0,-800.0,1.0
19.0,0,-680.0,0.2578947368421052
1.0,0,-800.0,1.0
1.0,0,-800.0,1.0
1.0,0,-800.0,1.0
1.0,0,-800.0,1.0
1.0,0,-800.0,1.0
1.0,0,-800.0,1.0
1.0,0,-800.0,1.0
19.0,0,-656.0,0.26842105263157895
1.0,0,-800.0,1.0
1.0,0,-800.0,1.0
1.0,0,-800.0,1.0
1.0,0,-800.0,1.0
1.0,0,-800.0,1.0
1.0,0,-800.0,1.0
19.0,0,-652.0,0.28947368421052627
19.0,0,-668.0,0.03157894736842106
1.0,0,-800.0,1.0
1.0,0,-800.0,1.0
19.0,0,-672.0,0.06842105263157897
1.0,0,-800.0,1.0
1.0,0,-800.0,1.0
1.0,0,-800.0,1.0
1.0,0,-800.0,1.0
1.0,0,-800.0,1.0
1.0,0,-800.0,1.0
1.0,0,-800.0,1.0
1.0,0,-800.0,1.0
1.0,0,-800.0,1.0
19.0,0,-664.0,0.02631578947368421
1.0,0,-800.0,1.0
1.0,0,-800.0,1.0
1.0,0,-800.0,1.0
19.0,0,-664.0,0.18421052631578946
1.0,0,-800.0,1.0
1.0,0,-800.0,1.0
1.0,0,-800.0,1.0
19.0,0,-628.0,0.08421052631578947
1.0,0,-800.0,1.0
1.0,0,-800.0,1.0
1.0,0,-800.0,1.0
1.0,0,-800.0,1.0
19.0,0,-696.0,0.08421052631578947
1.0,0,-800.0,1.0
1.0,0,-800.0,1.0
1.0,0,-800.0,1.0
19.0,0,-680.0,0.10526315789473686
19.0,0,-660.0,0.38947368421052636
1.0,0,-800.0,1.0
19.0,0,-668.0,0.17368421052631577
1.0,0,-800.0,1.0
19.0,0,-672.0,0.3368421052631579
1.0,0,-800.0,1.0
1.0,0,-800.0,1.0
1.0,0,-800.0,1.0
1.0,0,-800.0,1.0
1.0,0,-800.0,1.0
1.0,0,-800.0,1.0
1.0,0,-800.0,1.0
1.0,0,-800.0,1.0
1.0,0,-800.0,1.0
1.0,0,-800.0,1.0
1.0,0,-800.0,1.0
1.0,0,-800.0,1.0
19.0,0,-680.0,0.07368421052631578
1.0,0,-800.0,1.0
1.0,0,-800.0,1.0
1.0,0,-800.0,1.0
1.0,0,-800.0,1.0
1.0,0,-800.0,1.0
1.0,0,-800.0,1.0
1.0,0,-800.0,1.0
19.0,0,-664.0,0.07368421052631578
1.0,0,-800.0,1.0
1.0,0,-800.0,1.0
19.0,0,-692.0,0.1105263157894737
19.0,0,-684.0,0.24210526315789477
1.0,0,-800.0,1.0
1.0,0,-800.0,1.0
19.0,0,-676.0,0.2157894736842105
1.0,0,-800.0,1.0
19.0,0,-664.0,0.16842105263157894
1.0,0,-800.0,1.0
1.0,0,-800.0,1.0
1.0,0,-800.0,1.0
1.0,0,-800.0,1.0
1.0,0,-800.0,1.0
1.0,0,-800.0,1.0
1.0,0,-800.0,1.0
19.0,0,-672.0,0.11578947368421051
1.0,0,-800.0,1.0
1.0,0,-800.0,1.0
1.0,0,-800.0,1.0
