init_magnet,Energy,Density,order,init_stab,length,sample
0.0,-1.0,1.0,off_first,0.0,0,20426372152
0.0,-1.0,0.0,random,0.0,1,20426372152
0.0,-0.990234375,0.994140625,off_first,0.2,0,20426372152
0.0,-0.880859375,0.5380859375,random,0.2,12002,20426372152
0.0,-0.935546875,0.9501953125,off_first,0.4,0,20426372152
0.0,-0.796875,0.4325086805555556,random,0.4,630,20426372152
0.0,-0.962890625,0.966796875,off_first,0.5,0,20426372152
0.0,-0.728515625,0.5091982886904762,random,0.5,5460,20426372152
0.0,-0.896484375,0.912109375,off_first,0.6,0,20426372152
0.0,-0.7109375,0.5460379464285714,random,0.6,84,20426372152
0.0,-0.765625,0.7978515625,off_first,0.8,0,20426372152
0.0,-0.669921875,0.4892578125,random,0.8,6,20426372152
0.2,-1.0,1.0,off_first,0.0,0,20426372152
0.2,-1.0,0.0,random,0.0,1,20426372152
0.2,-0.986328125,0.990234375,off_first,0.2,0,20426372152
0.2,-0.9453125,0.080078125,random,0.2,120,20426372152
0.2,-0.9140625,0.921875,off_first,0.4,0,20426372152
0.2,-0.91796875,0.07889229910714286,random,0.4,28,20426372152
0.2,-0.822265625,0.7822265625,off_first,0.5,0,20426372152
0.2,-0.8125,0.24393136160714285,random,0.5,420,20426372152
0.2,-0.77734375,0.712890625,off_first,0.6,0,20426372152
0.2,-0.853515625,0.1494140625,random,0.6,12,20426372152
0.2,-0.646484375,0.5283203125,off_first,0.8,0,20426372152
0.2,-0.697265625,0.2791748046875,random,0.8,24,20426372152
0.4,-1.0,1.0,off_first,0.0,0,20426372152
0.4,-1.0,0.0,random,0.0,1,20426372152
0.4,-0.904296875,0.892578125,off_first,0.2,0,20426372152
0.4,-1.0,0.0,random,0.2,1,20426372152
0.4,-0.791015625,0.4833984375,off_first,0.4,0,20426372152
0.4,-0.953125,0.05810546875,random,0.4,318,20426372152
0.4,-0.78125,0.37109375,off_first,0.5,0,20426372152
0.4,-0.9609375,0.0322265625,random,0.5,3,20426372152
0.4,-0.806640625,0.27734375,off_first,0.6,0,20426372152
0.4,-0.9375,0.04833984375,random,0.6,12,20426372152
0.4,-0.744140625,0.2431640625,off_first,0.8,0,20426372152
0.4,-0.8828125,0.0810546875,random,0.8,1,20426372152
0.5,-1.0,1.0,off_first,0.0,0,20426372152
0.5,-1.0,0.0,random,0.0,1,20426372152
0.5,-0.880859375,0.5185546875,off_first,0.2,0,20426372152
0.5,-1.0,0.0,random,0.2,1,20426372152
0.5,-0.8984375,0.1904296875,off_first,0.4,0,20426372152
0.5,-0.990234375,0.005859375,random,0.4,1,20426372152
0.5,-0.84765625,0.1962890625,off_first,0.5,0,20426372152
0.5,-0.9765625,0.01708984375,random,0.5,4,20426372152
0.5,-0.89453125,0.1162109375,off_first,0.6,0,20426372152
0.5,-0.9921875,0.00390625,random,0.6,1,20426372152
0.5,-0.88671875,0.0693359375,off_first,0.8,0,20426372152
0.5,-0.953125,0.0283203125,random,0.8,1,20426372152
0.6,-1.0,1.0,off_first,0.0,0,20426372152
0.6,-1.0,0.0,random,0.0,1,20426372152
0.6,-0.896484375,0.3818359375,off_first,0.2,0,20426372152
0.6,-1.0,0.0,random,0.2,1,20426372152
