init_magnet,Energy,Consensus,order
0.2,-0.798828125,0.49609375,off_first
0.2,-0.798828125,0.5376953125,random
0.4,-0.79296875,0.013671875,off_first
0.4,-0.9375,0.884765625,random
0.5,-0.892578125,0.638671875,off_first
0.5,-0.96875,0.9541015625,random
0.6,-0.970703125,0.95703125,off_first
0.6,-0.9921875,0.9921875,random
0.8,-0.990234375,0.98828125,off_first
0.8,-1.0,1.0,random
0.2,-0.84375,0.611328125,off_first
0.2,-0.88671875,0.7273065476190477,random
0.4,-0.787109375,0.27734375,off_first
0.4,-0.96484375,0.947265625,random
0.5,-0.8828125,0.759765625,off_first
0.5,-0.951171875,0.9345703125,random
0.6,-0.931640625,0.900390625,off_first
0.6,-0.98828125,0.984375,random
0.8,-0.9921875,0.99609375,off_first
0.8,-1.0,1.0,random
0.2,-0.80859375,0.5625,off_first
0.2,-0.8046875,0.5263671875,random
0.4,-0.794921875,0.07421875,off_first
0.4,-0.970703125,0.9306640625,random
0.5,-0.857421875,0.67578125,off_first
0.5,-0.982421875,0.98046875,random
0.6,-0.9296875,0.859375,off_first
0.6,-1.0,1.0,random
0.8,-0.9921875,0.99609375,off_first
0.8,-1.0,1.0,random
0.2,-0.8046875,0.46875,off_first
0.2,-0.814453125,0.6038411458333334,random
0.4,-0.7578125,0.236328125,off_first
0.4,-0.9453125,0.912841796875,random
0.5,-0.83203125,0.56640625,off_first
0.5,-0.982421875,0.98046875,random
0.6,-0.9296875,0.880859375,off_first
0.6,-1.0,1.0,random
0.8,-0.986328125,0.982421875,off_first
0.8,-1.0,1.0,random
0.2,-0.818359375,0.60546875,off_first
0.2,-0.833984375,0.4704241071428572,random
0.4,-0.7421875,0.11328125,off_first
0.4,-0.9453125,0.91796875,random
0.5,-0.853515625,0.66796875,off_first
0.5,-0.9921875,0.9921875,random
0.6,-0.95703125,0.931640625,off_first
0.6,-0.9921875,0.9921875,random
0.8,-0.958984375,0.9609375,off_first
0.8,-0.9921875,0.9921875,random
0.2,-0.8125,0.578125,off_first
0.2,-0.861328125,0.7259114583333334,random
0.4,-0.76953125,0.18359375,off_first
0.4,-0.98046875,0.9599609375,random
0.5,-0.81640625,0.4453125,off_first
0.5,-1.0,1.0,random
0.6,-0.958984375,0.91796875,off_first
0.6,-1.0,1.0,random
0.8,-0.984375,0.9921875,off_first
0.8,-1.0,1.0,random
0.2,-0.787109375,0.626953125,off_first
0.2,-0.900390625,0.7671875,random
0.4,-0.75390625,0.083984375,off_first
0.4,-0.982421875,0.9697265625,random
0.5,-0.83984375,0.615234375,off_first
0.5,-0.98046875,0.9765625,random
0.6,-0.92578125,0.85546875,off_first
0.6,-1.0,1.0,random
0.8,-0.98828125,0.982421875,off_first
0.8,-1.0,1.0,random
0.2,-0.822265625,0.578125,off_first
0.2,-0.86328125,0.7067057291666666,random
0.4,-0.7578125,0.203125,off_first
0.4,-0.953125,0.923828125,random
0.5,-0.841796875,0.6015625,off_first
0.5,-0.96484375,0.953125,random
0.6,-0.904296875,0.791015625,off_first
0.6,-0.990234375,0.98828125,random
0.8,-0.9921875,0.99609375,off_first
0.8,-1.0,1.0,random
0.2,-0.794921875,0.541015625,off_first
0.2,-0.86328125,0.69140625,random
0.4,-0.80078125,0.19921875,off_first
0.4,-0.951171875,0.916015625,random
0.5,-0.8984375,0.771484375,off_first
0.5,-0.984375,0.9765625,random
0.6,-0.9296875,0.85546875,off_first
0.6,-1.0,1.0,random
0.8,-0.984375,0.9921875,off_first
0.8,-1.0,1.0,random
0.2,-0.8359375,0.61328125,off_first
0.2,-0.8125,0.5227864583333334,random
0.4,-0.84765625,0.455078125,off_first
0.4,-0.9609375,0.9462890625,random
0.5,-0.869140625,0.6953125,off_first
0.5,-1.0,1.0,random
0.6,-0.9296875,0.884765625,off_first
0.6,-0.9921875,0.9921875,random
0.8,-0.9921875,0.99609375,off_first
0.8,-1.0,1.0,random
0.2,-0.794921875,0.578125,off_first
0.2,-0.865234375,0.6980329241071429,random
0.4,-0.8046875,0.35546875,off_first
0.4,-0.94140625,0.8994140625,random
0.5,-0.853515625,0.638671875,off_first
0.5,-0.984375,0.9765625,random
0.6,-0.9140625,0.845703125,off_first
0.6,-1.0,1.0,random
0.8,-0.982421875,0.986328125,off_first
0.8,-1.0,1.0,random
