init_magnet,Energy,Density,order,init_stab,length
0.0,-1.0,1.0,off_first,0.0,0
0.0,-1.0,1.0,random,0.0,1
0.0,-1.0,1.0,off_first,0.2,0
0.0,-0.845703125,0.3134765625,random,0.2,12002
0.0,-0.98046875,0.98828125,off_first,0.4,0
0.0,-0.806640625,0.4310980902777778,random,0.4,720
0.0,-0.90625,0.9228515625,off_first,0.5,0
0.0,-0.763671875,0.3757823000672043,random,0.5,1116
0.0,-0.900390625,0.927734375,off_first,0.6,0
0.0,-0.7421875,0.5121837797619048,random,0.6,84
0.0,-0.734375,0.7734375,off_first,0.8,0
0.0,-0.6796875,0.5341796875,random,0.8,12
0.0,-0.61328125,0.68359375,off_first,1.0,0
0.0,-0.564453125,0.5029296875,random,1.0,1
0.2,-1.0,1.0,off_first,0.0,0
0.2,-1.0,0.0,random,0.0,1
0.2,-0.9921875,0.99609375,off_first,0.2,0
0.2,-0.96484375,0.06315104166666667,random,0.2,24
0.2,-0.8359375,0.806640625,off_first,0.4,0
0.2,-0.884765625,0.16170247395833334,random,0.4,36
0.2,-0.82421875,0.83203125,off_first,0.5,0
0.2,-0.822265625,0.19300966005067569,random,0.5,2220
0.2,-0.740234375,0.669921875,off_first,0.6,0
0.2,-0.8125,0.19742838541666666,random,0.6,6
0.2,-0.677734375,0.494140625,off_first,0.8,0
0.2,-0.810546875,0.146484375,random,0.8,6
0.2,-0.6015625,0.408203125,off_first,1.0,0
0.2,-0.705078125,0.2763671875,random,1.0,1
0.4,-1.0,1.0,off_first,0.0,0
0.4,-1.0,0.0,random,0.0,1
0.4,-0.94140625,0.9345703125,off_first,0.2,0
0.4,-0.9921875,0.00390625,random,0.2,1
0.4,-0.83203125,0.3955078125,off_first,0.4,0
0.4,-0.974609375,0.017578125,random,0.4,4
0.4,-0.78125,0.3359375,off_first,0.5,0
0.4,-0.98828125,0.0078125,random,0.5,1
0.4,-0.71875,0.369140625,off_first,0.6,0
0.4,-0.93359375,0.03857421875,random,0.6,2
0.4,-0.7109375,0.24609375,off_first,0.8,0
0.4,-0.810546875,0.12841796875,random,0.8,6
0.4,-0.734375,0.1767578125,off_first,1.0,0
0.4,-0.853515625,0.0830078125,random,1.0,1
0.5,-1.0,1.0,off_first,0.0,0
0.5,-1.0,0.0,random,0.0,1
0.5,-0.8359375,0.5302734375,off_first,0.2,0
0.5,-1.0,0.0,random,0.2,1
0.5,-0.798828125,0.3046875,off_first,0.4,0
0.5,-0.9921875,0.00390625,random,0.4,1
0.5,-0.86328125,0.1728515625,off_first,0.5,0
0.5,-0.98046875,0.0205078125,random,0.5,3
0.5,-0.849609375,0.140625,off_first,0.6,0
0.5,-1.0,0.0,random,0.6,1
0.5,-0.8671875,0.103515625,off_first,0.8,0
0.5,-0.98046875,0.01171875,random,0.8,1
0.5,-0.82421875,0.1123046875,off_first,1.0,0
0.5,-0.919921875,0.044921875,random,1.0,1
0.6,-1.0,1.0,off_first,0.0,0
0.6,-1.0,0.0,random,0.0,1
0.6,-0.908203125,0.126953125,off_first,0.2,0
0.6,-1.0,0.0,random,0.2,1
0.6,-0.951171875,0.0400390625,off_first,0.4,0
0.6,-1.0,0.0,random,0.4,1
0.6,-0.943359375,0.0400390625,off_first,0.5,0
0.6,-1.0,0.0,random,0.5,1
0.6,-0.9453125,0.0478515625,off_first,0.6,0
0.6,-0.9921875,0.00390625,random,0.6,1
0.6,-0.97265625,0.0146484375,off_first,0.8,0
0.6,-0.9921875,0.00390625,random,0.8,1
0.6,-0.8984375,0.0595703125,off_first,1.0,0
0.6,-0.984375,0.0078125,random,1.0,1
0.8,-0.9765625,0.005859375,off_first,0.0,0
0.8,-1.0,0.0,random,0.0,1
0.8,-0.9765625,0.005859375,off_first,0.2,0
0.8,-1.0,0.0,random,0.2,1
0.8,-0.9921875,0.001953125,off_first,0.4,0
0.8,-1.0,0.0,random,0.4,1
0.8,-1.0,0.0,off_first,0.5,0
0.8,-1.0,0.0,random,0.5,1
0.8,-1.0,0.0,off_first,0.6,0
0.8,-1.0,0.0,random,0.6,1
0.8,-1.0,0.0,off_first,0.8,0
0.8,-1.0,0.0,random,0.8,1
0.8,-0.9765625,0.01171875,off_first,1.0,0
0.8,-0.9921875,0.00390625,random,1.0,1
0.0,-1.0,1.0,off_first,0.0,0
0.0,-1.0,1.0,random,0.0,1
0.0,-1.0,1.0,off_first,0.2,0
0.0,-0.880859375,0.36328125,random,0.2,12002
0.0,-0.966796875,0.9794921875,off_first,0.4,0
0.0,-0.783203125,0.497265625,random,0.4,420
0.0,-0.91796875,0.9453125,off_first,0.5,0
0.0,-0.7578125,0.4785663555194805,random,0.5,924
0.0,-0.876953125,0.9091796875,off_first,0.6,0
0.0,-0.72265625,0.49951171875,random,0.6,60
0.0,-0.787109375,0.857421875,off_first,0.8,0
0.0,-0.60546875,0.4951171875,random,0.8,6
0.0,-0.63671875,0.6435546875,off_first,1.0,0
0.0,-0.681640625,0.4677734375,random,1.0,1
0.2,-1.0,1.0,off_first,0.0,0
0.2,-1.0,0.0,random,0.0,1
0.2,-1.0,1.0,off_first,0.2,0
0.2,-0.958984375,0.05552455357142857,random,0.2,42
0.2,-0.890625,0.8896484375,off_first,0.4,0
0.2,-0.8984375,0.15421549479166666,random,0.4,60
0.2,-0.8046875,0.703125,off_first,0.5,0
0.2,-0.8671875,0.13167317708333334,random,0.5,60
0.2,-0.708984375,0.58203125,off_first,0.6,0
0.2,-0.794921875,0.19254557291666666,random,0.6,12
0.2,-0.646484375,0.533203125,off_first,0.8,0
0.2,-0.75390625,0.23193359375,random,0.8,6
0.2,-0.640625,0.4384765625,off_first,1.0,0
0.2,-0.689453125,0.302734375,random,1.0,1
0.4,-1.0,1.0,off_first,0.0,0
0.4,-1.0,0.0,random,0.0,1
0.4,-0.87109375,0.7890625,off_first,0.2,0
0.4,-1.0,0.0,random,0.2,1
0.4,-0.787109375,0.5322265625,off_first,0.4,0
0.4,-0.974609375,0.02099609375,random,0.4,12
0.4,-0.76171875,0.4599609375,off_first,0.5,0
0.4,-0.9609375,0.03369140625,random,0.5,12
0.4,-0.76953125,0.33984375,off_first,0.6,0
0.4,-0.947265625,0.05322265625,random,0.6,2
0.4,-0.755859375,0.2275390625,off_first,0.8,0
0.4,-0.900390625,0.08349609375,random,0.8,6
0.4,-0.76953125,0.2021484375,off_first,1.0,0
0.4,-0.87890625,0.0751953125,random,1.0,1
0.5,-1.0,1.0,off_first,0.0,0
0.5,-1.0,0.0,random,0.0,1
0.5,-0.853515625,0.6533203125,off_first,0.2,0
0.5,-1.0,0.0,random,0.2,1
0.5,-0.8515625,0.25,off_first,0.4,0
0.5,-0.9921875,0.00390625,random,0.4,1
0.5,-0.875,0.185546875,off_first,0.5,0
0.5,-0.96484375,0.02587890625,random,0.5,2
0.5,-0.8046875,0.15625,off_first,0.6,0
0.5,-0.984375,0.0078125,random,0.6,1
0.5,-0.857421875,0.1015625,off_first,0.8,0
0.5,-0.96484375,0.0244140625,random,0.8,3
0.5,-0.82421875,0.1201171875,off_first,1.0,0
0.5,-0.912109375,0.0546875,random,1.0,1
