init_magnet,Energy,Density,order,init_stab,length,init_freeze,sample
-0.4,-0.69140625,0.7294921875,off_first,0.0,0,0.1,2096179952
-0.4,-1.0,0.0,random,0.0,1,0.1,2096179952
-0.4,-0.669921875,0.8564453125,off_first,0.2,0,0.1,2096179952
-0.4,-0.76953125,0.4189453125,random,0.2,12002,0.1,2096179952
-0.4,-0.66796875,0.83203125,off_first,0.4,0,0.1,2096179952
-0.4,-0.681640625,0.5627726765422078,random,0.4,924,0.1,2096179952
-0.4,-0.66015625,0.8369140625,off_first,0.5,0,0.1,2096179952
-0.4,-0.666015625,0.668212890625,random,0.5,120,0.1,2096179952
-0.4,-0.646484375,0.83203125,off_first,0.6,0,0.1,2096179952
-0.4,-0.673828125,0.5702311197916666,random,0.6,12,0.1,2096179952
-0.4,-0.6015625,0.7958984375,off_first,0.8,0,0.1,2096179952
-0.4,-0.5859375,0.6637137276785714,random,0.8,42,0.1,2096179952
-0.4,-0.615234375,0.83203125,off_first,1.0,0,0.1,2096179952
-0.4,-0.541015625,0.7275390625,random,1.0,1,0.1,2096179952
-0.2,-0.734375,0.6474609375,off_first,0.0,0,0.1,2096179952
-0.2,-1.0,0.0,random,0.0,1,0.1,2096179952
-0.2,-0.66796875,0.7978515625,off_first,0.2,0,0.1,2096179952
-0.2,-0.91015625,0.1368408203125,random,0.2,120,0.1,2096179952
-0.2,-0.642578125,0.7763671875,off_first,0.4,0,0.1,2096179952
-0.2,-0.69921875,0.3970610119047619,random,0.4,420,0.1,2096179952
-0.2,-0.6484375,0.75,off_first,0.5,0,0.1,2096179952
-0.2,-0.72265625,0.353515625,random,0.5,84,0.1,2096179952
-0.2,-0.6171875,0.7548828125,off_first,0.6,0,0.1,2096179952
-0.2,-0.630859375,0.4583565848214286,random,0.6,84,0.1,2096179952
-0.2,-0.59765625,0.673828125,off_first,0.8,0,0.1,2096179952
-0.2,-0.634765625,0.482421875,random,0.8,2,0.1,2096179952
-0.2,-0.5234375,0.6845703125,off_first,1.0,0,0.1,2096179952
-0.2,-0.509765625,0.5556640625,random,1.0,1,0.1,2096179952
0.0,-0.767578125,0.599609375,off_first,0.0,0,0.1,2096179952
0.0,-1.0,0.0,random,0.0,1,0.1,2096179952
0.0,-0.7109375,0.7353515625,off_first,0.2,0,0.1,2096179952
0.0,-0.923828125,0.09020480303697184,random,0.2,3408,0.1,2096179952
0.0,-0.6484375,0.72265625,off_first,0.4,0,0.1,2096179952
0.0,-0.90625,0.10084635416666668,random,0.4,60,0.1,2096179952
0.0,-0.642578125,0.6513671875,off_first,0.5,0,0.1,2096179952
0.0,-0.84375,0.17643229166666666,random,0.5,60,0.1,2096179952
0.0,-0.634765625,0.6435546875,off_first,0.6,0,0.1,2096179952
0.0,-0.794921875,0.1826171875,random,0.6,6,0.1,2096179952
0.0,-0.564453125,0.55859375,off_first,0.8,0,0.1,2096179952
0.0,-0.6796875,0.30517578125,random,0.8,12,0.1,2096179952
0.0,-0.517578125,0.484375,off_first,1.0,0,0.1,2096179952
0.0,-0.591796875,0.3125,random,1.0,1,0.1,2096179952
0.2,-0.78515625,0.4833984375,off_first,0.0,0,0.1,2096179952
0.2,-1.0,0.0,random,0.0,1,0.1,2096179952
0.2,-0.779296875,0.458984375,off_first,0.2,0,0.1,2096179952
0.2,-1.0,0.0,random,0.2,1,0.1,2096179952
0.2,-0.74609375,0.3505859375,off_first,0.4,0,0.1,2096179952
0.2,-0.921875,0.0615234375,random,0.4,6,0.1,2096179952
0.2,-0.728515625,0.396484375,off_first,0.5,0,0.1,2096179952
0.2,-0.904296875,0.0859375,random,0.5,6,0.1,2096179952
0.2,-0.662109375,0.3798828125,off_first,0.6,0,0.1,2096179952
0.2,-0.919921875,0.0517578125,random,0.6,1,0.1,2096179952
0.2,-0.666015625,0.3076171875,off_first,0.8,0,0.1,2096179952
0.2,-0.884765625,0.06640625,random,0.8,1,0.1,2096179952
0.2,-0.634765625,0.3037109375,off_first,1.0,0,0.1,2096179952
0.2,-0.73046875,0.208984375,random,1.0,1,0.1,2096179952
0.4,-0.787109375,0.4794921875,off_first,0.0,0,0.1,2096179952
0.4,-1.0,0.0,random,0.0,1,0.1,2096179952
0.4,-0.828125,0.255859375,off_first,0.2,0,0.1,2096179952
0.4,-1.0,0.0,random,0.2,1,0.1,2096179952
0.4,-0.9609375,0.0361328125,off_first,0.4,0,0.1,2096179952
0.4,-1.0,0.0,random,0.4,1,0.1,2096179952
0.4,-0.859375,0.115234375,off_first,0.5,0,0.1,2096179952
0.4,-0.986328125,0.01171875,random,0.5,1,0.1,2096179952
0.4,-0.830078125,0.1201171875,off_first,0.6,0,0.1,2096179952
0.4,-0.96875,0.015625,random,0.6,1,0.1,2096179952
0.4,-0.833984375,0.1142578125,off_first,0.8,0,0.1,2096179952
0.4,-0.9765625,0.01171875,random,0.8,1,0.1,2096179952
0.4,-0.818359375,0.134765625,off_first,1.0,0,0.1,2096179952
0.4,-0.90234375,0.0634765625,random,1.0,1,0.1,2096179952
-0.4,-1.0,0.0,off_first,0.0,0,0.2,2096179952
-0.4,-1.0,0.0,random,0.0,1,0.2,2096179952
-0.4,-0.822265625,0.2138671875,off_first,0.2,0,0.2,2096179952
-0.4,-1.0,0.0,random,0.2,1,0.2,2096179952
-0.4,-0.626953125,0.4599609375,off_first,0.4,0,0.2,2096179952
-0.4,-0.826171875,0.1787109375,random,0.4,60,0.2,2096179952
-0.4,-0.564453125,0.578125,off_first,0.5,0,0.2,2096179952
-0.4,-0.71484375,0.3084309895833333,random,0.5,12,0.2,2096179952
-0.4,-0.55078125,0.5576171875,off_first,0.6,0,0.2,2096179952
-0.4,-0.654296875,0.3193359375,random,0.6,6,0.2,2096179952
-0.4,-0.4921875,0.6044921875,off_first,0.8,0,0.2,2096179952
-0.4,-0.556640625,0.43115234375,random,0.8,6,0.2,2096179952
-0.4,-0.400390625,0.6328125,off_first,1.0,0,0.2,2096179952
-0.4,-0.453125,0.5166015625,random,1.0,1,0.2,2096179952
-0.2,-1.0,0.0,off_first,0.0,0,0.2,2096179952
-0.2,-1.0,0.0,random,0.0,1,0.2,2096179952
-0.2,-0.927734375,0.068359375,off_first,0.2,0,0.2,2096179952
-0.2,-0.97265625,0.02294921875,random,0.2,2,0.2,2096179952
-0.2,-0.740234375,0.3212890625,off_first,0.4,0,0.2,2096179952
-0.2,-0.861328125,0.121062748015873,random,0.4,126,0.2,2096179952
-0.2,-0.654296875,0.3955078125,off_first,0.5,0,0.2,2096179952
-0.2,-0.857421875,0.12565104166666666,random,0.5,6,0.2,2096179952
-0.2,-0.615234375,0.4638671875,off_first,0.6,0,0.2,2096179952
-0.2,-0.826171875,0.16845703125,random,0.6,6,0.2,2096179952
-0.2,-0.552734375,0.478515625,off_first,0.8,0,0.2,2096179952
-0.2,-0.66796875,0.32861328125,random,0.8,12,0.2,2096179952
-0.2,-0.50390625,0.451171875,off_first,1.0,0,0.2,2096179952
-0.2,-0.666015625,0.26953125,random,1.0,1,0.2,2096179952
0.0,-0.984375,0.00390625,off_first,0.0,0,0.2,2096179952
