init_magnet,Energy,Density,order,init_stab,length,init_freeze,sample
-0.4,-0.9921875,0.001953125,off_first,0.0,0,0.15,2114889880
-0.4,-1.0,0.0,random,0.0,1,0.15,2114889880
-0.4,-0.77734375,0.3583984375,off_first,0.2,0,0.15,2114889880
-0.4,-0.916015625,0.12158203125,random,0.2,420,0.15,2114889880
-0.4,-0.5859375,0.6826171875,off_first,0.4,0,0.15,2114889880
-0.4,-0.70703125,0.36129557291666653,random,0.4,180,0.15,2114889880
-0.4,-0.58984375,0.7099609375,off_first,0.5,0,0.15,2114889880
-0.4,-0.67578125,0.4141167534722222,random,0.5,180,0.15,2114889880
-0.4,-0.58203125,0.701171875,off_first,0.6,0,0.15,2114889880
-0.4,-0.623046875,0.50927734375,random,0.6,12,0.15,2114889880
-0.4,-0.525390625,0.69140625,off_first,0.8,0,0.15,2114889880
-0.4,-0.560546875,0.5556640625,random,0.8,2,0.15,2114889880
-0.4,-0.4921875,0.7109375,off_first,1.0,0,0.15,2114889880
-0.4,-0.47265625,0.61328125,random,1.0,1,0.15,2114889880
-0.2,-0.9921875,0.001953125,off_first,0.0,0,0.15,2114889880
-0.2,-1.0,0.0,random,0.0,1,0.15,2114889880
-0.2,-0.802734375,0.3037109375,off_first,0.2,0,0.15,2114889880
-0.2,-0.986328125,0.01123046875,random,0.2,2,0.15,2114889880
-0.2,-0.689453125,0.451171875,off_first,0.4,0,0.15,2114889880
-0.2,-0.880859375,0.1162109375,random,0.4,6,0.15,2114889880
-0.2,-0.638671875,0.52734375,off_first,0.5,0,0.15,2114889880
-0.2,-0.740234375,0.307861328125,random,0.5,240,0.15,2114889880
-0.2,-0.564453125,0.55078125,off_first,0.6,0,0.15,2114889880
-0.2,-0.728515625,0.24951171875,random,0.6,30,0.15,2114889880
-0.2,-0.5078125,0.587890625,off_first,0.8,0,0.15,2114889880
-0.2,-0.61328125,0.4130859375,random,0.8,6,0.15,2114889880
-0.2,-0.453125,0.5849609375,off_first,1.0,0,0.15,2114889880
-0.2,-0.546875,0.41015625,random,1.0,1,0.15,2114889880
0.0,-1.0,0.0,off_first,0.0,0,0.15,2114889880
0.0,-1.0,0.0,random,0.0,1,0.15,2114889880
0.0,-0.8359375,0.228515625,off_first,0.2,0,0.15,2114889880
0.0,-0.986328125,0.009765625,random,0.2,1,0.15,2114889880
0.0,-0.703125,0.404296875,off_first,0.4,0,0.15,2114889880
0.0,-0.927734375,0.06396484375,random,0.4,6,0.15,2114889880
0.0,-0.638671875,0.44921875,off_first,0.5,0,0.15,2114889880
0.0,-0.890625,0.08154296875,random,0.5,2,0.15,2114889880
0.0,-0.64453125,0.37890625,off_first,0.6,0,0.15,2114889880
0.0,-0.888671875,0.09033203125,random,0.6,6,0.15,2114889880
0.0,-0.59375,0.4443359375,off_first,0.8,0,0.15,2114889880
0.0,-0.716796875,0.23095703125,random,0.8,12,0.15,2114889880
0.0,-0.546875,0.44140625,off_first,1.0,0,0.15,2114889880
0.0,-0.67578125,0.2568359375,random,1.0,1,0.15,2114889880
0.2,-1.0,0.0,off_first,0.0,0,0.15,2114889880
0.2,-1.0,0.0,random,0.0,1,0.15,2114889880
0.2,-0.876953125,0.1728515625,off_first,0.2,0,0.15,2114889880
0.2,-1.0,0.0,random,0.2,1,0.15,2114889880
0.2,-0.830078125,0.173828125,off_first,0.4,0,0.15,2114889880
0.2,-0.9921875,0.00390625,random,0.4,1,0.15,2114889880
0.2,-0.826171875,0.197265625,off_first,0.5,0,0.15,2114889880
0.2,-0.97265625,0.01611328125,random,0.5,2,0.15,2114889880
0.2,-0.826171875,0.1396484375,off_first,0.6,0,0.15,2114889880
0.2,-0.939453125,0.04345703125,random,0.6,12,0.15,2114889880
0.2,-0.7578125,0.234375,off_first,0.8,0,0.15,2114889880
0.2,-0.908203125,0.07666015625,random,0.8,2,0.15,2114889880
0.2,-0.66796875,0.2451171875,off_first,1.0,0,0.15,2114889880
0.2,-0.810546875,0.1279296875,random,1.0,1,0.15,2114889880
0.4,-1.0,0.0,off_first,0.0,0,0.15,2114889880
0.4,-1.0,0.0,random,0.0,1,0.15,2114889880
0.4,-1.0,0.0,off_first,0.2,0,0.15,2114889880
0.4,-1.0,0.0,random,0.2,1,0.15,2114889880
0.4,-0.919921875,0.1064453125,off_first,0.4,0,0.15,2114889880
0.4,-1.0,0.0,random,0.4,1,0.15,2114889880
0.4,-0.9296875,0.05078125,off_first,0.5,0,0.15,2114889880
0.4,-1.0,0.0,random,0.5,1,0.15,2114889880
0.4,-0.92578125,0.05078125,off_first,0.6,0,0.15,2114889880
0.4,-0.9921875,0.00390625,random,0.6,1,0.15,2114889880
0.4,-0.900390625,0.0654296875,off_first,0.8,0,0.15,2114889880
0.4,-0.958984375,0.025390625,random,0.8,2,0.15,2114889880
0.4,-0.85546875,0.0966796875,off_first,1.0,0,0.15,2114889880
0.4,-0.9296875,0.0400390625,random,1.0,1,0.15,2114889880
-0.4,-1.0,0.0,off_first,0.0,0,0.12,2114889880
-0.4,-1.0,0.0,random,0.0,1,0.12,2114889880
-0.4,-0.650390625,0.720703125,off_first,0.2,0,0.12,2114889880
-0.4,-0.818359375,0.2578125,random,0.2,12002,0.12,2114889880
-0.4,-0.609375,0.7802734375,off_first,0.4,0,0.12,2114889880
-0.4,-0.6953125,0.5107971455627706,random,0.4,4620,0.12,2114889880
-0.4,-0.611328125,0.751953125,off_first,0.5,0,0.12,2114889880
-0.4,-0.62890625,0.5501682562229437,random,0.5,4620,0.12,2114889880
-0.4,-0.603515625,0.814453125,off_first,0.6,0,0.12,2114889880
-0.4,-0.6328125,0.58837890625,random,0.6,12,0.12,2114889880
-0.4,-0.55859375,0.7548828125,off_first,0.8,0,0.12,2114889880
-0.4,-0.5625,0.6173502604166666,random,0.8,6,0.12,2114889880
-0.4,-0.546875,0.771484375,off_first,1.0,0,0.12,2114889880
-0.4,-0.544921875,0.6552734375,random,1.0,1,0.12,2114889880
