init_magnet,Energy,Density,order,init_stab,length,sample
-0.4,-0.93359375,0.9619140625,off_first,1.0,0,2076884726
-0.4,-0.833984375,0.8974609375,random,1.0,1,2076884726
-0.3,-0.89453125,0.935546875,off_first,1.0,0,2076884726
-0.3,-0.7890625,0.8466796875,random,1.0,1,2076884726
-0.2,-0.79296875,0.857421875,off_first,1.0,0,2076884726
-0.2,-0.68359375,0.748046875,random,1.0,1,2076884726
-0.1,-0.7890625,0.8525390625,off_first,1.0,0,2076884726
-0.1,-0.6640625,0.6396484375,random,1.0,1,2076884726
0.0,-0.666015625,0.6943359375,off_first,1.0,0,2076884726
0.0,-0.572265625,0.4951171875,random,1.0,1,2076884726
0.2,-0.58203125,0.43359375,off_first,1.0,0,2076884726
0.2,-0.669921875,0.2998046875,random,1.0,1,2076884726
0.4,-0.720703125,0.1923828125,off_first,1.0,0,2076884726
0.4,-0.853515625,0.0927734375,random,1.0,1,2076884726
0.5,-0.794921875,0.13671875,off_first,1.0,0,2076884726
0.5,-0.91796875,0.048828125,random,1.0,1,2076884726
0.6,-0.849609375,0.08984375,off_first,1.0,0,2076884726
0.6,-0.943359375,0.033203125,random,1.0,1,2076884726
0.8,-0.984375,0.0078125,off_first,1.0,0,2076884726
0.8,-0.9921875,0.00390625,random,1.0,1,2076884726
-0.4,-0.93359375,0.9580078125,off_first,1.0,0,2076884713
-0.4,-0.869140625,0.90234375,random,1.0,1,2076884713
-0.3,-0.90625,0.9443359375,off_first,1.0,0,2076884713
-0.3,-0.798828125,0.857421875,random,1.0,1,2076884713
-0.2,-0.806640625,0.8759765625,off_first,1.0,0,2076884713
-0.2,-0.69921875,0.7685546875,random,1.0,1,2076884713
-0.1,-0.712890625,0.80078125,off_first,1.0,0,2076884713
-0.1,-0.634765625,0.6591796875,random,1.0,1,2076884713
0.0,-0.677734375,0.7412109375,off_first,1.0,0,2076884713
0.0,-0.59375,0.51953125,random,1.0,1,2076884713
0.2,-0.587890625,0.447265625,off_first,1.0,0,2076884713
0.2,-0.673828125,0.30078125,random,1.0,1,2076884713
0.4,-0.693359375,0.240234375,off_first,1.0,0,2076884713
0.4,-0.81640625,0.1181640625,random,1.0,1,2076884713
0.5,-0.83984375,0.1044921875,off_first,1.0,0,2076884713
0.5,-0.912109375,0.052734375,random,1.0,1,2076884713
0.6,-0.912109375,0.0556640625,off_first,1.0,0,2076884713
0.6,-0.943359375,0.03125,random,1.0,1,2076884713
0.8,-1.0,0.0,off_first,1.0,0,2076884713
0.8,-1.0,0.0,random,1.0,1,2076884713
-0.4,-0.953125,0.9736328125,off_first,1.0,0,20768847179
-0.4,-0.849609375,0.9033203125,random,1.0,1,20768847179
-0.3,-0.8671875,0.9169921875,off_first,1.0,0,20768847179
-0.3,-0.763671875,0.81640625,random,1.0,1,20768847179
-0.2,-0.84375,0.8935546875,off_first,1.0,0,20768847179
-0.2,-0.728515625,0.7744140625,random,1.0,1,20768847179
-0.1,-0.71875,0.8095703125,off_first,1.0,0,20768847179
-0.1,-0.654296875,0.7060546875,random,1.0,1,20768847179
0.0,-0.638671875,0.720703125,off_first,1.0,0,20768847179
0.0,-0.599609375,0.5244140625,random,1.0,1,20768847179
0.2,-0.603515625,0.4384765625,off_first,1.0,0,20768847179
0.2,-0.7265625,0.2353515625,random,1.0,1,20768847179
0.4,-0.716796875,0.20703125,off_first,1.0,0,20768847179
0.4,-0.888671875,0.068359375,random,1.0,1,20768847179
0.5,-0.849609375,0.1064453125,off_first,1.0,0,20768847179
0.5,-0.939453125,0.0380859375,random,1.0,1,20768847179
0.6,-0.87109375,0.0869140625,off_first,1.0,0,20768847179
0.6,-0.966796875,0.0185546875,random,1.0,1,20768847179
0.8,-1.0,0.0,off_first,1.0,0,20768847179
0.8,-1.0,0.0,random,1.0,1,20768847179
-0.4,-0.970703125,0.982421875,off_first,1.0,0,20768847170
-0.4,-0.912109375,0.9462890625,random,1.0,1,20768847170
-0.3,-0.873046875,0.92578125,off_first,1.0,0,20768847170
-0.3,-0.759765625,0.8369140625,random,1.0,1,20768847170
-0.2,-0.810546875,0.873046875,off_first,1.0,0,20768847170
-0.2,-0.67578125,0.7294921875,random,1.0,1,20768847170
-0.1,-0.70703125,0.7900390625,off_first,1.0,0,20768847170
-0.1,-0.64453125,0.6669921875,random,1.0,1,20768847170
0.0,-0.6484375,0.703125,off_first,1.0,0,20768847170
0.0,-0.625,0.482421875,random,1.0,1,20768847170
0.2,-0.630859375,0.4404296875,off_first,1.0,0,20768847170
0.2,-0.67578125,0.3115234375,random,1.0,1,20768847170
0.4,-0.7109375,0.263671875,off_first,1.0,0,20768847170
0.4,-0.85546875,0.109375,random,1.0,1,20768847170
0.5,-0.8359375,0.099609375,off_first,1.0,0,20768847170
0.5,-0.91015625,0.05078125,random,1.0,1,20768847170
0.6,-0.904296875,0.060546875,off_first,1.0,0,20768847170
0.6,-0.955078125,0.025390625,random,1.0,1,20768847170
0.8,-0.990234375,0.005859375,off_first,1.0,0,20768847170
0.8,-0.9921875,0.00390625,random,1.0,1,20768847170
-0.4,-0.958984375,0.978515625,off_first,1.0,0,20768847209
-0.4,-0.873046875,0.923828125,random,1.0,1,20768847209
-0.3,-0.880859375,0.9306640625,off_first,1.0,0,20768847209
-0.3,-0.767578125,0.8212890625,random,1.0,1,20768847209
-0.2,-0.787109375,0.8701171875,off_first,1.0,0,20768847209
-0.2,-0.66796875,0.705078125,random,1.0,1,20768847209
-0.1,-0.728515625,0.810546875,off_first,1.0,0,20768847209
-0.1,-0.65234375,0.583984375,random,1.0,1,20768847209
0.0,-0.66015625,0.701171875,off_first,1.0,0,20768847209
0.0,-0.60546875,0.484375,random,1.0,1,20768847209
0.2,-0.625,0.4892578125,off_first,1.0,0,20768847209
0.2,-0.693359375,0.2548828125,random,1.0,1,20768847209
0.4,-0.720703125,0.240234375,off_first,1.0,0,20768847209
0.4,-0.828125,0.1376953125,random,1.0,1,20768847209
0.5,-0.845703125,0.119140625,off_first,1.0,0,20768847209
0.5,-0.943359375,0.0341796875,random,1.0,1,20768847209
0.6,-0.93359375,0.0361328125,off_first,1.0,0,20768847209
0.6,-0.982421875,0.009765625,random,1.0,1,20768847209
0.8,-1.0,0.0,off_first,1.0,0,20768847209
0.8,-1.0,0.0,random,1.0,1,20768847209
-0.4,-0.95703125,0.9775390625,off_first,1.0,0,2076884727
-0.4,-0.908203125,0.947265625,random,1.0,1,2076884727
-0.3,-0.876953125,0.9287109375,off_first,1.0,0,2076884727
-0.3,-0.783203125,0.830078125,random,1.0,1,2076884727
-0.2,-0.841796875,0.8916015625,off_first,1.0,0,2076884727
