init_magnet,Energy,Density,order,init_stab,length,sample
-0.4,-0.94921875,0.97265625,off_first,0.2,0,2077165917
-0.4,-1.0,0.0,random,0.2,1,2077165917
-0.4,-0.978515625,0.986328125,off_first,0.4,0,2077165917
-0.4,-0.9375,0.0625,random,0.4,1,2077165917
-0.4,-1.0,1.0,off_first,0.5,0,2077165917
-0.4,-1.0,0.0,random,0.5,1,2077165917
-0.4,-0.9921875,0.99609375,off_first,0.6,0,2077165917
-0.4,-0.9375,0.0625,random,0.6,1,2077165917
-0.4,-1.0,1.0,off_first,0.8,0,2077165917
-0.4,-0.912109375,0.5331453284438775,random,0.8,5880,2077165917
-0.3,-0.919921875,0.94921875,off_first,0.2,0,2077165917
-0.3,-1.0,0.0,random,0.2,1,2077165917
-0.3,-0.953125,0.97265625,off_first,0.4,0,2077165917
-0.3,-1.0,0.0,random,0.4,1,2077165917
-0.3,-0.96875,0.974609375,off_first,0.5,0,2077165917
-0.3,-1.0,0.0,random,0.5,1,2077165917
-0.3,-1.0,1.0,off_first,0.6,0,2077165917
-0.3,-1.0,0.0,random,0.6,1,2077165917
-0.3,-1.0,1.0,off_first,0.8,0,2077165917
-0.3,-1.0,0.0,random,0.8,1,2077165917
-0.2,-0.853515625,0.6005859375,off_first,0.2,0,2077165917
-0.2,-1.0,0.0,random,0.2,1,2077165917
-0.2,-0.9375,0.943359375,off_first,0.4,0,2077165917
-0.2,-1.0,0.0,random,0.4,1,2077165917
-0.2,-0.9296875,0.9560546875,off_first,0.5,0,2077165917
-0.2,-1.0,0.0,random,0.5,1,2077165917
-0.2,-0.9921875,0.99609375,off_first,0.6,0,2077165917
-0.2,-1.0,0.0,random,0.6,1,2077165917
-0.2,-1.0,1.0,off_first,0.8,0,2077165917
-0.2,-0.8828125,0.548828125,random,0.8,12002,2077165917
-0.1,-0.904296875,0.2568359375,off_first,0.2,0,2077165917
-0.1,-1.0,0.0,random,0.2,1,2077165917
-0.1,-0.84375,0.8369140625,off_first,0.4,0,2077165917
-0.1,-1.0,0.0,random,0.4,1,2077165917
-0.1,-0.8984375,0.9052734375,off_first,0.5,0,2077165917
-0.1,-1.0,0.0,random,0.5,1,2077165917
