length,p_a,SpinGlass,Magnetization
1.0,$0$,-288.0,1.0
1.0,$0$,-288.0,1.0
1.0,$0$,-288.0,1.0
1.0,$0$,-288.0,1.0
1.0,$0$,-240.0,0.3333333333333333
8.0,$0$,-236.0,0.10416666666666666
1.0,$0$,-288.0,1.0
1.0,$0$,-288.0,1.0
1.0,$0$,-288.0,1.0
1.0,$0$,-288.0,1.0
1.0,$0$,-288.0,1.0
24.0,$0$,-232.0,0.03472222222222222
1.0,$0$,-288.0,1.0
5.0,$0$,-236.0,0.2
1.0,$0$,-288.0,1.0
1.0,$0$,-288.0,1.0
8.0,$0$,-236.0,0.0625
1.0,$0$,-288.0,1.0
1.0,$0$,-288.0,1.0
1.0,$0$,-288.0,1.0
1.0,$0$,-288.0,1.0
1.0,$0$,-288.0,1.0
56.0,$0$,-232.0,0.3244047619047619
35.0,$0$,-228.0,0.05238095238095238
1.0,$0$,-288.0,1.0
1.0,$0$,-288.0,1.0
1.0,$0$,-288.0,1.0
6.0,$0$,-232.0,0.13888888888888892
1.0,$0$,-288.0,1.0
1.0,$0$,-288.0,1.0
1.0,$0$,-288.0,1.0
1.0,$0$,-288.0,1.0
1.0,$0$,-288.0,1.0
1.0,$0$,-288.0,1.0
1.0,$0$,-288.0,1.0
1.0,$0$,-288.0,1.0
4.0,$0$,-236.0,0.125
7.0,$0$,-236.0,0.14285714285714285
42.0,$0$,-232.0,0.4682539682539682
1.0,$0$,-288.0,1.0
1.0,$0$,-288.0,1.0
56.0,$0$,-232.0,0.03273809523809524
7.0,$0$,-236.0,0.21428571428571427
1.0,$0$,-288.0,1.0
1.0,$0$,-288.0,1.0
1.0,$0$,-288.0,1.0
1.0,$0$,-288.0,1.0
1.0,$0$,-240.0,0.0
1.0,$0$,-288.0,1.0
1.0,$0$,-288.0,1.0
6.0,$0$,-236.0,0.027777777777777776
1.0,$0$,-288.0,1.0
1.0,$0$,-288.0,1.0
1.0,$0$,-288.0,1.0
7.0,$0$,-236.0,0.21428571428571427
1.0,$0$,-288.0,1.0
1.0,$0$,-288.0,1.0
1.0,$0$,-240.0,0.0
1.0,$0$,-288.0,1.0
1.0,$0$,-288.0,1.0
1.0,$0$,-288.0,1.0
1.0,$0$,-288.0,1.0
7.0,$0$,-236.0,0.07142857142857142
6.0,$0$,-236.0,0.08333333333333333
1.0,$0$,-288.0,1.0
1.0,$0$,-288.0,1.0
6.0,$0$,-236.0,0.13888888888888887
1.0,$0$,-288.0,1.0
6.0,$0$,-236.0,0.1388888888888889
1.0,$0$,-288.0,1.0
56.0,$0$,-232.0,0.09821428571428571
24.0,$0$,-232.0,0.3680555555555556
1.0,$0$,-288.0,1.0
1.0,$0$,-288.0,1.0
6.0,$0$,-236.0,0.05555555555555555
1.0,$0$,-288.0,1.0
6.0,$0$,-236.0,0.25
1.0,$0$,-288.0,1.0
1.0,$0$,-288.0,1.0
28.0,$0$,-232.0,0.17261904761904762
1.0,$0$,-288.0,1.0
1.0,$0$,-288.0,1.0
56.0,$0$,-232.0,0.11607142857142858
1.0,$0$,-288.0,1.0
1.0,$0$,-288.0,1.0
1.0,$0$,-288.0,1.0
1.0,$0$,-288.0,1.0
1.0,$0$,-288.0,1.0
1.0,$0$,-288.0,1.0
1.0,$0$,-288.0,1.0
6.0,$0$,-236.0,0.05555555555555556
1.0,$0$,-288.0,1.0
1.0,$0$,-288.0,1.0
1.0,$0$,-288.0,1.0
1.0,$0$,-288.0,1.0
1.0,$0$,-288.0,1.0
1.0,$0$,-288.0,1.0
1.0,$0$,-288.0,1.0
24.0,$0$,-232.0,0.17361111111111108
1.0,$0$,-288.0,1.0
1.0,$0$,-288.0,1.0
1.0,$0$,-288.0,1.0
24.0,$0$,-232.0,0.07638888888888888
1.0,$0$,-288.0,1.0
42.0,$0$,-232.0,0.30158730158730157
1.0,$0$,-288.0,1.0
42.0,$0$,-232.0,0.059523809523809534
1.0,$0$,-288.0,1.0
56.0,$0$,-232.0,0.11607142857142858
1.0,$0$,-288.0,1.0
1.0,$0$,-288.0,1.0
1.0,$0$,-288.0,1.0
1.0,$0$,-288.0,1.0
1.0,$0$,-288.0,1.0
1.0,$0$,-288.0,1.0
1.0,$0$,-288.0,1.0
1.0,$0$,-288.0,1.0
1.0,$0$,-288.0,1.0
8.0,$0$,-236.0,0.25
7.0,$0$,-236.0,0.23809523809523814
1.0,$0$,-288.0,1.0
42.0,$0$,-232.0,0.32142857142857145
1.0,$0$,-288.0,1.0
1.0,$0$,-240.0,0.16666666666666666
1.0,$0$,-288.0,1.0
1.0,$0$,-288.0,1.0
1.0,$0$,-288.0,1.0
1.0,$0$,-288.0,1.0
1.0,$0$,-288.0,1.0
1.0,$0$,-288.0,1.0
1.0,$0$,-288.0,1.0
1.0,$0$,-288.0,1.0
1.0,$0$,-288.0,1.0
1.0,$0$,-240.0,0.3333333333333333
1.0,$0$,-288.0,1.0
1.0,$0$,-288.0,1.0
8.0,$0$,-236.0,0.22916666666666666
1.0,$0$,-288.0,1.0
7.0,$0$,-236.0,0.11904761904761907
1.0,$0$,-288.0,1.0
1.0,$0$,-288.0,1.0
1.0,$0$,-288.0,1.0
1.0,$0$,-288.0,1.0
1.0,$0$,-288.0,1.0
1.0,$0$,-288.0,1.0
7.0,$0$,-236.0,0.23809523809523808
1.0,$0$,-288.0,1.0
7.0,$0$,-236.0,0.3095238095238096
1.0,$0$,-288.0,1.0
1.0,$0$,-288.0,1.0
42.0,$0$,-232.0,0.1626984126984127
1.0,$0$,-288.0,1.0
1.0,$0$,-288.0,1.0
1.0,$0$,-288.0,1.0
1.0,$0$,-288.0,1.0
1.0,$0$,-288.0,1.0
8.0,$0$,-236.0,0.3125
1.0,$0$,-288.0,1.0
1.0,$0$,-288.0,1.0
5.0,$0$,-236.0,0.06666666666666668
1.0,$0$,-288.0,1.0
1.0,$0$,-288.0,1.0
6.0,$0$,-236.0,0.08333333333333333
1.0,$0$,-288.0,1.0
5.0,$0$,-236.0,0.4
1.0,$0$,-288.0,1.0
1.0,$0$,-288.0,1.0
1.0,$0$,-288.0,1.0
5.0,$0$,-236.0,0.06666666666666667
1.0,$0$,-288.0,1.0
1.0,$0$,-288.0,1.0
1.0,$0$,-288.0,1.0
1.0,$0$,-288.0,1.0
1.0,$0$,-288.0,1.0
42.0,$0$,-232.0,0.2261904761904762
1.0,$0$,-288.0,1.0
1.0,$0$,-288.0,1.0
1.0,$0$,-288.0,1.0
1.0,$0$,-288.0,1.0
6.0,$0$,-236.0,0.38888888888888884
1.0,$0$,-288.0,1.0
1.0,$0$,-288.0,1.0
42.0,$0$,-228.0,0.2698412698412699
1.0,$0$,-288.0,1.0
1.0,$0$,-240.0,0.16666666666666666
6.0,$0$,-236.0,0.3888888888888889
1.0,$0$,-288.0,1.0
1.0,$0$,-288.0,1.0
1.0,$0$,-288.0,1.0
8.0,$0$,-236.0,0.20833333333333334
1.0,$0$,-288.0,1.0
1.0,$0$,-288.0,1.0
6.0,$0$,-236.0,0.25
35.0,$0$,-232.0,0.03015873015873016
8.0,$0$,-236.0,0.1875
1.0,$0$,-288.0,1.0
1.0,$0$,-288.0,1.0
1.0,$0$,-288.0,1.0
1.0,$0$,-288.0,1.0
1.0,$0$,-288.0,1.0
1.0,$0$,-288.0,1.0
1.0,$0$,-240.0,0.3333333333333333
42.0,$0$,-232.0,0.18253968253968256
1.0,$0$,-288.0,1.0
1.0,$0$,-288.0,1.0
1.0,$0$,-288.0,1.0
1.0,$0$,-288.0,1.0
1.0,$0$,-288.0,1.0
1.0,$0$,-288.0,1.0
42.0,$0$,-232.0,0.07539682539682538
1.0,$0$,-288.0,1.0
30.0,$0$,-232.0,0.025
1.0,$0$,-288.0,1.0
1.0,$0$,-288.0,1.0
7.0,$0$,-236.0,0.4047619047619047
1.0,$0$,-240.0,0.5
56.0,$0$,-232.0,0.1369047619047619
1.0,$0$,-288.0,1.0
1.0,$0$,-288.0,1.0
1.0,$0$,-288.0,1.0
1.0,$0$,-288.0,1.0
1.0,$0$,-288.0,1.0
1.0,$0$,-288.0,1.0
1.0,$0$,-288.0,1.0
1.0,$0$,-288.0,1.0
6.0,$0$,-228.0,0.1111111111111111
1.0,$0$,-288.0,1.0
1.0,$0$,-288.0,1.0
1.0,$0$,-288.0,1.0
1.0,$0$,-288.0,1.0
24.0,$0$,-228.0,0.34027777777777773
1.0,$0$,-240.0,0.5
1.0,$0$,-288.0,1.0
1.0,$0$,-240.0,0.3333333333333333
1.0,$0$,-288.0,1.0
1.0,$0$,-288.0,1.0
56.0,$0$,-232.0,0.39285714285714285
1.0,$0$,-288.0,1.0
56.0,$0$,-232.0,0.17261904761904762
6.0,$0$,-236.0,0.2222222222222222
1.0,$0$,-288.0,1.0
42.0,$0$,-228.0,0.09920634920634921
1.0,$0$,-288.0,1.0
1.0,$0$,-288.0,1.0
6.0,$0$,-236.0,0.08333333333333333
1.0,$0$,-240.0,0.0
1.0,$0$,-288.0,1.0
8.0,$0$,-236.0,0.22916666666666666
1.0,$0$,-288.0,1.0
1.0,$0$,-288.0,1.0
8.0,$0$,-232.0,0.0625
1.0,$0$,-288.0,1.0
1.0,$0$,-288.0,1.0
7.0,$0$,-236.0,0.07142857142857142
1.0,$0$,-288.0,1.0
1.0,$0$,-288.0,1.0
42.0,$0$,-232.0,0.27380952380952384
24.0,$0$,-232.0,0.34722222222222215
56.0,$0$,-232.0,0.1547619047619048
1.0,$0$,-288.0,1.0
35.0,$0$,-232.0,0.11428571428571428
1.0,$0$,-288.0,1.0
1.0,$0$,-288.0,1.0
1.0,$0$,-288.0,1.0
1.0,$0$,-288.0,1.0
1.0,$0$,-288.0,1.0
1.0,$0$,-288.0,1.0
1.0,$0$,-288.0,1.0
1.0,$0$,-288.0,1.0
1.0,$0$,-240.0,0.16666666666666666
1.0,$0$,-288.0,1.0
1.0,$0$,-288.0,1.0
1.0,$0$,-288.0,1.0
1.0,$0$,-288.0,1.0
7.0,$0$,-236.0,0.04761904761904762
1.0,$0$,-288.0,1.0
1.0,$0$,-288.0,1.0
1.0,$0$,-288.0,1.0
1.0,$0$,-240.0,0.0
1.0,$0$,-288.0,1.0
1.0,$0$,-288.0,1.0
1.0,$0$,-288.0,1.0
1.0,$0$,-288.0,1.0
1.0,$0$,-288.0,1.0
1.0,$0$,-288.0,1.0
1.0,$0$,-288.0,1.0
1.0,$0$,-288.0,1.0
1.0,$0$,-240.0,0.16666666666666666
1.0,$0$,-288.0,1.0
8.0,$0$,-236.0,0.041666666666666664
1.0,$0$,-288.0,1.0
1.0,$0$,-288.0,1.0
