length,$p_{stable}$,Energy,Consensus
1.0,0,-450.0,1.0
1.0,0,-450.0,1.0
1.0,0,-450.0,1.0
1.0,0,-450.0,1.0
1.0,0,-450.0,1.0
1.0,0,-450.0,1.0
1.0,0,-450.0,1.0
1.0,0,-450.0,1.0
14.0,0,-362.0,0.14285714285714282
14.0,0,-350.0,0.18095238095238095
1.0,0,-450.0,1.0
1.0,0,-450.0,1.0
1.0,0,-450.0,1.0
14.0,0,-346.0,0.35238095238095235
1.0,0,-450.0,1.0
1.0,0,-450.0,1.0
14.0,0,-350.0,0.04761904761904762
14.0,0,-354.0,0.42857142857142855
1.0,0,-450.0,1.0
14.0,0,-354.0,0.24761904761904768
1.0,0,-450.0,1.0
1.0,0,-450.0,1.0
1.0,0,-450.0,1.0
1.0,0,-450.0,1.0
14.0,0,-346.0,0.047619047619047616
1.0,0,-450.0,1.0
1.0,0,-450.0,1.0
1.0,0,-450.0,1.0
14.0,0,-358.0,0.15238095238095237
1.0,0,-450.0,1.0
1.0,0,-450.0,1.0
1.0,0,-450.0,1.0
14.0,0,-366.0,0.14285714285714285
14.0,0,-342.0,0.219047619047619
1.0,0,-450.0,1.0
1.0,0,-450.0,1.0
1.0,0,-450.0,1.0
1.0,0,-450.0,1.0
1.0,0,-450.0,1.0
14.0,0,-358.0,0.14285714285714285
1.0,0,-450.0,1.0
14.0,0,-342.0,0.028571428571428564
1.0,0,-450.0,1.0
1.0,0,-450.0,1.0
1.0,0,-450.0,1.0
1.0,0,-450.0,1.0
1.0,0,-450.0,1.0
1.0,0,-450.0,1.0
1.0,0,-450.0,1.0
1.0,0,-450.0,1.0
1.0,0,-450.0,1.0
1.0,0,-450.0,1.0
1.0,0,-450.0,1.0
1.0,0,-450.0,1.0
1.0,0,-450.0,1.0
1.0,0,-450.0,1.0
1.0,0,-450.0,1.0
1.0,0,-450.0,1.0
1.0,0,-450.0,1.0
14.0,0,-354.0,0.2666666666666668
1.0,0,-450.0,1.0
1.0,0,-450.0,1.0
14.0,0,-354.0,0.15238095238095234
1.0,0,-450.0,1.0
14.0,0,-366.0,0.019682539682539673
1.0,0,-450.0,1.0
1.0,0,-450.0,1.0
1.0,0,-450.0,1.0
14.0,0,-362.0,0.06666666666666667
1.0,0,-450.0,1.0
1.0,0,-450.0,1.0
1.0,0,-450.0,1.0
1.0,0,-450.0,1.0
14.0,0,-350.0,0.11428571428571425
1.0,0,-450.0,1.0
1.0,0,-450.0,1.0
1.0,0,-450.0,1.0
14.0,0,-354.0,0.219047619047619
1.0,0,-450.0,1.0
1.0,0,-450.0,1.0
1.0,0,-450.0,1.0
1.0,0,-450.0,1.0
14.0,0,-362.0,0.04761904761904761
1.0,0,-450.0,1.0
1.0,0,-450.0,1.0
1.0,0,-450.0,1.0
1.0,0,-450.0,1.0
1.0,0,-450.0,1.0
14.0,0,-354.0,0.06666666666666667
1.0,0,-450.0,1.0
14.0,0,-362.0,0.20000000000000004
14.0,0,-326.0,0.16190476190476186
1.0,0,-450.0,1.0
1.0,0,-450.0,1.0
1.0,0,-450.0,1.0
1.0,0,-450.0,1.0
