length,$p_{stable}$,Energy,Consensus
1.0,$0$,-450.0,1.0
1.0,$0$,-450.0,1.0
1.0,$0$,-390.0,0.06666666666666667
1.0,$0$,-450.0,1.0
72.0,$0$,-382.0,0.20185185185185184
1.0,$0$,-450.0,1.0
1.0,$0$,-450.0,1.0
1.0,$0$,-450.0,1.0
8.0,$0$,-386.0,0.15000000000000002
1.0,$0$,-450.0,1.0
1.0,$0$,-390.0,0.3333333333333333
1.0,$0$,-450.0,1.0
1.0,$0$,-450.0,1.0
90.0,$0$,-382.0,0.1348148148148148
1.0,$0$,-450.0,1.0
8.0,$0$,-386.0,0.13333333333333333
1.0,$0$,-450.0,1.0
1.0,$0$,-450.0,1.0
1.0,$0$,-450.0,1.0
1.0,$0$,-450.0,1.0
1.0,$0$,-390.0,0.2
1.0,$0$,-450.0,1.0
1.0,$0$,-450.0,1.0
1.0,$0$,-390.0,0.2
56.0,$0$,-382.0,0.19047619047619047
10.0,$0$,-386.0,0.21333333333333332
1.0,$0$,-450.0,1.0
1.0,$0$,-450.0,1.0
10.0,$0$,-386.0,0.44000000000000006
1.0,$0$,-450.0,1.0
1.0,$0$,-450.0,1.0
1.0,$0$,-450.0,1.0
1.0,$0$,-450.0,1.0
6.0,$0$,-386.0,0.15555555555555559
1.0,$0$,-450.0,1.0
1.0,$0$,-450.0,1.0
1.0,$0$,-450.0,1.0
1.0,$0$,-450.0,1.0
1.0,$0$,-450.0,1.0
1.0,$0$,-450.0,1.0
1.0,$0$,-450.0,1.0
24.0,$0$,-382.0,0.3222222222222222
1.0,$0$,-450.0,1.0
1.0,$0$,-450.0,1.0
1.0,$0$,-450.0,1.0
1.0,$0$,-450.0,1.0
1.0,$0$,-450.0,1.0
7.0,$0$,-382.0,0.2571428571428572
1.0,$0$,-450.0,1.0
1.0,$0$,-450.0,1.0
1.0,$0$,-450.0,1.0
1.0,$0$,-450.0,1.0
90.0,$0$,-382.0,0.07111111111111111
1.0,$0$,-450.0,1.0
1.0,$0$,-450.0,1.0
1.0,$0$,-450.0,1.0
1.0,$0$,-450.0,1.0
1.0,$0$,-450.0,1.0
1.0,$0$,-450.0,1.0
6.0,$0$,-386.0,0.1777777777777778
1.0,$0$,-450.0,1.0
1.0,$0$,-450.0,1.0
1.0,$0$,-450.0,1.0
9.0,$0$,-386.0,0.08148148148148149
1.0,$0$,-450.0,1.0
1.0,$0$,-450.0,1.0
6.0,$0$,-386.0,0.3111111111111111
1.0,$0$,-450.0,1.0
1.0,$0$,-450.0,1.0
1.0,$0$,-450.0,1.0
1.0,$0$,-450.0,1.0
45.0,$0$,-382.0,0.11407407407407408
1.0,$0$,-390.0,0.3333333333333333
1.0,$0$,-450.0,1.0
1.0,$0$,-450.0,1.0
9.0,$0$,-386.0,0.27407407407407414
1.0,$0$,-450.0,1.0
1.0,$0$,-450.0,1.0
1.0,$0$,-450.0,1.0
1.0,$0$,-450.0,1.0
1.0,$0$,-450.0,1.0
24.0,$0$,-382.0,0.2333333333333333
7.0,$0$,-386.0,0.2571428571428571
1.0,$0$,-450.0,1.0
