length,$p_{stable}$,Energy,Consensus
1,$0.0$,-1.0,1.0
1,$0.1$,-1.0,1.0
660,$0.3$,-0.7890625,0.024408143939393938
20,$0.5$,-0.7890625,0.56640625
6,$0.7$,-0.671875,0.31640625
2,$0.9$,-0.59375,0.1953125
1,$1$,-0.6015625,0.2265625
1,$0.0$,-1.0,1.0
1,$0.1$,-1.0,1.0
660,$0.3$,-0.765625,0.17933238636363635
6,$0.5$,-0.765625,0.546875
2,$0.7$,-0.734375,0.3828125
2,$0.9$,-0.6015625,0.31640625
1,$1$,-0.59375,0.2421875
1,$0.0$,-0.875,0.25
1,$0.1$,-1.0,1.0
4,$0.3$,-0.7890625,0.43359375
6,$0.5$,-0.6484375,0.2421875
12,$0.7$,-0.640625,0.07421875
2,$0.9$,-0.578125,0.0390625
1,$1$,-0.578125,0.0390625
8,$0.0$,-0.8671875,0.0625
1,$0.1$,-0.875,0.125
1,$0.3$,-0.9609375,0.953125
348,$0.5$,-0.7734375,0.09900323275862068
6,$0.7$,-0.6953125,0.08203125
4,$0.9$,-0.625,0.12890625
1,$1$,-0.5546875,0.125
1,$0.0$,-1.0,1.0
1,$0.1$,-1.0,1.0
21,$0.3$,-0.8984375,0.7488839285714286
282,$0.5$,-0.7421875,0.3829233156028369
6,$0.7$,-0.7265625,0.13671875
6,$0.9$,-0.6796875,0.1796875
1,$1$,-0.6796875,0.21875
1,$0.0$,-1.0,1.0
1,$0.1$,-1.0,1.0
6,$0.3$,-0.8984375,0.7109375
12,$0.5$,-0.7578125,0.373046875
6,$0.7$,-0.75,0.26171875
2,$0.9$,-0.6953125,0.1875
1,$1$,-0.6796875,0.1875
1,$0.0$,-1.0,1.0
20,$0.1$,-0.8515625,0.2265625
1680,$0.3$,-0.7890625,0.2338169642857143
6,$0.5$,-0.8203125,0.5130208333333334
6,$0.7$,-0.71875,0.3046875
2,$0.9$,-0.6328125,0.37890625
1,$1$,-0.625,0.359375
1,$0.0$,-1.0,1.0
1,$0.1$,-1.0,1.0
12,$0.3$,-0.875,0.625
10,$0.5$,-0.75,0.42578125
42,$0.7$,-0.6328125,0.07924107142857142
2,$0.9$,-0.6171875,0.22265625
1,$1$,-0.6171875,0.2109375
9,$0.0$,-0.8671875,0.05555555555555555
3002,$0.1$,-0.796875,0.0390625
192,$0.3$,-0.7578125,0.02473958333333333
6,$0.5$,-0.7578125,0.171875
2,$0.7$,-0.640625,0.0390625
2,$0.9$,-0.546875,0.23046875
1,$1$,-0.4921875,0.078125
1,$0.0$,-1.0,1.0
1,$0.1$,-1.0,1.0
3,$0.3$,-0.9296875,0.8671875
12,$0.5$,-0.7421875,0.13671875
12,$0.7$,-0.65625,0.12109375
2,$0.9$,-0.609375,0.0390625
1,$1$,-0.609375,0.0546875
8,$0.0$,-0.8671875,0.078125
8,$0.1$,-0.8671875,0.03125
1410,$0.3$,-0.78125,0.22249002659574468
920,$0.5$,-0.765625,0.18856148097826086
6,$0.7$,-0.7109375,0.015625
2,$0.9$,-0.609375,0.19140625
1,$1$,-0.59375,0.2734375
8,$0.0$,-0.8671875,0.109375
1,$0.1$,-0.875,0.5
930,$0.3$,-0.8359375,0.2556703629032258
420,$0.5$,-0.78125,0.44185267857142857
6,$0.7$,-0.7265625,0.33984375
6,$0.9$,-0.6484375,0.1875
1,$1$,-0.671875,0.3046875
10,$0.0$,-0.8671875,0.0375
6,$0.1$,-0.9140625,0.79296875
14,$0.3$,-0.84375,0.67578125
14,$0.5$,-0.75,0.4737723214285714
6,$0.7$,-0.6953125,0.41796875
2,$0.9$,-0.6953125,0.47265625
1,$1$,-0.625,0.34375
1,$0.0$,-1.0,1.0
1,$0.1$,-1.0,1.0
84,$0.3$,-0.828125,0.4793526785714286
10,$0.5$,-0.8046875,0.40625
12,$0.7$,-0.65625,0.1953125
2,$0.9$,-0.59375,0.08984375
1,$1$,-0.53125,0.0546875
1,$0.0$,-1.0,1.0
44,$0.1$,-0.90625,0.7924360795454546
276,$0.3$,-0.859375,0.630264945652174
2,$0.5$,-0.78125,0.1171875
6,$0.7$,-0.65625,0.0625
2,$0.9$,-0.65625,0.02734375
1,$1$,-0.6171875,0.0234375
1,$0.0$,-1.0,1.0
1,$0.1$,-0.875,0.375
20,$0.3$,-0.8125,0.09609375
42,$0.5$,-0.7421875,0.012648809523809524
4,$0.7$,-0.75,0.0625
6,$0.9$,-0.5859375,0.1796875
1,$1$,-0.5703125,0.0625
1,$0.0$,-1.0,1.0
1,$0.1$,-1.0,1.0
1680,$0.3$,-0.796875,0.13756510416666667
252,$0.5$,-0.7421875,0.142578125
14,$0.7$,-0.65625,0.14564732142857142
2,$0.9$,-0.6328125,0.08203125
1,$1$,-0.59375,0.09375
1,$0.0$,-1.0,1.0
1,$0.1$,-1.0,1.0
4,$0.3$,-0.765625,0.28125
6,$0.5$,-0.7578125,0.19140625
2,$0.7$,-0.7109375,0.2578125
2,$0.9$,-0.6484375,0.23828125
1,$1$,-0.6328125,0.1953125
1,$0.0$,-1.0,1.0
5,$0.1$,-0.90625,0.796875
1596,$0.3$,-0.8125,0.07536419172932331
18,$0.5$,-0.7578125,0.3359375
6,$0.7$,-0.703125,0.12109375
2,$0.9$,-0.6328125,0.10546875
1,$1$,-0.59375,0.171875
1,$0.0$,-1.0,1.0
30,$0.1$,-0.859375,0.51640625
2,$0.3$,-0.875,0.58203125
4,$0.5$,-0.796875,0.30859375
6,$0.7$,-0.71875,0.1953125
1,$0.9$,-0.6953125,0.2421875
1,$1$,-0.671875,0.1796875
1,$0.0$,-0.875,0.125
78,$0.1$,-0.84375,0.2298677884615385
28,$0.3$,-0.8359375,0.39955357142857145
1092,$0.5$,-0.65625,0.12066449175824175
6,$0.7$,-0.65625,0.07421875
