length,$p_{stable}$,SpinGlass,Magnetization
90,$0.0$,-0.859375,0.2333333333333333
1,$0.1$,-1.0,1.0
2,$0.3$,-0.8984375,0.69140625
6,$0.5$,-0.796875,0.47265625
3,$0.7$,-0.7734375,0.390625
2,$0.9$,-0.640625,0.31640625
1,$1$,-0.59375,0.2578125
9,$0.0$,-0.859375,0.2222222222222222
1,$0.1$,-1.0,1.0
15,$0.3$,-0.8203125,0.559375
60,$0.5$,-0.703125,0.193359375
14,$0.7$,-0.65625,0.3727678571428572
2,$0.9$,-0.6015625,0.265625
1,$1$,-0.5625,0.21875
1,$0.0$,-1.0,1.0
1,$0.1$,-1.0,1.0
180,$0.3$,-0.71875,0.2029079861111111
20,$0.5$,-0.8359375,0.62109375
2,$0.7$,-0.71875,0.47265625
2,$0.9$,-0.609375,0.25390625
1,$1$,-0.5703125,0.1171875
1,$0.0$,-1.0,1.0
2,$0.1$,-0.9140625,0.78515625
558,$0.3$,-0.859375,0.5613799283154122
12,$0.5$,-0.8046875,0.5338541666666666
12,$0.7$,-0.6328125,0.2109375
6,$0.9$,-0.6328125,0.25390625
1,$1$,-0.625,0.265625
1,$0.0$,-1.0,1.0
1,$0.1$,-1.0,1.0
20,$0.3$,-0.765625,0.13359375
60,$0.5$,-0.8515625,0.59765625
6,$0.7$,-0.65625,0.0546875
2,$0.9$,-0.6484375,0.125
1,$1$,-0.625,0.0625
1,$0.0$,-1.0,1.0
1,$0.1$,-1.0,1.0
84,$0.3$,-0.859375,0.5208333333333334
12,$0.5$,-0.8203125,0.3815104166666667
4,$0.7$,-0.7890625,0.3125
2,$0.9$,-0.7109375,0.20703125
1,$1$,-0.734375,0.1484375
1,$0.0$,-1.0,1.0
1,$0.1$,-1.0,1.0
1,$0.3$,-0.96875,0.96875
1848,$0.5$,-0.7421875,0.2666692031926407
12,$0.7$,-0.734375,0.45703125
6,$0.9$,-0.6796875,0.28515625
1,$1$,-0.65625,0.28125
70,$0.0$,-0.859375,0.14107142857142854
6,$0.1$,-0.921875,0.84375
228,$0.3$,-0.828125,0.14196134868421054
42,$0.5$,-0.7890625,0.24888392857142855
2,$0.7$,-0.71875,0.15234375
2,$0.9$,-0.609375,0.16015625
1,$1$,-0.6015625,0.1953125
1,$0.0$,-1.0,1.0
1,$0.1$,-1.0,1.0
120,$0.3$,-0.75,0.0662109375
12,$0.5$,-0.71875,0.296875
6,$0.7$,-0.671875,0.12109375
2,$0.9$,-0.609375,0.0234375
1,$1$,-0.6171875,0.0625
1,$0.0$,-1.0,1.0
1,$0.1$,-1.0,1.0
6,$0.3$,-0.8515625,0.734375
6,$0.5$,-0.7890625,0.078125
30,$0.7$,-0.703125,0.08984375
2,$0.9$,-0.6875,0.109375
1,$1$,-0.6484375,0.1015625
1,$0.0$,-1.0,1.0
1,$0.1$,-1.0,1.0
12,$0.3$,-0.7890625,0.064453125
12,$0.5$,-0.796875,0.453125
60,$0.7$,-0.6875,0.1015625
2,$0.9$,-0.609375,0.0078125
1,$1$,-0.5859375,0.015625
1,$0.0$,-1.0,1.0
408,$0.1$,-0.8203125,0.2287454044117647
252,$0.3$,-0.8125,0.07663690476190478
6,$0.5$,-0.7421875,0.12109375
6,$0.7$,-0.7109375,0.022135416666666668
4,$0.9$,-0.671875,0.06640625
1,$1$,-0.6171875,0.015625
1,$0.0$,-1.0,1.0
1,$0.1$,-0.9453125,0.90625
84,$0.3$,-0.796875,0.07868303571428571
6,$0.5$,-0.7734375,0.12109375
6,$0.7$,-0.6953125,0.32421875
6,$0.9$,-0.59375,0.03125
1,$1$,-0.5546875,0.015625
8,$0.0$,-0.8671875,0.078125
1,$0.1$,-0.875,0.25
72,$0.3$,-0.796875,0.26171875
210,$0.5$,-0.71875,0.20357142857142854
6,$0.7$,-0.6328125,0.014322916666666666
2,$0.9$,-0.625,0.078125
1,$1$,-0.5859375,0.0
1,$0.0$,-0.875,0.125
12,$0.1$,-0.8671875,0.1796875
44,$0.3$,-0.8125,0.24041193181818185
12,$0.5$,-0.703125,0.12109375
2,$0.7$,-0.609375,0.0703125
6,$0.9$,-0.59375,0.0390625
1,$1$,-0.5703125,0.0859375
1,$0.0$,-1.0,1.0
115,$0.1$,-0.8359375,0.2692255434782609
12,$0.3$,-0.75,0.171875
6,$0.5$,-0.703125,0.06640625
12,$0.7$,-0.6640625,0.17317708333333334
2,$0.9$,-0.5859375,0.015625
1,$1$,-0.578125,0.0078125
1,$0.0$,-1.0,1.0
1,$0.1$,-0.9609375,0.953125
340,$0.3$,-0.8359375,0.2840073529411765
48,$0.5$,-0.7734375,0.3193359375
6,$0.7$,-0.6796875,0.296875
6,$0.9$,-0.734375,0.11328125
1,$1$,-0.6796875,0.0234375
1,$0.0$,-1.0,1.0
1,$0.1$,-1.0,1.0
1140,$0.3$,-0.84375,0.30859375
546,$0.5$,-0.71875,0.08825549450549451
6,$0.7$,-0.703125,0.41796875
6,$0.9$,-0.65625,0.25
1,$1$,-0.6328125,0.265625
40,$0.0$,-0.859375,0.028125
30,$0.1$,-0.8671875,0.0625
3002,$0.3$,-0.8125,0.3359375
30,$0.5$,-0.78125,0.33307291666666666
6,$0.7$,-0.7265625,0.12109375
2,$0.9$,-0.6640625,0.1484375
1,$1$,-0.6171875,0.140625
8,$0.0$,-0.859375,0.328125
1,$0.1$,-1.0,1.0
15,$0.3$,-0.8359375,0.0640625
30,$0.5$,-0.8828125,0.6510416666666666
6,$0.7$,-0.671875,0.359375
2,$0.9$,-0.6171875,0.13671875
1,$1$,-0.6015625,0.1953125
1,$0.0$,-1.0,1.0
1,$0.1$,-1.0,1.0
3002,$0.3$,-0.828125,0.390625
12,$0.5$,-0.765625,0.15234375
6,$0.7$,-0.765625,0.4140625
2,$0.9$,-0.578125,0.00390625
1,$1$,-0.5703125,0.015625
72,$0.0$,-0.859375,0.08506944444444445
1,$0.1$,-0.875,0.125
12,$0.3$,-0.8046875,0.267578125
140,$0.5$,-0.734375,0.13392857142857142
20,$0.7$,-0.6328125,0.09765625
2,$0.9$,-0.6171875,0.23046875
1,$1$,-0.59375,0.1875
72,$0.0$,-0.8515625,0.3628472222222222
1,$0.1$,-0.875,0.125
12,$0.3$,-0.796875,0.17708333333333334
5,$0.5$,-0.7734375,0.0859375
6,$0.7$,-0.6640625,0.015625
2,$0.9$,-0.65625,0.203125
1,$1$,-0.578125,0.109375
1,$0.0$,-1.0,1.0
1,$0.1$,-1.0,1.0
15,$0.3$,-0.8515625,0.23697916666666666
330,$0.5$,-0.78125,0.018134469696969698
2,$0.7$,-0.71875,0.08984375
2,$0.9$,-0.65625,0.078125
1,$1$,-0.625,0.109375
1,$0.0$,-1.0,1.0
1,$0.1$,-1.0,1.0
52,$0.3$,-0.8828125,0.6541466346153846
84,$0.5$,-0.8046875,0.435546875
2,$0.7$,-0.78125,0.55078125
2,$0.9$,-0.640625,0.37890625
1,$1$,-0.65625,0.4453125
1,$0.0$,-1.0,1.0
1,$0.1$,-1.0,1.0
76,$0.3$,-0.7734375,0.2275904605263158
20,$0.5$,-0.7421875,0.144921875
12,$0.7$,-0.7265625,0.0546875
2,$0.9$,-0.671875,0.0546875
1,$1$,-0.640625,0.078125
1,$0.0$,-1.0,1.0
1,$0.1$,-1.0,1.0
360,$0.3$,-0.7890625,0.07890625
4,$0.5$,-0.7734375,0.41796875
6,$0.7$,-0.6796875,0.21354166666666666
2,$0.9$,-0.6015625,0.2109375
1,$1$,-0.59375,0.2421875
1,$0.0$,-0.875,0.375
10,$0.1$,-0.8671875,0.43359375
60,$0.3$,-0.8359375,0.28359375
60,$0.5$,-0.78125,0.0140625
4,$0.7$,-0.78125,0.16015625
2,$0.9$,-0.71875,0.13671875
1,$1$,-0.734375,0.1171875
1,$0.0$,-1.0,1.0
1,$0.1$,-1.0,1.0
12,$0.3$,-0.796875,0.48046875
30,$0.5$,-0.75,0.2552083333333333
