length,$p_{stable}$,SpinGlass,Magnetization
56,$0$,-0.859375,0.31473214285714285
56,$1/n^2$,-0.859375,0.31473214285714285
56,$1/n^{3/2}$,-0.859375,0.31473214285714285
56,$1/n$,-0.859375,0.31473214285714285
1,$1/\sqrt{n}$,-1.0,1.0
1,$1/{n^{1/3}}$,-1.0,1.0
1,$1/\log^{2}(n)$,-0.875,0.375
1,$1/\log(n)$,-0.875,0.125
1,$0$,-1.0,1.0
1,$1/n^2$,-1.0,1.0
1,$1/n^{3/2}$,-1.0,1.0
1,$1/n$,-1.0,1.0
1,$1/\sqrt{n}$,-1.0,1.0
420,$1/{n^{1/3}}$,-0.859375,0.5925967261904762
1,$1/\log^{2}(n)$,-1.0,1.0
1,$1/\log(n)$,-0.8828125,0.5625
9,$0$,-0.8671875,0.08333333333333333
9,$1/n^2$,-0.8671875,0.08333333333333333
9,$1/n^{3/2}$,-0.8671875,0.08333333333333333
1,$1/n$,-0.875,0.375
1,$1/\sqrt{n}$,-0.875,0.125
7,$1/{n^{1/3}}$,-0.84375,0.11607142857142858
1,$1/\log^{2}(n)$,-1.0,1.0
1,$1/\log(n)$,-1.0,1.0
1,$0$,-1.0,1.0
1,$1/n^2$,-1.0,1.0
1,$1/n^{3/2}$,-1.0,1.0
1,$1/n$,-1.0,1.0
1,$1/\sqrt{n}$,-0.875,0.0
6,$1/{n^{1/3}}$,-0.9140625,0.8033854166666666
1,$1/\log^{2}(n)$,-1.0,1.0
120,$1/\log(n)$,-0.8828125,0.7203125
1,$0$,-1.0,1.0
1,$1/n^2$,-1.0,1.0
1,$1/n^{3/2}$,-1.0,1.0
1,$1/n$,-1.0,1.0
1,$1/\sqrt{n}$,-1.0,1.0
3,$1/{n^{1/3}}$,-0.9296875,0.8697916666666666
1,$1/\log^{2}(n)$,-1.0,1.0
21,$1/\log(n)$,-0.8515625,0.10602678571428573
1,$0$,-1.0,1.0
1,$1/n^2$,-1.0,1.0
1,$1/n^{3/2}$,-1.0,1.0
1,$1/n$,-1.0,1.0
1,$1/\sqrt{n}$,-1.0,1.0
1,$1/{n^{1/3}}$,-1.0,1.0
1,$1/\log^{2}(n)$,-1.0,1.0
1,$1/\log(n)$,-0.9453125,0.90625
90,$0$,-0.859375,0.4777777777777778
90,$1/n^2$,-0.859375,0.4777777777777778
90,$1/n^{3/2}$,-0.859375,0.4777777777777778
90,$1/n$,-0.859375,0.4777777777777778
1,$1/\sqrt{n}$,-1.0,1.0
48,$1/{n^{1/3}}$,-0.859375,0.36767578125
90,$1/\log^{2}(n)$,-0.859375,0.4777777777777778
1,$1/\log(n)$,-1.0,1.0
1,$0$,-1.0,1.0
1,$1/n^2$,-1.0,1.0
1,$1/n^{3/2}$,-1.0,1.0
1,$1/n$,-1.0,1.0
1,$1/\sqrt{n}$,-1.0,1.0
1,$1/{n^{1/3}}$,-1.0,1.0
1,$1/\log^{2}(n)$,-1.0,1.0
12,$1/\log(n)$,-0.8671875,0.06640625
90,$0$,-0.859375,0.23194444444444445
90,$1/n^2$,-0.859375,0.23194444444444445
90,$1/n^{3/2}$,-0.859375,0.23194444444444445
70,$1/n$,-0.859375,0.3053571428571429
1,$1/\sqrt{n}$,-1.0,1.0
18,$1/{n^{1/3}}$,-0.859375,0.14453125
90,$1/\log^{2}(n)$,-0.859375,0.23194444444444445
1,$1/\log(n)$,-0.875,0.375
1,$0$,-1.0,1.0
1,$1/n^2$,-1.0,1.0
1,$1/n^{3/2}$,-1.0,1.0
9,$1/n$,-0.8671875,0.3611111111111111
1,$1/\sqrt{n}$,-1.0,1.0
1,$1/{n^{1/3}}$,-1.0,1.0
1,$1/\log^{2}(n)$,-1.0,1.0
10,$1/\log(n)$,-0.828125,0.53125
8,$0$,-0.8671875,0.03125
8,$1/n^2$,-0.8671875,0.03125
8,$1/n^{3/2}$,-0.8671875,0.03125
56,$1/n$,-0.859375,0.12723214285714285
1,$1/\sqrt{n}$,-0.875,0.375
1,$1/{n^{1/3}}$,-1.0,1.0
1,$1/\log^{2}(n)$,-1.0,1.0
1,$1/\log(n)$,-1.0,1.0
1,$0$,-1.0,1.0
1,$1/n^2$,-1.0,1.0
1,$1/n^{3/2}$,-1.0,1.0
1,$1/n$,-1.0,1.0
1,$1/\sqrt{n}$,-1.0,1.0
70,$1/{n^{1/3}}$,-0.8203125,0.40669642857142857
1,$1/\log^{2}(n)$,-1.0,1.0
1,$1/\log(n)$,-1.0,1.0
7,$0$,-0.8671875,0.07142857142857142
7,$1/n^2$,-0.8671875,0.07142857142857142
7,$1/n^{3/2}$,-0.8671875,0.07142857142857142
7,$1/n$,-0.8671875,0.07142857142857142
30,$1/\sqrt{n}$,-0.859375,0.13932291666666666
1,$1/{n^{1/3}}$,-1.0,1.0
1,$1/\log^{2}(n)$,-0.875,0.375
1,$1/\log(n)$,-1.0,1.0
8,$0$,-0.859375,0.1875
8,$1/n^2$,-0.859375,0.1875
8,$1/n^{3/2}$,-0.859375,0.1875
8,$1/n$,-0.859375,0.1875
8,$1/\sqrt{n}$,-0.8671875,0.03125
1,$1/{n^{1/3}}$,-1.0,1.0
8,$1/\log^{2}(n)$,-0.8671875,0.265625
54,$1/\log(n)$,-0.8515625,0.17708333333333334
9,$0$,-0.8671875,0.2916666666666667
9,$1/n^2$,-0.8671875,0.2916666666666667
9,$1/n^{3/2}$,-0.8671875,0.2916666666666667
9,$1/n$,-0.8671875,0.2916666666666667
1,$1/\sqrt{n}$,-1.0,1.0
132,$1/{n^{1/3}}$,-0.84375,0.4692234848484849
9,$1/\log^{2}(n)$,-0.8671875,0.4166666666666667
1,$1/\log(n)$,-0.875,0.5
8,$0$,-0.8671875,0.46875
8,$1/n^2$,-0.8671875,0.46875
8,$1/n^{3/2}$,-0.8671875,0.46875
1,$1/n$,-0.875,0.5
1,$1/\sqrt{n}$,-0.875,0.25
24,$1/{n^{1/3}}$,-0.8515625,0.1728515625
1,$1/\log^{2}(n)$,-0.875,0.375
1,$1/\log(n)$,-1.0,1.0
1,$0$,-1.0,1.0
1,$1/n^2$,-1.0,1.0
1,$1/n^{3/2}$,-1.0,1.0
1,$1/n$,-1.0,1.0
1,$1/\sqrt{n}$,-1.0,1.0
28,$1/{n^{1/3}}$,-0.8828125,0.625
1,$1/\log^{2}(n)$,-1.0,1.0
1,$1/\log(n)$,-1.0,1.0
10,$0$,-0.8671875,0.1625
10,$1/n^2$,-0.8671875,0.1625
10,$1/n^{3/2}$,-0.8671875,0.1625
10,$1/n$,-0.8671875,0.1625
1,$1/\sqrt{n}$,-0.875,0.25
210,$1/{n^{1/3}}$,-0.8359375,0.03125
1,$1/\log^{2}(n)$,-1.0,1.0
912,$1/\log(n)$,-0.84375,0.20429002192982454
1,$0$,-0.875,0.0
1,$1/n^2$,-0.875,0.0
1,$1/n^{3/2}$,-0.875,0.0
1,$1/n$,-0.875,0.25
1,$1/\sqrt{n}$,-0.875,0.25
3002,$1/{n^{1/3}}$,-0.8046875,0.0078125
9,$1/\log^{2}(n)$,-0.8671875,0.19444444444444445
1,$1/\log(n)$,-1.0,1.0
1,$0$,-1.0,1.0
1,$1/n^2$,-1.0,1.0
1,$1/n^{3/2}$,-1.0,1.0
1,$1/n$,-1.0,1.0
1,$1/\sqrt{n}$,-1.0,1.0
4,$1/{n^{1/3}}$,-0.890625,0.71875
1,$1/\log^{2}(n)$,-1.0,1.0
3002,$1/\log(n)$,-0.8125,0.3125
9,$0$,-0.8671875,0.2777777777777778
9,$1/n^2$,-0.8671875,0.2777777777777778
9,$1/n^{3/2}$,-0.8671875,0.2777777777777778
9,$1/n$,-0.8671875,0.2777777777777778
1,$1/\sqrt{n}$,-0.875,0.25
34,$1/{n^{1/3}}$,-0.828125,0.1884191176470588
1,$1/\log^{2}(n)$,-1.0,1.0
8,$1/\log(n)$,-0.8671875,0.1875
1,$0$,-0.875,0.0
