length,$p_{stable}$,Energy,Consensus
1,$0$,-1.0,1.0
1,$1/n^2$,-1.0,1.0
1,$1/n^{3/2}$,-1.0,1.0
1,$1/n$,-1.0,1.0
20,$1/\sqrt{n}$,-0.8828125,0.6171875
1,$1/{n^{1/3}}$,-1.0,1.0
1,$1/\log^{2}(n)$,-1.0,1.0
1,$1/\log(n)$,-0.8984375,0.6875
1,$0$,-1.0,1.0
1,$1/n^2$,-1.0,1.0
1,$1/n^{3/2}$,-1.0,1.0
1,$1/n$,-1.0,1.0
1,$1/\sqrt{n}$,-0.875,0.375
68,$1/{n^{1/3}}$,-0.859375,0.4889705882352941
1,$1/\log^{2}(n)$,-1.0,1.0
24,$1/\log(n)$,-0.8671875,0.1953125
1,$0$,-1.0,1.0
1,$1/n^2$,-1.0,1.0
1,$1/n^{3/2}$,-1.0,1.0
1,$1/n$,-1.0,1.0
1,$1/\sqrt{n}$,-1.0,1.0
1,$1/{n^{1/3}}$,-1.0,1.0
1,$1/\log^{2}(n)$,-1.0,1.0
33,$1/\log(n)$,-0.859375,0.4810606060606061
1,$0$,-1.0,1.0
1,$1/n^2$,-1.0,1.0
1,$1/n^{3/2}$,-1.0,1.0
1,$1/n$,-1.0,1.0
1,$1/\sqrt{n}$,-1.0,1.0
6,$1/{n^{1/3}}$,-0.890625,0.65625
1,$1/\log^{2}(n)$,-1.0,1.0
1,$1/\log(n)$,-1.0,1.0
1,$0$,-1.0,1.0
1,$1/n^2$,-1.0,1.0
1,$1/n^{3/2}$,-1.0,1.0
1,$1/n$,-1.0,1.0
1,$1/\sqrt{n}$,-1.0,1.0
156,$1/{n^{1/3}}$,-0.828125,0.27524038461538464
1,$1/\log^{2}(n)$,-1.0,1.0
30,$1/\log(n)$,-0.8828125,0.640625
90,$0$,-0.8515625,0.1736111111111111
90,$1/n^2$,-0.8515625,0.1736111111111111
90,$1/n^{3/2}$,-0.8515625,0.1736111111111111
90,$1/n$,-0.8515625,0.1736111111111111
1,$1/\sqrt{n}$,-1.0,1.0
1,$1/{n^{1/3}}$,-1.0,1.0
9,$1/\log^{2}(n)$,-0.8671875,0.3888888888888889
1,$1/\log(n)$,-1.0,1.0
90,$0$,-0.859375,0.04444444444444445
