length,$p_{stable}$,p_act,Energy,Consensus
50002,$1/\sqrt{n}$,0.015625,-0.9658203125,0.6748046875
50002,$1/n^{1/3}$,0.06250000000000001,-0.9560546875,0.73291015625
34,$1/\log^2 n$,0.006944444444444444,-0.96826171875,0.42922794117647056
50002,$1/\log n$,0.08333333333333333,-0.94091796875,0.365234375
50002,$1/\sqrt{\log n}$,0.2886751345948129,-0.82080078125,0.20166015625
50002,$1/\log^{1/3}n$,0.4367902323681495,-0.7958984375,0.0048828125
1,$1/\sqrt{n}$,0.015625,-0.96875,0.21875
50002,$1/n^{1/3}$,0.06250000000000001,-0.962890625,0.59423828125
1,$1/\log^2 n$,0.006944444444444444,-0.96875,0.34375
50002,$1/\log n$,0.08333333333333333,-0.92333984375,0.037109375
50002,$1/\sqrt{\log n}$,0.2886751345948129,-0.83984375,0.04541015625
50002,$1/\log^{1/3}n$,0.4367902323681495,-0.810546875,0.14599609375
50002,$1/\sqrt{n}$,0.015625,-0.96484375,0.419921875
50002,$1/n^{1/3}$,0.06250000000000001,-0.93994140625,0.029296875
1,$1/\log^2 n$,0.006944444444444444,-0.96875,0.34375
50002,$1/\log n$,0.08333333333333333,-0.9404296875,0.0341796875
50002,$1/\sqrt{\log n}$,0.2886751345948129,-0.8408203125,0.09716796875
50002,$1/\log^{1/3}n$,0.4367902323681495,-0.7919921875,0.02392578125
3674,$1/\sqrt{n}$,0.015625,-0.9677734375,0.1623608252245509
50002,$1/n^{1/3}$,0.06250000000000001,-0.93798828125,0.04052734375
1,$1/\log^2 n$,0.006944444444444444,-1.0,1.0
50002,$1/\log n$,0.08333333333333333,-0.923828125,0.27734375
50002,$1/\sqrt{\log n}$,0.2886751345948129,-0.8251953125,0.099609375
50002,$1/\log^{1/3}n$,0.4367902323681495,-0.787109375,0.04296875
9500,$1/\sqrt{n}$,0.015625,-0.96728515625,0.04908069490131579
50002,$1/n^{1/3}$,0.06250000000000001,-0.94921875,0.4130859375
1,$1/\log^2 n$,0.006944444444444444,-0.96875,0.21875
50002,$1/\log n$,0.08333333333333333,-0.92578125,0.33447265625
50002,$1/\sqrt{\log n}$,0.2886751345948129,-0.828125,0.166015625
