length,init_magnet,Energy,Consensus
210,0.0,-0.76953125,0.14348028273809524
3900,0.2,-0.80859375,0.4981209935897436
5,0.4,-0.931640625,0.900390625
1,0.6,-0.98046875,0.9765625
1,0.8,-1.0,1.0
1,1.0,-1.0,1.0
1,0.5,-0.96875,0.96875
12002,0.0,-0.7265625,0.119140625
8120,0.2,-0.810546875,0.6522398399014778
52,0.4,-0.92578125,0.8774789663461539
1,0.6,-0.978515625,0.97265625
1,0.8,-1.0,1.0
1,1.0,-1.0,1.0
1,0.5,-0.982421875,0.98046875
9240,0.0,-0.765625,0.08551643668831169
330,0.2,-0.798828125,0.6306522253787878
1,0.4,-0.9140625,0.8984375
1,0.6,-0.9921875,0.9921875
1,0.8,-1.0,1.0
1,1.0,-1.0,1.0
1,0.5,-0.962890625,0.95703125
12002,0.0,-0.732421875,0.16796875
2730,0.2,-0.828125,0.6592497996794872
1,0.4,-0.9453125,0.9375
1,0.6,-0.982421875,0.98046875
1,0.8,-1.0,1.0
1,1.0,-1.0,1.0
1,0.5,-0.9765625,0.9765625
840,0.0,-0.7890625,0.008054315476190475
7280,0.2,-0.81640625,0.4613345638736264
4,0.4,-0.91796875,0.8740234375
7,0.6,-0.962890625,0.9411272321428572
1,0.8,-1.0,1.0
1,1.0,-1.0,1.0
6,0.5,-0.908203125,0.8629557291666666
12002,0.0,-0.69921875,0.1015625
420,0.2,-0.79296875,0.6044084821428571
26,0.4,-0.888671875,0.8071664663461539
1,0.6,-0.9765625,0.9765625
1,0.8,-1.0,1.0
1,1.0,-1.0,1.0
6,0.5,-0.962890625,0.9456380208333334
12002,0.0,-0.7421875,0.05859375
4,0.2,-0.8359375,0.6591796875
2,0.4,-0.91796875,0.8623046875
1,0.6,-0.9921875,0.9921875
1,0.8,-1.0,1.0
1,1.0,-1.0,1.0
1,0.5,-0.974609375,0.97265625
924,0.0,-0.71875,0.007567302489177489
12002,0.2,-0.767578125,0.509765625
2,0.4,-0.951171875,0.9326171875
1,0.6,-0.9921875,0.9921875
1,0.8,-1.0,1.0
1,1.0,-1.0,1.0
22,0.5,-0.970703125,0.9571200284090908
12002,0.0,-0.708984375,0.0390625
540,0.2,-0.80078125,0.5893012152777778
3,0.4,-0.89453125,0.8763020833333334
1,0.6,-0.990234375,0.98828125
1,0.8,-1.0,1.0
1,1.0,-1.0,1.0
2,0.5,-0.947265625,0.9326171875
1260,0.0,-0.73828125,0.052845982142857136
2730,0.2,-0.810546875,0.5236149267399267
2,0.4,-0.931640625,0.9169921875
1,0.6,-0.9921875,0.9921875
1,0.8,-1.0,1.0
1,1.0,-1.0,1.0
2,0.5,-0.984375,0.9755859375
12002,0.0,-0.74609375,0.083984375
84,0.2,-0.779296875,0.4792131696428572
3,0.4,-0.890625,0.83984375
1,0.6,-0.974609375,0.97265625
1,0.8,-1.0,1.0
1,1.0,-1.0,1.0
1,0.5,-0.951171875,0.939453125
4620,0.0,-0.763671875,0.020123951569264067
14,0.2,-0.818359375,0.6901506696428571
6,0.4,-0.951171875,0.904296875
1,0.6,-0.98046875,0.9765625
1,0.8,-1.0,1.0
1,1.0,-1.0,1.0
3,0.5,-0.96875,0.9602864583333334
3780,0.0,-0.734375,0.13317832341269842
18,0.2,-0.814453125,0.6246744791666666
1,0.4,-0.94140625,0.919921875
1,0.6,-0.966796875,0.96484375
1,0.8,-1.0,1.0
1,1.0,-1.0,1.0
1,0.5,-0.966796875,0.96484375
5040,0.0,-0.7421875,0.08387276785714286
6,0.2,-0.845703125,0.78125
6,0.4,-0.86328125,0.78515625
1,0.6,-0.990234375,0.98828125
1,0.8,-0.9921875,0.9921875
1,1.0,-1.0,1.0
1,0.5,-0.96875,0.96484375
12002,0.0,-0.779296875,0.064453125
140,0.2,-0.7734375,0.5753069196428572
1,0.4,-0.91796875,0.896484375
1,0.6,-0.98046875,0.974609375
1,0.8,-1.0,1.0
1,1.0,-1.0,1.0
1,0.5,-0.962890625,0.947265625
3612,0.0,-0.728515625,0.09427775470653378
420,0.2,-0.8125,0.4813337053571429
3,0.4,-0.92578125,0.9010416666666666
1,0.6,-0.9921875,0.9921875
1,0.8,-1.0,1.0
1,1.0,-1.0,1.0
1,0.5,-0.927734375,0.916015625
5460,0.0,-0.724609375,0.101803957760989
252,0.2,-0.8203125,0.6306888640873016
20,0.4,-0.93359375,0.8857421875
1,0.6,-0.9921875,0.9921875
1,0.8,-1.0,1.0
1,1.0,-1.0,1.0
2,0.5,-0.935546875,0.9169921875
5460,0.0,-0.708984375,0.07797583276098903
36,0.2,-0.787109375,0.6396484375
15,0.4,-0.91796875,0.883984375
1,0.6,-0.9921875,0.9921875
1,0.8,-1.0,1.0
1,1.0,-1.0,1.0
1,0.5,-0.958984375,0.95703125
420,0.0,-0.69921875,0.08219401041666667
210,0.2,-0.763671875,0.4714564732142857
1,0.4,-0.923828125,0.908203125
1,0.6,-0.9921875,0.9921875
1,0.8,-1.0,1.0
1,1.0,-1.0,1.0
21,0.5,-0.947265625,0.9115513392857144
420,0.0,-0.716796875,0.176171875
30,0.2,-0.80078125,0.6455078125
2,0.4,-0.91015625,0.8896484375
1,0.6,-0.94921875,0.943359375
1,0.8,-0.990234375,0.98828125
1,1.0,-1.0,1.0
2,0.5,-0.93359375,0.9228515625
12002,0.0,-0.728515625,0.037109375
1260,0.2,-0.794921875,0.5529436383928571
1,0.4,-0.953125,0.943359375
6,0.6,-0.978515625,0.9599609375
1,0.8,-1.0,1.0
1,1.0,-1.0,1.0
1,0.5,-0.978515625,0.970703125
12002,0.0,-0.7265625,0.03125
60,0.2,-0.810546875,0.6719401041666667
2,0.4,-0.931640625,0.9091796875
1,0.6,-0.978515625,0.97265625
1,0.8,-1.0,1.0
1,1.0,-1.0,1.0
1,0.5,-0.9609375,0.9609375
420,0.0,-0.716796875,0.06539248511904762
2,0.2,-0.853515625,0.7646484375
6,0.4,-0.912109375,0.85546875
1,0.6,-0.982421875,0.98046875
1,0.8,-0.9921875,0.9921875
1,1.0,-1.0,1.0
1,0.5,-0.95703125,0.935546875
4620,0.0,-0.716796875,0.009219426406926409
3900,0.2,-0.78125,0.5556430288461538
1,0.4,-0.912109375,0.892578125
1,0.6,-0.984375,0.984375
1,0.8,-1.0,1.0
1,1.0,-1.0,1.0
1,0.5,-0.95703125,0.931640625
840,0.0,-0.73828125,0.025864955357142852
4466,0.2,-0.83984375,0.7284443398734886
4,0.4,-0.92578125,0.8935546875
1,0.6,-0.978515625,0.97265625
1,0.8,-1.0,1.0
1,1.0,-1.0,1.0
1,0.5,-0.94140625,0.9296875
12002,0.0,-0.7109375,0.009765625
1740,0.2,-0.7734375,0.5181056932471264
84,0.4,-0.892578125,0.8229631696428571
1,0.6,-0.982421875,0.98046875
1,0.8,-1.0,1.0
1,1.0,-1.0,1.0
2,0.5,-0.966796875,0.9580078125
12002,0.0,-0.755859375,0.1484375
12,0.2,-0.8203125,0.5654296875
110,0.4,-0.921875,0.8809481534090909
1,0.6,-0.98046875,0.9765625
1,0.8,-1.0,1.0
1,1.0,-1.0,1.0
1,0.5,-0.990234375,0.98828125
420,0.0,-0.744140625,0.10049293154761904
120,0.2,-0.77734375,0.4373046875
4,0.4,-0.939453125,0.9267578125
1,0.6,-0.9921875,0.9921875
1,0.8,-1.0,1.0
1,1.0,-1.0,1.0
4,0.5,-0.923828125,0.88671875
12002,0.0,-0.716796875,0.091796875
156,0.2,-0.8359375,0.6914438100961539
2,0.4,-0.888671875,0.826171875
1,0.6,-0.974609375,0.97265625
1,0.8,-1.0,1.0
1,1.0,-1.0,1.0
1,0.5,-0.978515625,0.97265625
420,0.0,-0.732421875,0.07385602678571429
12,0.2,-0.828125,0.7229817708333334
15,0.4,-0.90625,0.8625
1,0.6,-0.986328125,0.978515625
1,0.8,-1.0,1.0
1,1.0,-1.0,1.0
1,0.5,-0.982421875,0.98046875
10920,0.0,-0.716796875,0.14868432348901098
5460,0.2,-0.791015625,0.532278073489011
1,0.4,-0.943359375,0.93359375
1,0.6,-0.955078125,0.947265625
1,0.8,-1.0,1.0
1,1.0,-1.0,1.0
4,0.5,-0.93359375,0.9013671875
1848,0.0,-0.728515625,0.18049918831168832
2730,0.2,-0.767578125,0.5020997882326007
16,0.4,-0.90625,0.849609375
1,0.6,-1.0,1.0
1,0.8,-1.0,1.0
1,1.0,-1.0,1.0
4,0.5,-0.97265625,0.9580078125
9240,0.0,-0.740234375,0.015124036120129868
40,0.2,-0.794921875,0.5869140625
1,0.4,-0.900390625,0.869140625
1,0.6,-0.9921875,0.9921875
1,0.8,-1.0,1.0
1,1.0,-1.0,1.0
2,0.5,-0.9609375,0.9443359375
12002,0.0,-0.712890625,0.005859375
6180,0.2,-0.783203125,0.5761548088592233
2,0.4,-0.935546875,0.9189453125
1,0.6,-0.96484375,0.9609375
1,0.8,-1.0,1.0
1,1.0,-1.0,1.0
1,0.5,-0.947265625,0.94140625
12002,0.0,-0.732421875,0.138671875
60,0.2,-0.78515625,0.58984375
70,0.4,-0.912109375,0.8610491071428571
1,0.6,-0.974609375,0.97265625
1,0.8,-1.0,1.0
1,1.0,-1.0,1.0
1,0.5,-0.962890625,0.958984375
420,0.0,-0.6953125,0.07589285714285714
420,0.2,-0.7734375,0.583984375
11,0.4,-0.90234375,0.8583096590909091
1,0.6,-0.974609375,0.962890625
1,0.8,-1.0,1.0
1,1.0,-1.0,1.0
1,0.5,-0.96484375,0.9609375
12002,0.0,-0.73828125,0.169921875
6,0.2,-0.810546875,0.7044270833333334
5,0.4,-0.943359375,0.921875
1,0.6,-1.0,1.0
1,0.8,-1.0,1.0
1,1.0,-1.0,1.0
2,0.5,-0.91796875,0.896484375
12002,0.0,-0.716796875,0.14453125
396,0.2,-0.806640625,0.6407137784090909
7,0.4,-0.970703125,0.9469866071428572
1,0.6,-1.0,1.0
1,0.8,-1.0,1.0
1,1.0,-1.0,1.0
3,0.5,-0.947265625,0.9153645833333334
12002,0.0,-0.7265625,0.048828125
84,0.2,-0.7890625,0.5717075892857143
15,0.4,-0.896484375,0.8703125
1,0.6,-0.970703125,0.962890625
1,0.8,-1.0,1.0
1,1.0,-1.0,1.0
2,0.5,-0.958984375,0.9462890625
12002,0.0,-0.7265625,0.205078125
66,0.2,-0.763671875,0.5
12,0.4,-0.89453125,0.7874348958333334
1,0.6,-0.990234375,0.98828125
1,0.8,-1.0,1.0
1,1.0,-1.0,1.0
1,0.5,-0.97265625,0.96875
420,0.0,-0.685546875,0.07603236607142858
12002,0.2,-0.857421875,0.701171875
1,0.4,-0.931640625,0.923828125
1,0.6,-0.984375,0.984375
1,0.8,-1.0,1.0
1,1.0,-1.0,1.0
1,0.5,-0.9609375,0.953125
12002,0.0,-0.75,0.146484375
84,0.2,-0.845703125,0.6989397321428571
1,0.4,-0.91015625,0.896484375
1,0.6,-0.984375,0.984375
1,0.8,-1.0,1.0
1,1.0,-1.0,1.0
2,0.5,-0.97265625,0.9599609375
5460,0.0,-0.724609375,0.2543204842032967
11310,0.2,-0.791015625,0.5827479139036251
2,0.4,-0.9609375,0.9541015625
1,0.6,-0.9921875,0.9921875
1,0.8,-1.0,1.0
1,1.0,-1.0,1.0
1,0.5,-0.982421875,0.98046875
468,0.0,-0.724609375,0.1842698317307692
12,0.2,-0.837890625,0.7353515625
2,0.4,-0.916015625,0.8935546875
1,0.6,-0.9609375,0.953125
1,0.8,-1.0,1.0
1,1.0,-1.0,1.0
1,0.5,-0.9765625,0.96484375
12002,0.0,-0.71875,0.080078125
12002,0.2,-0.802734375,0.4921875
105,0.4,-0.912109375,0.83984375
1,0.6,-1.0,1.0
1,0.8,-1.0,1.0
1,1.0,-1.0,1.0
1,0.5,-0.96875,0.962890625
12002,0.0,-0.7421875,0.015625
2,0.2,-0.86328125,0.8076171875
35,0.4,-0.916015625,0.8688616071428571
1,0.6,-0.978515625,0.97265625
1,0.8,-1.0,1.0
1,1.0,-1.0,1.0
4,0.5,-0.962890625,0.9443359375
12002,0.0,-0.681640625,0.01953125
210,0.2,-0.814453125,0.6274274553571428
2,0.4,-0.91015625,0.8623046875
1,0.6,-0.9921875,0.9921875
1,0.8,-1.0,1.0
1,1.0,-1.0,1.0
1,0.5,-0.974609375,0.97265625
12002,0.0,-0.703125,0.236328125
12002,0.2,-0.783203125,0.501953125
1,0.4,-0.9375,0.927734375
1,0.6,-0.990234375,0.98828125
1,0.8,-1.0,1.0
1,1.0,-1.0,1.0
6,0.5,-0.939453125,0.890625
12002,0.0,-0.767578125,0.25390625
12,0.2,-0.787109375,0.6015625
2,0.4,-0.96875,0.9619140625
1,0.6,-0.9921875,0.9921875
1,0.8,-1.0,1.0
1,1.0,-1.0,1.0
2,0.5,-0.94140625,0.9287109375
1050,0.0,-0.748046875,0.14498697916666667
12,0.2,-0.83984375,0.71875
105,0.4,-0.892578125,0.8596168154761905
1,0.6,-0.9765625,0.9765625
1,0.8,-1.0,1.0
1,1.0,-1.0,1.0
4,0.5,-0.9453125,0.9169921875
84,0.0,-0.728515625,0.11235119047619048
264,0.2,-0.82421875,0.6531871448863636
1,0.4,-0.94921875,0.9375
1,0.6,-1.0,1.0
1,0.8,-1.0,1.0
1,1.0,-1.0,1.0
7,0.5,-0.9375,0.9132254464285714
4872,0.0,-0.73046875,0.09119714696223316
2730,0.2,-0.826171875,0.722903073489011
2,0.4,-0.9375,0.9169921875
1,0.6,-0.982421875,0.98046875
1,0.8,-1.0,1.0
1,1.0,-1.0,1.0
1,0.5,-0.97265625,0.96875
660,0.0,-0.75390625,0.011875591856060606
60,0.2,-0.794921875,0.6403971354166667
1,0.4,-0.939453125,0.93359375
1,0.6,-0.9921875,0.9921875
1,0.8,-1.0,1.0
1,1.0,-1.0,1.0
1,0.5,-0.974609375,0.97265625
5460,0.0,-0.765625,0.19467576694139194
5460,0.2,-0.8359375,0.6595102163461538
3,0.4,-0.94921875,0.9427083333333334
1,0.6,-0.982421875,0.98046875
1,0.8,-1.0,1.0
1,1.0,-1.0,1.0
1,0.5,-0.990234375,0.98828125
