length,init_magnet,Energy,Consensus
12,0.0,-0.79296875,0.0126953125
60,0.2,-0.8125,0.5400390625
1,0.4,-0.95703125,0.953125
1,0.6,-0.9921875,0.9921875
1,0.8,-1.0,1.0
1,1.0,-1.0,1.0
4,0.5,-0.96875,0.9609375
12,0.0,-0.771484375,0.054036458333333336
12,0.2,-0.841796875,0.671875
1,0.4,-0.9609375,0.9609375
1,0.6,-1.0,1.0
1,0.8,-1.0,1.0
1,1.0,-1.0,1.0
6,0.5,-0.9765625,0.9658203125
12,0.0,-0.7421875,0.1669921875
12,0.2,-0.869140625,0.7578125
6,0.4,-0.94140625,0.8951822916666666
6,0.6,-0.984375,0.9736328125
1,0.8,-1.0,1.0
1,1.0,-1.0,1.0
3,0.5,-0.96484375,0.94921875
12,0.0,-0.759765625,0.09830729166666667
12,0.2,-0.84375,0.6663411458333334
1,0.4,-0.955078125,0.94921875
1,0.6,-0.9921875,0.9921875
1,0.8,-1.0,1.0
1,1.0,-1.0,1.0
1,0.5,-0.9921875,0.9921875
60,0.0,-0.740234375,0.11848958333333333
12,0.2,-0.853515625,0.6796875
12,0.4,-0.935546875,0.8955078125
1,0.6,-0.98046875,0.9765625
1,0.8,-1.0,1.0
1,1.0,-1.0,1.0
1,0.5,-0.984375,0.984375
60,0.0,-0.779296875,0.138671875
12,0.2,-0.861328125,0.6910807291666666
2,0.4,-0.947265625,0.927734375
1,0.6,-1.0,1.0
1,0.8,-1.0,1.0
1,1.0,-1.0,1.0
1,0.5,-0.9921875,0.9921875
12,0.0,-0.740234375,0.16764322916666666
12,0.2,-0.84375,0.6181640625
12,0.4,-0.912109375,0.8678385416666666
1,0.6,-1.0,1.0
1,0.8,-1.0,1.0
1,1.0,-1.0,1.0
1,0.5,-1.0,1.0
12,0.0,-0.732421875,0.04069010416666666
12,0.2,-0.796875,0.5533854166666666
1,0.4,-0.94140625,0.9375
1,0.6,-1.0,1.0
1,0.8,-1.0,1.0
1,1.0,-1.0,1.0
