length,init_magnet,Energy,Consensus
180,0.0,-0.66015625,0.08984375
660,0.2,-0.75,0.5166015625
1,0.4,-0.8828125,0.857421875
2,0.6,-0.97265625,0.9658203125
1,0.8,-1.0,1.0
1,1.0,-1.0,1.0
3,0.5,-0.94140625,0.919921875
120,0.0,-0.681640625,0.04459635416666666
168,0.2,-0.751953125,0.4912109375
1,0.4,-0.904296875,0.875
1,0.6,-0.96875,0.9609375
1,0.8,-0.98828125,0.984375
1,1.0,-1.0,1.0
1,0.5,-0.955078125,0.94140625
60,0.0,-0.705078125,0.1708984375
12,0.2,-0.765625,0.5511067708333334
1,0.4,-0.884765625,0.84765625
1,0.6,-1.0,1.0
1,0.8,-0.9921875,0.9921875
1,1.0,-1.0,1.0
1,0.5,-0.9765625,0.9765625
210,0.0,-0.71875,0.1341796875
42,0.2,-0.80078125,0.6064453125
6,0.4,-0.869140625,0.794921875
1,0.6,-0.982421875,0.98046875
1,0.8,-0.990234375,0.98828125
1,1.0,-1.0,1.0
1,0.5,-0.94921875,0.92578125
30,0.0,-0.669921875,0.146484375
24,0.2,-0.810546875,0.5546061197916666
3,0.4,-0.85546875,0.80078125
1,0.6,-0.970703125,0.96484375
1,0.8,-1.0,1.0
1,1.0,-1.0,1.0
1,0.5,-0.953125,0.943359375
60,0.0,-0.650390625,0.02766927083333333
12,0.2,-0.7578125,0.548828125
15,0.4,-0.8984375,0.822265625
1,0.6,-0.955078125,0.94921875
1,0.8,-1.0,1.0
1,1.0,-1.0,1.0
1,0.5,-0.943359375,0.92578125
60,0.0,-0.662109375,0.017578125
6,0.2,-0.783203125,0.6337890625
12,0.4,-0.876953125,0.7880859375
1,0.6,-0.9609375,0.947265625
1,0.8,-1.0,1.0
1,1.0,-1.0,1.0
1,0.5,-0.939453125,0.923828125
420,0.0,-0.66015625,0.05422247023809524
210,0.2,-0.7421875,0.4896763392857143
3,0.4,-0.904296875,0.873046875
1,0.6,-0.951171875,0.943359375
1,0.8,-1.0,1.0
1,1.0,-1.0,1.0
1,0.5,-0.943359375,0.931640625
60,0.0,-0.67578125,0.0400390625
120,0.2,-0.736328125,0.42529296875
12,0.4,-0.865234375,0.7958984375
1,0.6,-0.9921875,0.9921875
1,0.8,-1.0,1.0
1,1.0,-1.0,1.0
1,0.5,-0.955078125,0.94921875
12,0.0,-0.6796875,0.0146484375
60,0.2,-0.783203125,0.5940755208333334
2,0.4,-0.90234375,0.8623046875
1,0.6,-0.97265625,0.96875
1,0.8,-1.0,1.0
1,1.0,-1.0,1.0
15,0.5,-0.939453125,0.912109375
420,0.0,-0.6953125,0.1259765625
3,0.2,-0.734375,0.5182291666666666
60,0.4,-0.87109375,0.7458658854166667
1,0.6,-0.9765625,0.9765625
1,0.8,-1.0,1.0
1,1.0,-1.0,1.0
12,0.5,-0.92578125,0.884765625
260,0.0,-0.69140625,0.06009615384615385
20,0.2,-0.779296875,0.5205078125
6,0.4,-0.916015625,0.8818359375
1,0.6,-0.974609375,0.97265625
1,0.8,-1.0,1.0
1,1.0,-1.0,1.0
1,0.5,-0.935546875,0.919921875
24,0.0,-0.69921875,0.13167317708333334
12,0.2,-0.720703125,0.4921875
1,0.4,-0.90234375,0.859375
1,0.6,-0.97265625,0.96875
1,0.8,-1.0,1.0
1,1.0,-1.0,1.0
1,0.5,-0.970703125,0.966796875
60,0.0,-0.658203125,0.006901041666666666
60,0.2,-0.814453125,0.6669921875
2,0.4,-0.849609375,0.775390625
1,0.6,-0.982421875,0.98046875
1,0.8,-0.9921875,0.9921875
1,1.0,-1.0,1.0
1,0.5,-0.9609375,0.953125
420,0.0,-0.65625,0.10616629464285714
60,0.2,-0.728515625,0.5126953125
1,0.4,-0.91015625,0.88671875
1,0.6,-0.97265625,0.96875
1,0.8,-0.990234375,0.98828125
1,1.0,-1.0,1.0
1,0.5,-0.953125,0.9453125
240,0.0,-0.720703125,0.010221354166666669
90,0.2,-0.802734375,0.6123046875
1,0.4,-0.90234375,0.875
1,0.6,-0.970703125,0.96484375
1,0.8,-1.0,1.0
1,1.0,-1.0,1.0
1,0.5,-0.9375,0.9296875
168,0.0,-0.705078125,0.12890625
60,0.2,-0.7265625,0.47265625
21,0.4,-0.869140625,0.8337053571428571
1,0.6,-0.984375,0.984375
1,0.8,-1.0,1.0
1,1.0,-1.0,1.0
1,0.5,-0.935546875,0.927734375
264,0.0,-0.6875,0.078125
60,0.2,-0.8046875,0.6982421875
2,0.4,-0.88671875,0.86328125
1,0.6,-0.96875,0.96875
1,0.8,-1.0,1.0
1,1.0,-1.0,1.0
2,0.5,-0.916015625,0.8876953125
420,0.0,-0.634765625,0.09229910714285716
6,0.2,-0.75,0.54296875
3,0.4,-0.861328125,0.8125
1,0.6,-0.984375,0.984375
1,0.8,-1.0,1.0
1,1.0,-1.0,1.0
1,0.5,-0.919921875,0.896484375
12,0.0,-0.673828125,0.021484375
168,0.2,-0.76953125,0.365234375
3,0.4,-0.888671875,0.8658854166666666
1,0.6,-0.9765625,0.9765625
1,0.8,-1.0,1.0
1,1.0,-1.0,1.0
1,0.5,-0.94140625,0.939453125
9660,0.0,-0.65234375,0.10570530861801243
48,0.2,-0.751953125,0.521484375
1,0.4,-0.92578125,0.9140625
1,0.6,-0.984375,0.984375
1,0.8,-1.0,1.0
1,1.0,-1.0,1.0
1,0.5,-0.955078125,0.94921875
84,0.0,-0.646484375,0.07449776785714286
12,0.2,-0.7421875,0.5799153645833334
3,0.4,-0.875,0.833984375
1,0.6,-0.97265625,0.96875
1,0.8,-0.9921875,0.9921875
1,1.0,-1.0,1.0
1,0.5,-0.95703125,0.9453125
840,0.0,-0.68359375,0.03989955357142857
60,0.2,-0.765625,0.478515625
2,0.4,-0.857421875,0.8037109375
1,0.6,-0.953125,0.939453125
1,0.8,-1.0,1.0
1,1.0,-1.0,1.0
1,0.5,-0.947265625,0.939453125
84,0.0,-0.69140625,0.08919270833333333
3,0.2,-0.7890625,0.67578125
1,0.4,-0.91015625,0.88671875
1,0.6,-0.9921875,0.9921875
1,0.8,-1.0,1.0
1,1.0,-1.0,1.0
1,0.5,-0.931640625,0.916015625
5460,0.0,-0.69921875,0.04216746794871795
12,0.2,-0.744140625,0.5244140625
4,0.4,-0.888671875,0.8427734375
1,0.6,-0.9921875,0.9921875
1,0.8,-1.0,1.0
1,1.0,-1.0,1.0
1,0.5,-0.953125,0.9453125
300,0.0,-0.677734375,0.04306640625
24,0.2,-0.77734375,0.5400390625
4,0.4,-0.880859375,0.8505859375
1,0.6,-0.984375,0.984375
1,0.8,-1.0,1.0
1,1.0,-1.0,1.0
1,0.5,-0.9453125,0.9375
12002,0.0,-0.646484375,0.107421875
6,0.2,-0.75,0.6123046875
1,0.4,-0.888671875,0.83984375
1,0.6,-0.990234375,0.98828125
1,0.8,-0.98828125,0.986328125
1,1.0,-1.0,1.0
1,0.5,-0.923828125,0.900390625
60,0.0,-0.703125,0.0537109375
12,0.2,-0.7734375,0.6005859375
4,0.4,-0.919921875,0.8720703125
1,0.6,-0.984375,0.98046875
1,0.8,-1.0,1.0
1,1.0,-1.0,1.0
4,0.5,-0.931640625,0.904296875
24,0.0,-0.66796875,0.10595703125
6,0.2,-0.779296875,0.5836588541666666
2,0.4,-0.900390625,0.8701171875
1,0.6,-0.9921875,0.9921875
1,0.8,-1.0,1.0
1,1.0,-1.0,1.0
7,0.5,-0.8984375,0.8708147321428571
1170,0.0,-0.705078125,0.05775240384615385
6,0.2,-0.8359375,0.7073567708333334
2,0.4,-0.927734375,0.8974609375
1,0.6,-0.990234375,0.98828125
1,0.8,-1.0,1.0
1,1.0,-1.0,1.0
1,0.5,-0.94921875,0.939453125
12,0.0,-0.69140625,0.041015625
12,0.2,-0.765625,0.53759765625
2,0.4,-0.908203125,0.8681640625
1,0.6,-0.9921875,0.9921875
1,0.8,-0.990234375,0.98828125
1,1.0,-1.0,1.0
4,0.5,-0.935546875,0.9169921875
60,0.0,-0.681640625,0.0927734375
420,0.2,-0.71875,0.4931640625
1,0.4,-0.908203125,0.884765625
1,0.6,-0.982421875,0.98046875
1,0.8,-0.9921875,0.9921875
1,1.0,-1.0,1.0
4,0.5,-0.919921875,0.8916015625
420,0.0,-0.642578125,0.119140625
132,0.2,-0.73828125,0.5113636363636364
20,0.4,-0.884765625,0.810546875
1,0.6,-0.984375,0.984375
1,0.8,-1.0,1.0
1,1.0,-1.0,1.0
1,0.5,-0.96875,0.96875
300,0.0,-0.697265625,0.0564453125
210,0.2,-0.759765625,0.5341796875
1,0.4,-0.92578125,0.90625
1,0.6,-0.96875,0.9609375
1,0.8,-1.0,1.0
1,1.0,-1.0,1.0
1,0.5,-0.990234375,0.98828125
60,0.0,-0.671875,0.041276041666666666
30,0.2,-0.75390625,0.50390625
1,0.4,-0.89453125,0.84765625
1,0.6,-0.984375,0.984375
1,0.8,-1.0,1.0
1,1.0,-1.0,1.0
1,0.5,-0.9453125,0.921875
60,0.0,-0.6953125,0.09765625
30,0.2,-0.771484375,0.5244140625
2,0.4,-0.9140625,0.8720703125
1,0.6,-0.982421875,0.98046875
1,0.8,-1.0,1.0
1,1.0,-1.0,1.0
2,0.5,-0.9140625,0.8876953125
12,0.0,-0.677734375,0.205078125
12,0.2,-0.751953125,0.57958984375
20,0.4,-0.845703125,0.8017578125
1,0.6,-0.962890625,0.955078125
1,0.8,-1.0,1.0
1,1.0,-1.0,1.0
1,0.5,-0.97265625,0.96875
24,0.0,-0.67578125,0.0224609375
60,0.2,-0.775390625,0.6171875
12,0.4,-0.9375,0.8857421875
1,0.6,-0.984375,0.984375
1,0.8,-1.0,1.0
1,1.0,-1.0,1.0
2,0.5,-0.935546875,0.9296875
