length,init_magnet,Energy,Consensus
1,0.0,-0.865234375,0.705078125
1,0.2,-0.896484375,0.841796875
1,0.4,-0.96484375,0.962890625
1,0.6,-1.0,1.0
1,0.8,-0.9921875,0.9921875
1,1.0,-1.0,1.0
1,0.5,-0.97265625,0.96875
12002,0.0,-0.826171875,0.17578125
1,0.2,-0.91015625,0.87890625
1,0.4,-0.970703125,0.95703125
1,0.6,-0.982421875,0.98046875
1,0.8,-1.0,1.0
1,1.0,-1.0,1.0
1,0.5,-0.982421875,0.98046875
24,0.0,-0.85546875,0.099609375
1,0.2,-0.93359375,0.869140625
1,0.4,-0.9609375,0.943359375
1,0.6,-0.974609375,0.97265625
1,0.8,-0.9921875,0.9921875
1,1.0,-1.0,1.0
1,0.5,-0.974609375,0.97265625
1,0.0,-0.908203125,0.845703125
1,0.2,-0.912109375,0.833984375
1,0.4,-0.986328125,0.98046875
1,0.6,-0.9921875,0.9921875
1,0.8,-1.0,1.0
1,1.0,-1.0,1.0
1,0.5,-0.970703125,0.962890625
1,0.0,-0.880859375,0.677734375
1,0.2,-0.8984375,0.853515625
1,0.4,-0.96875,0.962890625
1,0.6,-0.970703125,0.966796875
1,0.8,-1.0,1.0
1,1.0,-1.0,1.0
1,0.5,-0.9921875,0.9921875
1,0.0,-0.88671875,0.66796875
1,0.2,-0.892578125,0.828125
1,0.4,-0.97265625,0.966796875
1,0.6,-1.0,1.0
1,0.8,-1.0,1.0
1,1.0,-1.0,1.0
1,0.5,-0.9921875,0.9921875
1,0.0,-0.900390625,0.703125
1,0.2,-0.9453125,0.91015625
1,0.4,-0.935546875,0.91015625
1,0.6,-0.984375,0.984375
1,0.8,-0.990234375,0.98828125
1,1.0,-1.0,1.0
1,0.5,-0.970703125,0.96484375
12002,0.0,-0.8359375,0.064453125
1,0.2,-0.896484375,0.845703125
1,0.4,-0.955078125,0.921875
1,0.6,-1.0,1.0
1,0.8,-1.0,1.0
1,1.0,-1.0,1.0
