length,$r_{stable}$,fct,Energy,Consensus
1,0.0,0,-1.0,1.0
1,0.014084507042253518,2,-1.0,1.0
1,0.028571428571428567,4,-1.0,1.0
1,0.043478260869565216,6,-1.0,1.0
1,0.05882352941176471,8,-1.0,1.0
1,0.07462686567164177,10,-1.0,1.0
1,0.09090909090909093,12,-1.0,1.0
1,0.1076923076923077,14,-1.0,1.0
1,0.125,16,-1.0,1.0
1,0.14285714285714285,18,-1.0,1.0
1,0.16129032258064516,20,-1.0,1.0
1,0.18032786885245905,22,-1.0,1.0
90,0.2,24,-0.7916666666666669,0.3788580246913579
1,0.22033898305084745,26,-1.0,1.0
1,0.2413793103448276,28,-1.0,1.0
1,0.2631578947368421,30,-0.8888888888888888,0.7916666666666666
1,0.2857142857142857,32,-0.8333333333333334,0.16666666666666666
1,0.3090909090909091,34,-1.0,1.0
84,0.3333333333333333,36,-0.7777777777777777,0.19940476190476186
1,0.3584905660377358,38,-1.0,1.0
24,0.38461538461538464,40,-0.8055555555555557,0.15972222222222224
6,0.4117647058823529,42,-0.75,0.09027777777777778
3,0.44,44,-0.7916666666666666,0.19444444444444445
15,0.4693877551020408,46,-0.8194444444444445,0.5555555555555556
2,0.5,48,-0.8333333333333334,0.7430555555555556
12,0.5319148936170213,50,-0.7916666666666666,0.04398148148148148
60,0.5652173913043478,52,-0.7361111111111114,0.20138888888888887
770,0.6,54,-0.75,0.2802128427128427
6,0.6363636363636364,56,-0.7777777777777778,0.3819444444444444
68,0.6744186046511628,58,-0.7361111111111114,0.10784313725490197
3,0.7142857142857143,60,-0.7638888888888888,0.08796296296296298
3,0.7560975609756098,62,-0.8472222222222222,0.6805555555555555
66,0.8,64,-0.7361111111111113,0.16182659932659935
6,0.8461538461538461,66,-0.7777777777777778,0.2569444444444444
4,0.8947368421052632,68,-0.7777777777777778,0.10416666666666667
3,0.945945945945946,70,-0.875,0.7916666666666666
12,1.0,72,-0.6944444444444445,0.15972222222222224
6,1.0571428571428572,74,-0.6944444444444445,0.3240740740740741
84,1.1176470588235294,76,-0.7083333333333334,0.12301587301587301
4,1.181818181818182,78,-0.7222222222222222,0.0763888888888889
6,1.25,80,-0.7083333333333334,0.034722222222222224
20,1.3225806451612905,82,-0.6944444444444444,0.056944444444444436
30,1.4,84,-0.7083333333333331,0.2430555555555555
6,1.4827586206896552,86,-0.7222222222222222,0.3819444444444444
2,1.5714285714285714,88,-0.75,0.08333333333333333
66,1.6666666666666667,90,-0.6388888888888887,0.1047979797979798
12,1.7692307692307692,92,-0.6944444444444445,0.23611111111111116
6,1.88,94,-0.6111111111111112,0.02083333333333333
2,2.0,96,-0.6944444444444444,0.034722222222222224
1,2.130434782608696,98,-0.6805555555555556,0.3055555555555556
2,2.272727272727273,100,-0.6388888888888888,0.06944444444444445
2,2.4285714285714284,102,-0.7222222222222222,0.4930555555555556
1,2.6,104,-0.6805555555555556,0.5555555555555556
12,2.7894736842105257,106,-0.6527777777777778,0.22222222222222224
12,3.0,108,-0.5833333333333333,0.2291666666666667
14,3.2352941176470584,110,-0.6388888888888891,0.10615079365079363
4,3.5,112,-0.5972222222222222,0.3263888888888889
30,3.8,114,-0.5555555555555556,0.19444444444444445
6,4.142857142857143,116,-0.5833333333333334,0.1111111111111111
6,4.538461538461538,118,-0.6388888888888888,0.11805555555555555
2,5.0,120,-0.6666666666666666,0.35416666666666663
2,5.545454545454546,122,-0.6388888888888888,0.3194444444444444
2,6.2,124,-0.6111111111111112,0.2916666666666667
2,7.0,126,-0.5277777777777778,0.013888888888888888
1,8.0,128,-0.5833333333333334,0.3472222222222222
6,9.285714285714286,130,-0.5555555555555555,0.14583333333333334
1,11.0,132,-0.5694444444444444,0.09722222222222222
1,13.4,134,-0.5416666666666666,0.013888888888888888
2,17.0,136,-0.5138888888888888,0.1875
2,23.0,138,-0.6388888888888888,0.1875
2,35.0,140,-0.5416666666666666,0.13194444444444445
1,71.0,142,-0.5277777777777778,0.1111111111111111
1,inf,144,-0.5277777777777778,0.06944444444444445
1,0.0,0,-1.0,1.0
1,0.014084507042253518,2,-1.0,1.0
1,0.028571428571428567,4,-1.0,1.0
1,0.043478260869565216,6,-1.0,1.0
1,0.05882352941176471,8,-1.0,1.0
1,0.07462686567164177,10,-1.0,1.0
1,0.09090909090909093,12,-1.0,1.0
1,0.1076923076923077,14,-1.0,1.0
520,0.125,16,-0.75,0.038354700854700864
1,0.14285714285714285,18,-0.875,0.75
1,0.16129032258064516,20,-1.0,1.0
1,0.18032786885245905,22,-1.0,1.0
6,0.2,24,-0.8194444444444445,0.2708333333333333
1,0.22033898305084745,26,-1.0,1.0
7,0.2413793103448276,28,-0.8194444444444445,0.06944444444444442
1,0.2631578947368421,30,-1.0,1.0
1,0.2857142857142857,32,-0.8333333333333334,0.16666666666666666
1,0.3090909090909091,34,-1.0,1.0
4,0.3333333333333333,36,-0.8333333333333334,0.5347222222222221
84,0.3584905660377358,38,-0.7361111111111113,0.05853174603174605
1,0.38461538461538464,40,-0.9305555555555556,0.9166666666666666
14,0.4117647058823529,42,-0.7777777777777779,0.183531746031746
1,0.44,44,-0.8333333333333334,0.0
3,0.4693877551020408,46,-0.8611111111111112,0.6990740740740741
18,0.5,48,-0.7777777777777779,0.3796296296296297
84,0.5319148936170213,50,-0.7777777777777777,0.3574735449735449
3,0.5652173913043478,52,-0.7638888888888888,0.28703703703703703
3,0.6,54,-0.8194444444444443,0.4722222222222223
6,0.6363636363636364,56,-0.8055555555555555,0.4791666666666667
12,0.6744186046511628,58,-0.7916666666666666,0.3171296296296296
210,0.7142857142857143,60,-0.7361111111111109,0.2430555555555556
12,0.7560975609756098,62,-0.7083333333333334,0.2777777777777777
3,0.8,64,-0.7916666666666666,0.18055555555555555
60,0.8461538461538461,66,-0.6805555555555556,0.3402777777777777
24,0.8947368421052632,68,-0.6666666666666666,0.203125
6,0.945945945945946,70,-0.7916666666666666,0.04166666666666666
12,1.0,72,-0.7361111111111109,0.22222222222222224
6,1.0571428571428572,74,-0.8055555555555555,0.5
2,1.1176470588235294,76,-0.7916666666666666,0.04861111111111111
6,1.181818181818182,78,-0.75,0.1875
60,1.25,80,-0.7361111111111114,0.14236111111111113
6,1.3225806451612905,82,-0.7222222222222222,0.20833333333333334
4,1.4,84,-0.7083333333333334,0.0972222222222222
84,1.4827586206896552,86,-0.6388888888888887,0.05357142857142858
18,1.5714285714285714,88,-0.7083333333333335,0.018518518518518517
3,1.6666666666666667,90,-0.7638888888888888,0.4861111111111111
2,1.7692307692307692,92,-0.7777777777777778,0.4930555555555556
4,1.88,94,-0.6666666666666666,0.22916666666666666
6,2.0,96,-0.5972222222222222,0.11805555555555555
2,2.130434782608696,98,-0.6666666666666666,0.27083333333333337
4,2.272727272727273,100,-0.6944444444444444,0.09722222222222222
2,2.4285714285714284,102,-0.6944444444444444,0.1388888888888889
6,2.6,104,-0.7083333333333334,0.17361111111111113
2,2.7894736842105257,106,-0.7361111111111112,0.10416666666666666
14,3.0,108,-0.7083333333333334,0.0882936507936508
4,3.2352941176470584,110,-0.6666666666666666,0.02083333333333333
2,3.5,112,-0.6666666666666666,0.0972222222222222
2,3.8,114,-0.5694444444444444,0.13194444444444445
1,4.142857142857143,116,-0.6527777777777778,0.0
6,4.538461538461538,118,-0.625,0.1597222222222222
3,5.0,120,-0.6805555555555557,0.2361111111111111
3,5.545454545454546,122,-0.6388888888888888,0.18055555555555555
2,6.2,124,-0.6805555555555556,0.09027777777777778
1,7.0,126,-0.6111111111111112,0.06944444444444445
2,8.0,128,-0.6388888888888888,0.1736111111111111
2,9.285714285714286,130,-0.625,0.04861111111111111
1,11.0,132,-0.6388888888888888,0.16666666666666666
1,13.4,134,-0.6111111111111112,0.013888888888888888
2,17.0,136,-0.6805555555555556,0.1875
2,23.0,138,-0.6111111111111112,0.0972222222222222
1,35.0,140,-0.6111111111111112,0.09722222222222222
1,71.0,142,-0.6111111111111112,0.1111111111111111
1,inf,144,-0.6111111111111112,0.1111111111111111
1,0.0,0,-1.0,1.0
1,0.014084507042253518,2,-1.0,1.0
8,0.028571428571428567,4,-0.8194444444444444,0.0625
1,0.043478260869565216,6,-1.0,1.0
1,0.05882352941176471,8,-1.0,1.0
1,0.07462686567164177,10,-1.0,1.0
5,0.09090909090909093,12,-0.8194444444444444,0.13333333333333336
1,0.1076923076923077,14,-1.0,1.0
1,0.125,16,-1.0,1.0
1,0.14285714285714285,18,-1.0,1.0
1,0.16129032258064516,20,-1.0,1.0
1,0.18032786885245905,22,-1.0,1.0
1,0.2,24,-0.9027777777777778,0.8333333333333334
5,0.22033898305084745,26,-0.8333333333333334,0.5416666666666667
1,0.2413793103448276,28,-1.0,1.0
6,0.2631578947368421,30,-0.8194444444444445,0.08333333333333333
1,0.2857142857142857,32,-0.8472222222222222,0.625
7,0.3090909090909091,34,-0.8194444444444445,0.0972222222222222
4,0.3333333333333333,36,-0.8194444444444444,0.4444444444444444
1,0.3584905660377358,38,-0.8333333333333334,0.0
52,0.38461538461538464,40,-0.8194444444444444,0.5870726495726495
1,0.4117647058823529,42,-0.9027777777777778,0.8611111111111112
28,0.44,44,-0.7777777777777779,0.26884920634920634
33,0.4693877551020408,46,-0.8055555555555556,0.3080808080808081
6,0.5,48,-0.7777777777777778,0.0625
12,0.5319148936170213,50,-0.7916666666666666,0.3402777777777777
84,0.5652173913043478,52,-0.7777777777777777,0.2881944444444444
6,0.6,54,-0.8055555555555555,0.548611111111111
3,0.6363636363636364,56,-0.8055555555555557,0.4583333333333333
90,0.6744186046511628,58,-0.7638888888888888,0.07175925925925923
216,0.7142857142857143,60,-0.7638888888888891,0.3501157407407408
4,0.7560975609756098,62,-0.7361111111111112,0.034722222222222224
3,0.8,64,-0.8194444444444443,0.125
30,0.8461538461538461,66,-0.7916666666666669,0.4791666666666666
30,0.8947368421052632,68,-0.7638888888888891,0.07916666666666665
12,0.945945945945946,70,-0.7361111111111109,0.3819444444444444
2,1.0,72,-0.7222222222222222,0.3888888888888889
12,1.0571428571428572,74,-0.7361111111111109,0.08333333333333333
4,1.1176470588235294,76,-0.6805555555555556,0.23611111111111116
4,1.181818181818182,78,-0.7777777777777778,0.04861111111111112
2,1.25,80,-0.7222222222222222,0.22916666666666666
12,1.3225806451612905,82,-0.7638888888888891,0.3055555555555556
6,1.4,84,-0.7222222222222222,0.2986111111111112
4,1.4827586206896552,86,-0.7638888888888888,0.0763888888888889
2,1.5714285714285714,88,-0.75,0.06944444444444445
14,1.6666666666666667,90,-0.7638888888888891,0.04662698412698413
2,1.7692307692307692,92,-0.7361111111111112,0.3333333333333333
6,1.88,94,-0.7638888888888888,0.09027777777777778
2,2.0,96,-0.7222222222222222,0.013888888888888888
28,2.130434782608696,98,-0.6666666666666669,0.047619047619047616
6,2.272727272727273,100,-0.7222222222222222,0.13194444444444442
2,2.4285714285714284,102,-0.7222222222222222,0.04861111111111111
4,2.6,104,-0.7222222222222222,0.1111111111111111
1,2.7894736842105257,106,-0.7361111111111112,0.06944444444444445
2,3.0,108,-0.7222222222222222,0.3888888888888889
6,3.2352941176470584,110,-0.7083333333333334,0.2708333333333333
3,3.5,112,-0.7083333333333334,0.22222222222222224
6,3.8,114,-0.7083333333333334,0.037037037037037035
2,4.142857142857143,116,-0.6805555555555556,0.0763888888888889
2,4.538461538461538,118,-0.7083333333333334,0.05555555555555555
2,5.0,120,-0.6388888888888888,0.22916666666666666
1,5.545454545454546,122,-0.7083333333333334,0.08333333333333333
1,6.2,124,-0.7083333333333334,0.08333333333333333
1,7.0,126,-0.75,0.16666666666666666
2,8.0,128,-0.7083333333333334,0.034722222222222224
6,9.285714285714286,130,-0.6666666666666666,0.05555555555555556
2,11.0,132,-0.7222222222222222,0.0763888888888889
2,13.4,134,-0.7222222222222222,0.0763888888888889
2,17.0,136,-0.6944444444444444,0.02083333333333333
2,23.0,138,-0.7361111111111112,0.1597222222222222
1,35.0,140,-0.6944444444444444,0.013888888888888888
1,71.0,142,-0.7222222222222222,0.08333333333333333
1,inf,144,-0.7222222222222222,0.08333333333333333
1,0.0,0,-1.0,1.0
1,0.014084507042253518,2,-1.0,1.0
1,0.028571428571428567,4,-1.0,1.0
1,0.043478260869565216,6,-1.0,1.0
1,0.05882352941176471,8,-1.0,1.0
1,0.07462686567164177,10,-1.0,1.0
1,0.09090909090909093,12,-1.0,1.0
1,0.1076923076923077,14,-0.8333333333333334,0.5
1,0.125,16,-1.0,1.0
