length,$r_{stable}$,fct,Energy,Consensus
1,0.0,0,-1.0,1.0
1,0.015873015873015872,4,-1.0,1.0
1,0.03225806451612903,8,-1.0,1.0
1,0.049180327868852465,12,-1.0,1.0
1,0.06666666666666668,16,-1.0,1.0
1,0.0847457627118644,20,-0.921875,0.875
639,0.10344827586206896,24,-0.8515625,0.19377200704225356
1,0.12280701754385966,28,-1.0,1.0
9,0.14285714285714285,32,-0.8671875,0.453125
1,0.16363636363636366,36,-0.875,0.375
10,0.1851851851851852,40,-0.8828125,0.671875
40,0.2075471698113208,44,-0.8828125,0.7060546875
20,0.2307692307692308,48,-0.9140625,0.82421875
21,0.2549019607843137,52,-0.8515625,0.0703125
164,0.28,56,-0.8046875,0.3353658536585366
8,0.30612244897959184,60,-0.828125,0.046875
6,0.3333333333333333,64,-0.828125,0.3255208333333333
30,0.3617021276595745,68,-0.8203125,0.109375
1428,0.39130434782608703,72,-0.8359375,0.4434742647058824
660,0.4222222222222222,76,-0.7734375,0.3618607954545455
420,0.4545454545454545,80,-0.796875,0.5050223214285714
1110,0.4883720930232558,84,-0.765625,0.06943271396396396
9048,0.5238095238095238,88,-0.734375,0.07774162798408488
6,0.5609756097560976,92,-0.890625,0.71484375
1092,0.6,96,-0.765625,0.11650068681318683
12,0.6410256410256411,100,-0.8203125,0.3203125
12002,0.6842105263157895,104,-0.7421875,0.0859375
258,0.7297297297297297,108,-0.6953125,0.3328185562015504
30,0.7777777777777778,112,-0.765625,0.35703125
30,0.8285714285714286,116,-0.7734375,0.265625
18,0.8823529411764706,120,-0.7578125,0.0859375
12,0.9393939393939394,124,-0.75,0.40234375
84,1.0,128,-0.6875,0.16127232142857142
12,1.064516129032258,132,-0.734375,0.125
6,1.1333333333333333,136,-0.8125,0.62109375
12,1.206896551724138,140,-0.71875,0.22526041666666666
12,1.2857142857142858,144,-0.75,0.1171875
330,1.3703703703703705,148,-0.6953125,0.05066287878787879
30,1.4615384615384617,152,-0.71875,0.06640625
6,1.56,156,-0.671875,0.109375
6,1.6666666666666667,160,-0.6875,0.15234375
12,1.7826086956521738,164,-0.6875,0.08984375
6,1.9090909090909087,168,-0.71875,0.02734375
12,2.0476190476190474,172,-0.6875,0.06640625
2,2.2,176,-0.7421875,0.2578125
12,2.3684210526315788,180,-0.6640625,0.19921875
6,2.555555555555556,184,-0.671875,0.10546875
30,2.764705882352941,188,-0.6875,0.02109375
10,3.0,192,-0.703125,0.11328125
12,3.2666666666666666,196,-0.6953125,0.03515625
2,3.571428571428572,200,-0.671875,0.13671875
2,3.9230769230769234,204,-0.6328125,0.0625
2,4.333333333333333,208,-0.6171875,0.0078125
6,4.818181818181818,212,-0.6875,0.03515625
2,5.4,216,-0.671875,0.046875
2,6.111111111111112,220,-0.6328125,0.10546875
6,7.0,224,-0.6640625,0.08984375
1,8.142857142857142,228,-0.6015625,0.0546875
