length,$r_{stable}$,fct,Energy,Consensus
90,0.0,0,-0.859375,0.19027777777777774
9,0.015873015873015872,4,-0.8671875,0.1527777777777778
9,0.03225806451612903,8,-0.8671875,0.09722222222222222
1,0.049180327868852465,12,-0.875,0.625
9,0.06666666666666668,16,-0.8671875,0.05555555555555555
1,0.0847457627118644,20,-0.875,0.25
133,0.10344827586206896,24,-0.8515625,0.3563792293233083
5,0.12280701754385966,28,-0.859375,0.6046875
1,0.14285714285714285,32,-0.875,0.0
48,0.16363636363636366,36,-0.828125,0.14664713541666666
30,0.1851851851851852,40,-0.8671875,0.1875
2,0.2075471698113208,44,-0.9296875,0.84765625
68,0.2307692307692308,48,-0.8359375,0.10225183823529413
20,0.2549019607843137,52,-0.859375,0.267578125
1920,0.28,56,-0.796875,0.08910319010416666
6440,0.30612244897959184,60,-0.828125,0.3290469720496895
60,0.3333333333333333,64,-0.828125,0.014973958333333334
22,0.3617021276595745,68,-0.8671875,0.30859375
80,0.39130434782608703,72,-0.828125,0.11357421875
450,0.4222222222222222,76,-0.78125,0.06190972222222223
156,0.4545454545454545,80,-0.8359375,0.04096554487179487
12002,0.4883720930232558,84,-0.8046875,0.203125
840,0.5238095238095238,88,-0.8046875,0.18736049107142855
72,0.5609756097560976,92,-0.8203125,0.4287109375
6,0.6,96,-0.8359375,0.1875
36,0.6410256410256411,100,-0.8046875,0.2465277777777778
240,0.6842105263157895,104,-0.8203125,0.1787109375
60,0.7297297297297297,108,-0.796875,0.147265625
30,0.7777777777777778,112,-0.7734375,0.08046875
15,0.8285714285714286,116,-0.7734375,0.09635416666666667
6,0.8823529411764706,120,-0.796875,0.03125
4,0.9393939393939394,124,-0.7734375,0.26171875
30,1.0,128,-0.765625,0.025260416666666667
6,1.064516129032258,132,-0.7890625,0.040364583333333336
6,1.1333333333333333,136,-0.765625,0.1953125
12,1.206896551724138,140,-0.78125,0.13932291666666666
52,1.2857142857142858,144,-0.7734375,0.06850961538461539
12,1.3703703703703705,148,-0.765625,0.11458333333333333
12,1.4615384615384617,152,-0.7734375,0.06640625
4,1.56,156,-0.78125,0.0078125
6,1.6666666666666667,160,-0.7578125,0.03515625
30,1.7826086956521738,164,-0.7734375,0.09765625
12,1.9090909090909087,168,-0.796875,0.02734375
30,2.0476190476190474,172,-0.78125,0.02473958333333333
2,2.2,176,-0.7578125,0.01171875
30,2.3684210526315788,180,-0.75,0.01875
3,2.555555555555556,184,-0.7578125,0.03125
6,2.764705882352941,188,-0.7421875,0.11197916666666667
12,3.0,192,-0.75,0.11328125
6,3.2666666666666666,196,-0.7578125,0.05859375
2,3.571428571428572,200,-0.765625,0.05078125
6,3.9230769230769234,204,-0.7578125,0.05078125
6,4.333333333333333,208,-0.7578125,0.1171875
6,4.818181818181818,212,-0.734375,0.0625
12,5.4,216,-0.7421875,0.12109375
3,6.111111111111112,220,-0.7421875,0.0625
2,7.0,224,-0.7421875,0.08203125
6,8.142857142857142,228,-0.75,0.03125
2,9.666666666666666,232,-0.734375,0.08984375
2,11.8,236,-0.7578125,0.109375
2,15.0,240,-0.7578125,0.0078125
2,20.33333333333333,244,-0.734375,0.01953125
3,31.0,248,-0.7265625,0.03125
2,63.0,252,-0.734375,0.05859375
1,inf,256,-0.734375,0.0546875
1,0.0,0,-1.0,1.0
1,0.015873015873015872,4,-1.0,1.0
1,0.03225806451612903,8,-1.0,1.0
1,0.049180327868852465,12,-0.875,0.5
1,0.06666666666666668,16,-1.0,1.0
1,0.0847457627118644,20,-1.0,1.0
1,0.10344827586206896,24,-1.0,1.0
1,0.12280701754385966,28,-1.0,1.0
1,0.14285714285714285,32,-1.0,1.0
12,0.16363636363636366,36,-0.859375,0.138671875
42,0.1851851851851852,40,-0.859375,0.125
3,0.2075471698113208,44,-0.859375,0.13802083333333334
27,0.2307692307692308,48,-0.8984375,0.7838541666666666
