length,$r_{stable}$,fct,Energy,Consensus
1,0.0,0,-1.0,1.0
1,0.00390625,4,-1.0,1.0
1,0.0078125,8,-1.0,1.0
1,0.01171875,12,-1.0,1.0
1,0.015625,16,-1.0,1.0
1,0.01953125,20,-1.0,1.0
1,0.0234375,24,-1.0,1.0
1,0.02734375,28,-1.0,1.0
1,0.03125,32,-1.0,1.0
1,0.03515625,36,-1.0,1.0
1,0.0390625,40,-1.0,1.0
1,0.04296875,44,-1.0,1.0
12002,0.046875,48,-0.92578125,0.533203125
504,0.05078125,52,-0.935546875,0.6132347470238095
12002,0.0546875,56,-0.931640625,0.69921875
1,0.05859375,60,-1.0,1.0
12002,0.0625,64,-0.921875,0.69140625
161,0.06640625,68,-0.9609375,0.8485175659937888
12002,0.0703125,72,-0.916015625,0.064453125
12002,0.07421875,76,-0.904296875,0.060546875
12002,0.078125,80,-0.93359375,0.65625
1,0.0,0,-1.0,1.0
1,0.00390625,4,-1.0,1.0
1,0.0078125,8,-1.0,1.0
1,0.01171875,12,-1.0,1.0
1,0.015625,16,-1.0,1.0
1,0.01953125,20,-1.0,1.0
1,0.0234375,24,-1.0,1.0
1,0.02734375,28,-1.0,1.0
15,0.03125,32,-0.947265625,0.681640625
12002,0.03515625,36,-0.91796875,0.55078125
1,0.0390625,40,-1.0,1.0
1,0.04296875,44,-1.0,1.0
1,0.046875,48,-1.0,1.0
36,0.05078125,52,-0.958984375,0.8046875
1,0.0546875,56,-1.0,1.0
70,0.05859375,60,-0.958984375,0.8045479910714286
18,0.0625,64,-0.935546875,0.2197265625
12002,0.06640625,68,-0.88671875,0.107421875
66,0.0703125,72,-0.953125,0.7827888257575758
66,0.07421875,76,-0.958984375,0.8204604640151515
12002,0.078125,80,-0.92578125,0.580078125
1,0.0,0,-1.0,1.0
1,0.00390625,4,-1.0,1.0
1,0.0078125,8,-1.0,1.0
1,0.01171875,12,-1.0,1.0
1,0.015625,16,-1.0,1.0
1,0.01953125,20,-1.0,1.0
120,0.0234375,24,-0.931640625,0.2529296875
1,0.02734375,28,-1.0,1.0
1,0.03125,32,-1.0,1.0
1,0.03515625,36,-1.0,1.0
8982,0.0390625,40,-0.951171875,0.7452228676102205
952,0.04296875,44,-0.931640625,0.218825909269958
1,0.046875,48,-1.0,1.0
1,0.05078125,52,-1.0,1.0
60,0.0546875,56,-0.93359375,0.03515625
12002,0.05859375,60,-0.912109375,0.17578125
12002,0.0625,64,-0.923828125,0.287109375
55,0.06640625,68,-0.93359375,0.5020596590909091
12002,0.0703125,72,-0.923828125,0.15234375
12002,0.07421875,76,-0.9296875,0.439453125
12002,0.078125,80,-0.892578125,0.392578125
18,0.0,0,-0.935546875,0.2152777777777778
1,0.00390625,4,-0.9375,0.125
1,0.0078125,8,-0.9375,0.0
1,0.01171875,12,-0.9375,0.125
1,0.015625,16,-0.9375,0.0
1,0.01953125,20,-0.9375,0.3125
1,0.0234375,24,-0.9375,0.375
208,0.02734375,28,-0.93359375,0.208984375
1,0.03125,32,-1.0,1.0
12002,0.03515625,36,-0.923828125,0.0703125
12002,0.0390625,40,-0.912109375,0.00390625
5423,0.04296875,44,-0.927734375,0.055275634450488664
3440,0.046875,48,-0.953125,0.778076171875
1,0.05078125,52,-1.0,1.0
117,0.0546875,56,-0.93359375,0.32421875
1,0.05859375,60,-0.9375,0.0625
9275,0.0625,64,-0.92578125,0.4852573281671159
5676,0.06640625,68,-0.92578125,0.01947275259866103
1,0.0703125,72,-1.0,1.0
189,0.07421875,76,-0.927734375,0.7213645006613757
12002,0.078125,80,-0.90625,0.107421875
1,0.0,0,-1.0,1.0
1,0.00390625,4,-1.0,1.0
1,0.0078125,8,-1.0,1.0
1,0.01171875,12,-1.0,1.0
1,0.015625,16,-1.0,1.0
1,0.01953125,20,-1.0,1.0
1,0.0234375,24,-1.0,1.0
1,0.02734375,28,-1.0,1.0
1,0.03125,32,-1.0,1.0
1,0.03515625,36,-1.0,1.0
1,0.0390625,40,-1.0,1.0
1,0.04296875,44,-1.0,1.0
1,0.046875,48,-1.0,1.0
48,0.05078125,52,-0.970703125,0.92333984375
1,0.0546875,56,-1.0,1.0
476,0.05859375,60,-0.943359375,0.6946026457457983
3,0.0625,64,-0.978515625,0.943359375
87,0.06640625,68,-0.96875,0.9088766163793104
1,0.0703125,72,-1.0,1.0
5,0.07421875,76,-0.974609375,0.9375
12002,0.078125,80,-0.91015625,0.181640625
18,0.0,0,-0.935546875,0.1111111111111111
1,0.00390625,4,-0.9375,0.0625
1,0.0078125,8,-0.9375,0.3125
1,0.01171875,12,-0.9375,0.25
1,0.015625,16,-1.0,1.0
1,0.01953125,20,-0.9375,0.0625
14,0.0234375,24,-0.935546875,0.3348214285714285
1,0.02734375,28,-1.0,1.0
1,0.03125,32,-0.9375,0.1875
12002,0.03515625,36,-0.9296875,0.125
1,0.0390625,40,-1.0,1.0
1,0.04296875,44,-1.0,1.0
12002,0.046875,48,-0.9296875,0.052734375
855,0.05078125,52,-0.931640625,0.0903577302631579
1,0.0546875,56,-1.0,1.0
12002,0.05859375,60,-0.921875,0.072265625
12002,0.0625,64,-0.9375,0.705078125
75,0.06640625,68,-0.93359375,0.421875
1,0.0703125,72,-0.9375,0.1875
1,0.07421875,76,-1.0,1.0
1,0.078125,80,-1.0,1.0
1,0.0,0,-1.0,1.0
1,0.00390625,4,-1.0,1.0
1,0.0078125,8,-1.0,1.0
1,0.01171875,12,-1.0,1.0
1,0.015625,16,-1.0,1.0
1,0.01953125,20,-1.0,1.0
1,0.0234375,24,-1.0,1.0
1,0.02734375,28,-1.0,1.0
2147,0.03125,32,-0.939453125,0.6027514773521192
1,0.03515625,36,-1.0,1.0
12002,0.0390625,40,-0.951171875,0.796875
1,0.04296875,44,-1.0,1.0
1,0.046875,48,-1.0,1.0
1,0.05078125,52,-1.0,1.0
12002,0.0546875,56,-0.94140625,0.6796875
1,0.05859375,60,-1.0,1.0
12002,0.0625,64,-0.9140625,0.27734375
312,0.06640625,68,-0.951171875,0.7653996394230769
504,0.0703125,72,-0.931640625,0.07421875
1,0.07421875,76,-1.0,1.0
12002,0.078125,80,-0.9296875,0.580078125
1,0.0,0,-1.0,1.0
1,0.00390625,4,-1.0,1.0
1,0.0078125,8,-1.0,1.0
1,0.01171875,12,-1.0,1.0
1,0.015625,16,-1.0,1.0
1,0.01953125,20,-1.0,1.0
1,0.0234375,24,-1.0,1.0
1,0.02734375,28,-1.0,1.0
1,0.03125,32,-1.0,1.0
9,0.03515625,36,-0.96875,0.8912760416666666
1260,0.0390625,40,-0.958984375,0.8421022445436508
1,0.04296875,44,-1.0,1.0
1,0.046875,48,-1.0,1.0
1,0.05078125,52,-1.0,1.0
1,0.0546875,56,-1.0,1.0
1,0.05859375,60,-1.0,1.0
1,0.0625,64,-0.9375,0.3125
5643,0.06640625,68,-0.94140625,0.7097105235468723
12002,0.0703125,72,-0.92578125,0.185546875
1,0.07421875,76,-0.95703125,0.763671875
12002,0.078125,80,-0.8984375,0.041015625
144,0.0,0,-0.93359375,0.0642361111111111
144,0.00390625,4,-0.93359375,0.0642361111111111
1,0.0078125,8,-0.9375,0.5
1,0.01171875,12,-0.9375,0.3125
17,0.015625,16,-0.935546875,0.04411764705882353
60,0.01953125,20,-0.935546875,0.09375
1,0.0234375,24,-1.0,1.0
1,0.02734375,28,-0.9375,0.125
1,0.03125,32,-0.9375,0.1875
1,0.03515625,36,-1.0,1.0
12002,0.0390625,40,-0.923828125,0.19921875
1,0.04296875,44,-1.0,1.0
14,0.046875,48,-0.935546875,0.35267857142857145
1,0.05078125,52,-1.0,1.0
36,0.0546875,56,-0.953125,0.76220703125
1,0.05859375,60,-1.0,1.0
12002,0.0625,64,-0.908203125,0.46484375
2046,0.06640625,68,-0.94921875,0.7065883125610948
70,0.0703125,72,-0.9296875,0.63671875
84,0.07421875,76,-0.947265625,0.7794131324404762
12002,0.078125,80,-0.935546875,0.65234375
1,0.0,0,-1.0,1.0
1,0.00390625,4,-1.0,1.0
1,0.0078125,8,-1.0,1.0
1,0.01171875,12,-1.0,1.0
1,0.015625,16,-1.0,1.0
1,0.01953125,20,-1.0,1.0
1,0.0234375,24,-1.0,1.0
1,0.02734375,28,-1.0,1.0
1,0.03125,32,-1.0,1.0
1,0.03515625,36,-1.0,1.0
1,0.0390625,40,-1.0,1.0
1,0.04296875,44,-1.0,1.0
1,0.046875,48,-1.0,1.0
1,0.05078125,52,-1.0,1.0
1,0.0546875,56,-0.982421875,0.9609375
1,0.05859375,60,-1.0,1.0
12002,0.0625,64,-0.921875,0.625
1,0.06640625,68,-1.0,1.0
1,0.0703125,72,-1.0,1.0
12002,0.07421875,76,-0.896484375,0.41796875
1,0.078125,80,-1.0,1.0
16,0.0,0,-0.935546875,0.33984375
15,0.00390625,4,-0.935546875,0.2833333333333333
1,0.0078125,8,-1.0,1.0
1,0.01171875,12,-1.0,1.0
1,0.015625,16,-1.0,1.0
16,0.01953125,20,-0.935546875,0.3046875
1,0.0234375,24,-1.0,1.0
1,0.02734375,28,-1.0,1.0
1,0.03125,32,-0.9375,0.0
1,0.03515625,36,-1.0,1.0
1,0.0390625,40,-0.9375,0.625
1,0.04296875,44,-1.0,1.0
1,0.046875,48,-1.0,1.0
1,0.05078125,52,-1.0,1.0
1,0.0546875,56,-1.0,1.0
1,0.05859375,60,-1.0,1.0
12002,0.0625,64,-0.94140625,0.724609375
1,0.06640625,68,-1.0,1.0
1,0.0703125,72,-1.0,1.0
12002,0.07421875,76,-0.91015625,0.443359375
285,0.078125,80,-0.94921875,0.7496641995614035
16,0.0,0,-0.93359375,0.15234375
1,0.00390625,4,-0.9375,0.125
16,0.0078125,8,-0.935546875,0.21484375
16,0.01171875,12,-0.935546875,0.16796875
16,0.015625,16,-0.935546875,0.08203125
15,0.01953125,20,-0.935546875,0.06666666666666668
1,0.0234375,24,-0.9375,0.0625
12002,0.02734375,28,-0.91015625,0.12890625
12002,0.03125,32,-0.923828125,0.091796875
12002,0.03515625,36,-0.9296875,0.28125
220,0.0390625,40,-0.931640625,0.1874112215909091
18,0.04296875,44,-0.935546875,0.3090277777777778
12002,0.046875,48,-0.935546875,0.693359375
12002,0.05078125,52,-0.92578125,0.490234375
1,0.0546875,56,-1.0,1.0
5740,0.05859375,60,-0.9296875,0.25977379137630663
12002,0.0625,64,-0.943359375,0.689453125
12002,0.06640625,68,-0.927734375,0.048828125
36,0.0703125,72,-0.93359375,0.2608506944444444
810,0.07421875,76,-0.955078125,0.83203125
2262,0.078125,80,-0.958984375,0.8427034980106101
1,0.0,0,-1.0,1.0
1,0.00390625,4,-1.0,1.0
1,0.0078125,8,-1.0,1.0
17,0.01171875,12,-0.935546875,0.3970588235294117
1,0.015625,16,-1.0,1.0
1,0.01953125,20,-1.0,1.0
1,0.0234375,24,-1.0,1.0
1,0.02734375,28,-1.0,1.0
1,0.03125,32,-1.0,1.0
1,0.03515625,36,-1.0,1.0
1,0.0390625,40,-1.0,1.0
40,0.04296875,44,-0.9453125,0.734619140625
1,0.046875,48,-1.0,1.0
1,0.05078125,52,-1.0,1.0
1,0.0546875,56,-1.0,1.0
1,0.05859375,60,-1.0,1.0
1550,0.0625,64,-0.955078125,0.8072454637096774
12002,0.06640625,68,-0.94140625,0.6484375
7,0.0703125,72,-0.951171875,0.7890625
2,0.07421875,76,-0.986328125,0.9775390625
1190,0.078125,80,-0.943359375,0.8090877757352941
1,0.0,0,-0.9375,0.25
1,0.00390625,4,-0.9375,0.1875
1,0.0078125,8,-0.9375,0.0625
16,0.01171875,12,-0.935546875,0.0390625
1,0.015625,16,-0.9375,0.125
1,0.01953125,20,-0.9375,0.0
1,0.0234375,24,-1.0,1.0
1,0.02734375,28,-0.9375,0.375
1,0.03125,32,-1.0,1.0
1327,0.03515625,36,-0.939453125,0.7609636986623964
1,0.0390625,40,-1.0,1.0
1,0.04296875,44,-1.0,1.0
160,0.046875,48,-0.93359375,0.250732421875
12002,0.05078125,52,-0.91015625,0.189453125
12002,0.0546875,56,-0.908203125,0.0703125
12002,0.05859375,60,-0.900390625,0.046875
1,0.0625,64,-1.0,1.0
12002,0.06640625,68,-0.921875,0.1640625
6520,0.0703125,72,-0.927734375,0.10867403182515338
12002,0.07421875,76,-0.908203125,0.55078125
12002,0.078125,80,-0.88671875,0.396484375
1,0.0,0,-1.0,1.0
1,0.00390625,4,-1.0,1.0
1,0.0078125,8,-1.0,1.0
1,0.01171875,12,-1.0,1.0
1,0.015625,16,-1.0,1.0
1,0.01953125,20,-1.0,1.0
1,0.0234375,24,-1.0,1.0
1,0.02734375,28,-1.0,1.0
1,0.03125,32,-1.0,1.0
1,0.03515625,36,-1.0,1.0
1,0.0390625,40,-1.0,1.0
1,0.04296875,44,-1.0,1.0
456,0.046875,48,-0.93359375,0.3148643092105263
1,0.05078125,52,-1.0,1.0
1,0.0546875,56,-1.0,1.0
12002,0.05859375,60,-0.9296875,0.556640625
12002,0.0625,64,-0.951171875,0.802734375
65,0.06640625,68,-0.974609375,0.928185096153846
1680,0.0703125,72,-0.96484375,0.8785400390625
1,0.07421875,76,-1.0,1.0
12002,0.078125,80,-0.923828125,0.453125
306,0.0,0,-0.93359375,0.2338643790849673
238,0.00390625,4,-0.93359375,0.1872373949579832
18,0.0078125,8,-0.935546875,0.2361111111111111
1,0.01171875,12,-0.9375,0.25
1,0.015625,16,-0.9375,0.3125
1,0.01953125,20,-1.0,1.0
1,0.0234375,24,-1.0,1.0
1,0.02734375,28,-0.9375,0.125
78,0.03125,32,-0.935546875,0.09375
18,0.03515625,36,-0.935546875,0.5205078125
1,0.0390625,40,-1.0,1.0
1,0.04296875,44,-1.0,1.0
13,0.046875,48,-0.93359375,0.12605168269230768
12002,0.05078125,52,-0.9296875,0.517578125
1,0.0546875,56,-0.9375,0.0625
12002,0.05859375,60,-0.919921875,0.3671875
1,0.0625,64,-1.0,1.0
12002,0.06640625,68,-0.92578125,0.53515625
12002,0.0703125,72,-0.92578125,0.603515625
12002,0.07421875,76,-0.91796875,0.380859375
12002,0.078125,80,-0.92578125,0.353515625
1,0.0,0,-1.0,1.0
18,0.00390625,4,-0.935546875,0.2743055555555556
1,0.0078125,8,-1.0,1.0
1,0.01171875,12,-0.9375,0.125
1,0.015625,16,-1.0,1.0
1,0.01953125,20,-1.0,1.0
1,0.0234375,24,-0.9375,0.3125
1,0.02734375,28,-0.9375,0.1875
1,0.03125,32,-0.9375,0.0625
1500,0.03515625,36,-0.955078125,0.798390625
1,0.0390625,40,-1.0,1.0
1,0.04296875,44,-1.0,1.0
1,0.046875,48,-1.0,1.0
12002,0.05078125,52,-0.931640625,0.55859375
2418,0.0546875,56,-0.927734375,0.009412640870554177
1,0.05859375,60,-1.0,1.0
12002,0.0625,64,-0.91796875,0.419921875
1,0.06640625,68,-1.0,1.0
12002,0.0703125,72,-0.904296875,0.037109375
12002,0.07421875,76,-0.9140625,0.134765625
12002,0.078125,80,-0.9140625,0.06640625
1,0.0,0,-1.0,1.0
1,0.00390625,4,-1.0,1.0
1,0.0078125,8,-1.0,1.0
1,0.01171875,12,-1.0,1.0
1,0.015625,16,-1.0,1.0
1,0.01953125,20,-1.0,1.0
1,0.0234375,24,-1.0,1.0
1,0.02734375,28,-1.0,1.0
1,0.03125,32,-1.0,1.0
12002,0.03515625,36,-0.94140625,0.744140625
1,0.0390625,40,-1.0,1.0
1,0.04296875,44,-1.0,1.0
1,0.046875,48,-1.0,1.0
1,0.05078125,52,-0.986328125,0.98046875
12002,0.0546875,56,-0.9453125,0.775390625
12002,0.05859375,60,-0.92578125,0.625
2370,0.0625,64,-0.95703125,0.8337865901898734
2910,0.06640625,68,-0.94921875,0.7679023034793815
510,0.0703125,72,-0.939453125,0.6083754595588236
1,0.07421875,76,-1.0,1.0
12002,0.078125,80,-0.931640625,0.626953125
1,0.0,0,-1.0,1.0
1,0.00390625,4,-1.0,1.0
1,0.0078125,8,-1.0,1.0
1,0.01171875,12,-1.0,1.0
1,0.015625,16,-1.0,1.0
1,0.01953125,20,-1.0,1.0
1,0.0234375,24,-1.0,1.0
1,0.02734375,28,-0.9375,0.1875
1,0.03125,32,-1.0,1.0
1,0.03515625,36,-1.0,1.0
1860,0.0390625,40,-0.935546875,0.5711357526881721
1,0.04296875,44,-1.0,1.0
1,0.046875,48,-1.0,1.0
196,0.05078125,52,-0.96484375,0.8718012595663265
12002,0.0546875,56,-0.90625,0.033203125
12002,0.05859375,60,-0.875,0.00390625
12002,0.0625,64,-0.90234375,0.310546875
12002,0.06640625,68,-0.908203125,0.271484375
12002,0.0703125,72,-0.9453125,0.724609375
12002,0.07421875,76,-0.875,0.154296875
540,0.078125,80,-0.921875,0.3502242476851852
1,0.0,0,-1.0,1.0
1,0.00390625,4,-1.0,1.0
1,0.0078125,8,-0.9375,0.0625
1,0.01171875,12,-1.0,1.0
1,0.015625,16,-1.0,1.0
1,0.01953125,20,-1.0,1.0
1,0.0234375,24,-1.0,1.0
1,0.02734375,28,-1.0,1.0
1,0.03125,32,-0.9375,0.1875
1,0.03515625,36,-1.0,1.0
12002,0.0390625,40,-0.92578125,0.23046875
1,0.04296875,44,-0.9375,0.125
1,0.046875,48,-1.0,1.0
1,0.05078125,52,-1.0,1.0
12002,0.0546875,56,-0.939453125,0.705078125
1,0.05859375,60,-0.9375,0.6875
11916,0.0625,64,-0.92578125,0.24250613670694865
10740,0.06640625,68,-0.9296875,0.017990572625698326
12002,0.0703125,72,-0.92578125,0.3984375
1,0.07421875,76,-0.9375,0.3125
195,0.078125,80,-0.931640625,0.0703125
1,0.0,0,-1.0,1.0
1,0.00390625,4,-1.0,1.0
1,0.0078125,8,-1.0,1.0
1,0.01171875,12,-0.9375,0.0625
1,0.015625,16,-1.0,1.0
1,0.01953125,20,-1.0,1.0
1,0.0234375,24,-1.0,1.0
1,0.02734375,28,-1.0,1.0
1,0.03125,32,-1.0,1.0
1,0.03515625,36,-1.0,1.0
1,0.0390625,40,-1.0,1.0
1,0.04296875,44,-1.0,1.0
12002,0.046875,48,-0.9140625,0.427734375
12002,0.05078125,52,-0.951171875,0.751953125
12002,0.0546875,56,-0.92578125,0.54296875
360,0.05859375,60,-0.912109375,0.05712890625
