length,$r_{stable}$,fct,Energy,Consensus
36,2.4133333333333336,724,-0.66796875,0.0810546875
12,2.45945945945946,728,-0.703125,0.20084635416666666
84,2.5068493150684934,732,-0.67578125,0.17996651785714285
30,2.555555555555556,736,-0.705078125,0.11276041666666667
42,2.605633802816901,740,-0.6640625,0.09407552083333333
84,2.657142857142857,744,-0.673828125,0.09542410714285714
6,2.710144927536232,748,-0.68359375,0.16373697916666666
6,2.764705882352941,752,-0.69140625,0.154296875
12,2.82089552238806,756,-0.671875,0.20475260416666666
6,2.878787878787879,760,-0.703125,0.15364583333333334
12,2.9384615384615387,764,-0.65234375,0.13151041666666666
12,3.0,768,-0.685546875,0.142578125
6,3.063492063492064,772,-0.6875,0.20735677083333331
12,3.129032258064516,776,-0.6484375,0.0751953125
6,3.19672131147541,780,-0.673828125,0.1005859375
12,3.2666666666666666,784,-0.65625,0.1083984375
6,3.3389830508474576,788,-0.685546875,0.12760416666666666
6,3.4137931034482767,792,-0.669921875,0.140625
6,3.4912280701754392,796,-0.634765625,0.048828125
12,3.571428571428572,800,-0.671875,0.13216145833333334
12,3.654545454545455,804,-0.67578125,0.13899739583333334
6,3.7407407407407414,808,-0.66796875,0.11067708333333333
6,3.830188679245283,812,-0.693359375,0.126953125
30,3.9230769230769234,816,-0.6640625,0.1630859375
28,4.019607843137255,820,-0.65625,0.20675223214285715
4,4.12,824,-0.693359375,0.1748046875
6,4.224489795918367,828,-0.654296875,0.15169270833333334
12,4.333333333333333,832,-0.669921875,0.15576171875
12,4.446808510638298,836,-0.6640625,0.1064453125
6,4.565217391304348,840,-0.677734375,0.14778645833333334
12,4.688888888888889,844,-0.640625,0.1044921875
12,4.818181818181818,848,-0.673828125,0.2041015625
12,4.953488372093024,852,-0.650390625,0.10709635416666667
6,5.095238095238095,856,-0.67578125,0.15397135416666666
6,5.243902439024391,860,-0.640625,0.1416015625
6,5.4,864,-0.658203125,0.1357421875
6,5.564102564102564,868,-0.64453125,0.107421875
6,5.7368421052631575,872,-0.662109375,0.154296875
12,5.918918918918918,876,-0.69140625,0.2314453125
6,6.111111111111112,880,-0.673828125,0.1279296875
6,6.314285714285713,884,-0.658203125,0.1416015625
24,6.529411764705883,888,-0.62890625,0.026529947916666668
6,6.757575757575758,892,-0.6640625,0.109375
6,7.0,896,-0.6484375,0.1259765625
2,7.258064516129032,900,-0.630859375,0.08984375
2,7.533333333333332,904,-0.64453125,0.1396484375
6,7.827586206896553,908,-0.6328125,0.1171875
12,8.142857142857142,912,-0.63671875,0.17122395833333334
2,8.481481481481481,916,-0.6328125,0.1591796875
6,8.846153846153848,920,-0.609375,0.0732421875
6,9.24,924,-0.625,0.08984375
6,9.666666666666666,928,-0.646484375,0.13671875
