length,p_a
34.0,0.0
34.0,0.0
34.0,0.0
34.0,0.0
1.0,0.0
34.0,0.0
30.0,0.0
34.0,0.0
34.0,0.0
30.0,0.0
34.0,0.0
34.0,0.0
34.0,0.0
1.0,0.0
34.0,0.0
1.0,0.0
34.0,0.0
34.0,0.0
1.0,0.0
34.0,0.0
30.0,0.0
34.0,0.0
1.0,0.0
34.0,0.0
34.0,0.0
34.0,0.0
34.0,0.0
1.0,0.0
34.0,0.0
30.0,0.0
34.0,0.0
34.0,0.0
34.0,0.0
1.0,0.0
34.0,0.0
1.0,0.0
1.0,0.0
34.0,0.0
30.0,0.0
34.0,0.0
30.0,0.0
34.0,0.0
34.0,0.0
34.0,0.0
34.0,0.0
34.0,0.0
34.0,0.0
34.0,0.0
34.0,0.0
34.0,0.0
1.0,0.0
30.0,0.0
34.0,0.0
30.0,0.0
34.0,0.0
1.0,0.0
30.0,0.0
34.0,0.0
34.0,0.0
34.0,0.0
30.0,0.0
34.0,0.0
30.0,0.0
34.0,0.0
30.0,0.0
34.0,0.0
34.0,0.0
34.0,0.0
34.0,0.0
30.0,0.0
34.0,0.0
34.0,0.0
34.0,0.0
30.0,0.0
1.0,0.0
34.0,0.0
30.0,0.0
34.0,0.0
34.0,0.0
34.0,0.0
34.0,0.0
34.0,0.0
34.0,0.0
1.0,0.0
34.0,0.0
34.0,0.0
30.0,0.0
34.0,0.0
30.0,0.0
34.0,0.0
34.0,0.0
34.0,0.0
30.0,0.0
34.0,0.0
34.0,0.0
34.0,0.0
34.0,0.0
34.0,0.0
30.0,0.0
34.0,0.0
1.0,0.0
34.0,0.0
34.0,0.0
30.0,0.0
34.0,0.0
30.0,0.0
34.0,0.0
34.0,0.0
34.0,0.0
34.0,0.0
30.0,0.0
34.0,0.0
34.0,0.0
34.0,0.0
34.0,0.0
34.0,0.0
30.0,0.0
34.0,0.0
30.0,0.0
1.0,0.0
30.0,0.0
34.0,0.0
34.0,0.0
34.0,0.0
34.0,0.0
34.0,0.0
1.0,0.0
1.0,0.0
34.0,0.0
34.0,0.0
34.0,0.0
30.0,0.0
34.0,0.0
34.0,0.0
34.0,0.0
1.0,0.0
34.0,0.0
34.0,0.0
34.0,0.0
34.0,0.0
34.0,0.0
34.0,0.0
34.0,0.0
34.0,0.0
30.0,0.0
34.0,0.0
34.0,0.0
34.0,0.0
34.0,0.0
34.0,0.0
1.0,0.0
1.0,0.0
30.0,0.0
34.0,0.0
34.0,0.0
34.0,0.0
1.0,0.0
34.0,0.0
30.0,0.0
30.0,0.0
34.0,0.0
34.0,0.0
34.0,0.0
34.0,0.0
1.0,0.0
34.0,0.0
34.0,0.0
34.0,0.0
30.0,0.0
34.0,0.0
30.0,0.0
1.0,0.0
34.0,0.0
34.0,0.0
34.0,0.0
34.0,0.0
30.0,0.0
1.0,0.0
1.0,0.0
30.0,0.0
30.0,0.0
34.0,0.0
34.0,0.0
30.0,0.0
34.0,0.0
1.0,0.0
34.0,0.0
30.0,0.0
34.0,0.0
34.0,0.0
34.0,0.0
34.0,0.0
34.0,0.0
34.0,0.0
34.0,0.0
34.0,0.0
34.0,0.0
34.0,0.0
30.0,0.0
34.0,0.0
34.0,0.000244140625
30.0,0.000244140625
1.0,0.000244140625
30.0,0.000244140625
34.0,0.000244140625
34.0,0.000244140625
30.0,0.000244140625
34.0,0.000244140625
1.0,0.000244140625
34.0,0.000244140625
34.0,0.000244140625
30.0,0.000244140625
30.0,0.000244140625
34.0,0.000244140625
1.0,0.000244140625
30.0,0.000244140625
1.0,0.000244140625
34.0,0.000244140625
30.0,0.000244140625
30.0,0.000244140625
34.0,0.000244140625
1.0,0.000244140625
30.0,0.000244140625
34.0,0.000244140625
34.0,0.000244140625
34.0,0.000244140625
34.0,0.000244140625
1.0,0.000244140625
34.0,0.000244140625
34.0,0.000244140625
30.0,0.000244140625
34.0,0.000244140625
34.0,0.000244140625
34.0,0.000244140625
34.0,0.000244140625
1.0,0.000244140625
34.0,0.000244140625
34.0,0.000244140625
30.0,0.000244140625
34.0,0.000244140625
34.0,0.000244140625
1.0,0.000244140625
30.0,0.000244140625
34.0,0.000244140625
34.0,0.000244140625
34.0,0.000244140625
34.0,0.000244140625
34.0,0.000244140625
34.0,0.000244140625
30.0,0.000244140625
1.0,0.000244140625
1.0,0.000244140625
34.0,0.000244140625
34.0,0.000244140625
1.0,0.000244140625
34.0,0.000244140625
34.0,0.000244140625
1.0,0.000244140625
34.0,0.000244140625
34.0,0.000244140625
34.0,0.000244140625
34.0,0.000244140625
34.0,0.000244140625
34.0,0.000244140625
34.0,0.000244140625
1.0,0.000244140625
34.0,0.000244140625
34.0,0.000244140625
34.0,0.000244140625
1.0,0.000244140625
34.0,0.000244140625
30.0,0.000244140625
30.0,0.000244140625
30.0,0.000244140625
30.0,0.000244140625
34.0,0.000244140625
