length,p_a
31.0,0.0
31.0,0.0
31.0,0.0
31.0,0.0
31.0,0.0
31.0,0.0
31.0,0.0
31.0,0.0
31.0,0.0
31.0,0.0
31.0,0.0
31.0,0.0
31.0,0.0
31.0,0.0
31.0,0.0
31.0,0.0
31.0,0.0
31.0,0.0
31.0,0.0
31.0,0.0
31.0,0.0
31.0,0.0
31.0,0.0
31.0,0.0
31.0,0.0
31.0,0.0
31.0,0.0
31.0,0.0
31.0,0.0
31.0,0.0
31.0,0.0
31.0,0.0
31.0,0.0
31.0,0.0
31.0,0.0
31.0,0.0
31.0,0.0
31.0,0.0
31.0,0.0
31.0,0.0
31.0,0.0
31.0,0.0
31.0,0.0
31.0,0.0
31.0,0.0
31.0,0.0
31.0,0.0
31.0,0.0
31.0,0.0
31.0,0.0
31.0,0.0
31.0,0.0
31.0,0.0
31.0,0.0
31.0,0.0
31.0,0.0
31.0,0.0
31.0,0.0
31.0,0.0
31.0,0.0
31.0,0.0
31.0,0.0
31.0,0.0
31.0,0.0
31.0,0.0
31.0,0.0
31.0,0.0
31.0,0.0
31.0,0.0
31.0,0.0
31.0,0.0
31.0,0.0
31.0,0.0
31.0,0.0
31.0,0.0
31.0,0.0
31.0,0.0
31.0,0.0
31.0,0.0
31.0,0.0
31.0,0.0
31.0,0.0
31.0,0.0
31.0,0.0
31.0,0.0
31.0,0.0
31.0,0.0
31.0,0.0
31.0,0.0
31.0,0.0
31.0,0.0
31.0,0.0
31.0,0.0
31.0,0.0
31.0,0.0
31.0,0.0
31.0,0.0
31.0,0.0
31.0,0.0
31.0,0.0
31.0,0.0
31.0,0.0
31.0,0.0
31.0,0.0
31.0,0.0
31.0,0.0
31.0,0.0
31.0,0.0
31.0,0.0
31.0,0.0
31.0,0.0
31.0,0.0
31.0,0.0
31.0,0.0
31.0,0.0
31.0,0.0
31.0,0.0
31.0,0.0
31.0,0.0
31.0,0.0
31.0,0.0
31.0,0.0
31.0,0.0
31.0,0.0
31.0,0.0
31.0,0.0
31.0,0.0
31.0,0.0
31.0,0.0
31.0,0.0
31.0,0.0
31.0,0.0
31.0,0.0
31.0,0.0
31.0,0.0
31.0,0.0
31.0,0.0
31.0,0.0
31.0,0.0
31.0,0.0
31.0,0.0
31.0,0.0
31.0,0.0
31.0,0.0
31.0,0.0
31.0,0.0
31.0,0.0
31.0,0.0
31.0,0.0
31.0,0.0
31.0,0.0
31.0,0.0
31.0,0.0
31.0,0.0
31.0,0.0
31.0,0.0
31.0,0.0
31.0,0.0
31.0,0.0
31.0,0.0
31.0,0.0
31.0,0.0
31.0,0.0
31.0,0.0
31.0,0.0
31.0,0.0
31.0,0.0
31.0,0.0
31.0,0.0
31.0,0.0
31.0,0.0
31.0,0.0
31.0,0.0
31.0,0.0
31.0,0.0
31.0,0.0
31.0,0.0
31.0,0.0
31.0,0.0
31.0,0.0
31.0,0.0
31.0,0.0
31.0,0.0
31.0,0.0
31.0,0.0
31.0,0.0
31.0,0.0
31.0,0.0
31.0,0.0
31.0,0.0
31.0,0.0
31.0,0.0
31.0,0.0
31.0,0.0
31.0,0.0
31.0,0.0
31.0,0.0
31.0,0.0
31.0,0.0
31.0,0.0
1.0,0.1
1.0,0.1
1.0,0.1
1.0,0.1
1.0,0.1
1.0,0.1
1.0,0.1
1.0,0.1
1.0,0.1
1.0,0.1
1.0,0.1
1.0,0.1
1.0,0.1
1.0,0.1
1.0,0.1
1.0,0.1
1.0,0.1
1.0,0.1
1.0,0.1
1.0,0.1
1.0,0.1
1.0,0.1
1.0,0.1
1.0,0.1
1.0,0.1
1.0,0.1
1.0,0.1
1.0,0.1
1.0,0.1
1.0,0.1
1.0,0.1
1.0,0.1
1.0,0.1
1.0,0.1
1.0,0.1
1.0,0.1
1.0,0.1
1.0,0.1
1.0,0.1
1.0,0.1
1.0,0.1
1.0,0.1
1.0,0.1
1.0,0.1
1.0,0.1
1.0,0.1
1.0,0.1
1.0,0.1
1.0,0.1
1.0,0.1
1.0,0.1
1.0,0.1
1.0,0.1
1.0,0.1
1.0,0.1
1.0,0.1
1.0,0.1
1.0,0.1
1.0,0.1
1.0,0.1
1.0,0.1
1.0,0.1
1.0,0.1
1.0,0.1
1.0,0.1
1.0,0.1
1.0,0.1
1.0,0.1
1.0,0.1
1.0,0.1
1.0,0.1
1.0,0.1
1.0,0.1
1.0,0.1
1.0,0.1
1.0,0.1
1.0,0.1
1.0,0.1
1.0,0.1
1.0,0.1
1.0,0.1
1.0,0.1
1.0,0.1
1.0,0.1
1.0,0.1
1.0,0.1
1.0,0.1
1.0,0.1
1.0,0.1
1.0,0.1
1.0,0.1
1.0,0.1
1.0,0.1
1.0,0.1
1.0,0.1
1.0,0.1
1.0,0.1
1.0,0.1
1.0,0.1
1.0,0.1
1.0,0.1
1.0,0.1
1.0,0.1
1.0,0.1
1.0,0.1
1.0,0.1
1.0,0.1
1.0,0.1
1.0,0.1
1.0,0.1
1.0,0.1
1.0,0.1
1.0,0.1
1.0,0.1
1.0,0.1
1.0,0.1
1.0,0.1
1.0,0.1
1.0,0.1
1.0,0.1
1.0,0.1
1.0,0.1
1.0,0.1
1.0,0.1
1.0,0.1
1.0,0.1
1.0,0.1
1.0,0.1
1.0,0.1
1.0,0.1
1.0,0.1
1.0,0.1
1.0,0.1
1.0,0.1
1.0,0.1
1.0,0.1
1.0,0.1
1.0,0.1
1.0,0.1
1.0,0.1
1.0,0.1
1.0,0.1
1.0,0.1
1.0,0.1
1.0,0.1
1.0,0.1
1.0,0.1
1.0,0.1
1.0,0.1
1.0,0.1
1.0,0.1
1.0,0.1
1.0,0.1
1.0,0.1
1.0,0.1
1.0,0.1
1.0,0.1
1.0,0.1
1.0,0.1
1.0,0.1
1.0,0.1
1.0,0.1
1.0,0.1
1.0,0.1
1.0,0.1
1.0,0.1
1.0,0.1
1.0,0.1
1.0,0.1
1.0,0.1
1.0,0.1
1.0,0.1
1.0,0.1
1.0,0.1
1.0,0.1
1.0,0.1
1.0,0.1
1.0,0.1
1.0,0.1
1.0,0.1
1.0,0.1
1.0,0.1
1.0,0.1
1.0,0.1
1.0,0.1
1.0,0.1
1.0,0.1
1.0,0.1
1.0,0.1
1.0,0.1
1.0,0.1
1.0,0.1
1.0,0.1
1.0,0.1
1.0,0.1
1.0,0.1
1.0,0.1
1.0,0.1
1.0,0.1
1.0,0.1
30.0,0.3
30.0,0.3
30.0,0.3
10.0,0.3
10.0,0.3
10.0,0.3
10.0,0.3
10.0,0.3
6.0,0.3
2.0,0.3
10.0,0.3
10.0,0.3
10.0,0.3
6.0,0.3
1.0,0.3
30.0,0.3
10.0,0.3
10.0,0.3
30.0,0.3
10.0,0.3
2.0,0.3
10.0,0.3
1.0,0.3
30.0,0.3
10.0,0.3
6.0,0.3
2.0,0.3
10.0,0.3
2.0,0.3
10.0,0.3
6.0,0.3
1.0,0.3
10.0,0.3
30.0,0.3
1.0,0.3
10.0,0.3
1.0,0.3
1.0,0.3
1.0,0.3
1.0,0.3
10.0,0.3
2.0,0.3
30.0,0.3
10.0,0.3
1.0,0.3
30.0,0.3
10.0,0.3
30.0,0.3
2.0,0.3
10.0,0.3
30.0,0.3
10.0,0.3
30.0,0.3
10.0,0.3
30.0,0.3
10.0,0.3
6.0,0.3
10.0,0.3
6.0,0.3
30.0,0.3
10.0,0.3
10.0,0.3
10.0,0.3
1.0,0.3
30.0,0.3
30.0,0.3
10.0,0.3
10.0,0.3
6.0,0.3
10.0,0.3
2.0,0.3
10.0,0.3
30.0,0.3
10.0,0.3
30.0,0.3
2.0,0.3
1.0,0.3
10.0,0.3
30.0,0.3
30.0,0.3
6.0,0.3
10.0,0.3
30.0,0.3
10.0,0.3
10.0,0.3
10.0,0.3
1.0,0.3
10.0,0.3
6.0,0.3
3.0,0.3
10.0,0.3
1.0,0.3
10.0,0.3
1.0,0.3
10.0,0.3
6.0,0.3
6.0,0.3
10.0,0.3
10.0,0.3
10.0,0.3
10.0,0.3
10.0,0.3
2.0,0.3
10.0,0.3
30.0,0.3
30.0,0.3
30.0,0.3
10.0,0.3
6.0,0.3
10.0,0.3
10.0,0.3
1.0,0.3
10.0,0.3
2.0,0.3
10.0,0.3
30.0,0.3
1.0,0.3
10.0,0.3
10.0,0.3
30.0,0.3
1.0,0.3
2.0,0.3
10.0,0.3
10.0,0.3
30.0,0.3
30.0,0.3
10.0,0.3
1.0,0.3
30.0,0.3
1.0,0.3
10.0,0.3
30.0,0.3
10.0,0.3
1.0,0.3
10.0,0.3
1.0,0.3
30.0,0.3
1.0,0.3
10.0,0.3
10.0,0.3
2.0,0.3
6.0,0.3
10.0,0.3
10.0,0.3
2.0,0.3
10.0,0.3
10.0,0.3
10.0,0.3
1.0,0.3
30.0,0.3
30.0,0.3
10.0,0.3
1.0,0.3
6.0,0.3
1.0,0.3
30.0,0.3
2.0,0.3
1.0,0.3
1.0,0.3
10.0,0.3
30.0,0.3
10.0,0.3
1.0,0.3
6.0,0.3
1.0,0.3
10.0,0.3
10.0,0.3
30.0,0.3
10.0,0.3
10.0,0.3
30.0,0.3
1.0,0.3
30.0,0.3
10.0,0.3
10.0,0.3
10.0,0.3
30.0,0.3
10.0,0.3
1.0,0.3
10.0,0.3
2.0,0.3
30.0,0.3
10.0,0.3
1.0,0.3
10.0,0.3
10.0,0.3
10.0,0.3
10.0,0.3
10.0,0.3
1.0,0.3
10.0,0.3
30.0,0.3
1.0,0.3
2.0,0.3
2.0,0.3
10.0,0.3
10.0,0.3
30.0,0.3
1.0,0.3
10.0,0.3
1.0,0.5
4.0,0.5
4.0,0.5
84.0,0.5
4.0,0.5
2.0,0.5
7.0,0.5
12.0,0.5
14.0,0.5
2.0,0.5
84.0,0.5
4.0,0.5
4.0,0.5
1.0,0.5
14.0,0.5
28.0,0.5
84.0,0.5
12.0,0.5
1.0,0.5
12.0,0.5
12.0,0.5
21.0,0.5
6.0,0.5
12.0,0.5
12.0,0.5
4.0,0.5
2.0,0.5
28.0,0.5
6.0,0.5
4.0,0.5
2.0,0.5
6.0,0.5
4.0,0.5
28.0,0.5
4.0,0.5
6.0,0.5
3.0,0.5
6.0,0.5
12.0,0.5
4.0,0.5
1.0,0.5
4.0,0.5
28.0,0.5
12.0,0.5
1.0,0.5
12.0,0.5
12.0,0.5
84.0,0.5
12.0,0.5
1.0,0.5
2.0,0.5
12.0,0.5
6.0,0.5
1.0,0.5
14.0,0.5
84.0,0.5
84.0,0.5
4.0,0.5
14.0,0.5
4.0,0.5
4.0,0.5
1.0,0.5
6.0,0.5
4.0,0.5
4.0,0.5
28.0,0.5
12.0,0.5
1.0,0.5
28.0,0.5
6.0,0.5
4.0,0.5
28.0,0.5
12.0,0.5
2.0,0.5
14.0,0.5
84.0,0.5
84.0,0.5
4.0,0.5
4.0,0.5
7.0,0.5
21.0,0.5
1.0,0.5
4.0,0.5
21.0,0.5
12.0,0.5
12.0,0.5
14.0,0.5
12.0,0.5
12.0,0.5
12.0,0.5
84.0,0.5
28.0,0.5
12.0,0.5
28.0,0.5
28.0,0.5
1.0,0.5
12.0,0.5
28.0,0.5
42.0,0.5
28.0,0.5
4.0,0.5
4.0,0.5
84.0,0.5
4.0,0.5
7.0,0.5
28.0,0.5
12.0,0.5
2.0,0.5
28.0,0.5
4.0,0.5
12.0,0.5
12.0,0.5
84.0,0.5
4.0,0.5
1.0,0.5
6.0,0.5
28.0,0.5
4.0,0.5
4.0,0.5
4.0,0.5
12.0,0.5
1.0,0.5
6.0,0.5
12.0,0.5
12.0,0.5
6.0,0.5
4.0,0.5
12.0,0.5
6.0,0.5
4.0,0.5
4.0,0.5
4.0,0.5
28.0,0.5
12.0,0.5
28.0,0.5
12.0,0.5
1.0,0.5
14.0,0.5
84.0,0.5
3.0,0.5
12.0,0.5
84.0,0.5
28.0,0.5
12.0,0.5
4.0,0.5
4.0,0.5
28.0,0.5
28.0,0.5
28.0,0.5
84.0,0.5
21.0,0.5
4.0,0.5
4.0,0.5
28.0,0.5
21.0,0.5
7.0,0.5
28.0,0.5
12.0,0.5
1.0,0.5
4.0,0.5
4.0,0.5
12.0,0.5
4.0,0.5
4.0,0.5
4.0,0.5
12.0,0.5
4.0,0.5
4.0,0.5
12.0,0.5
28.0,0.5
12.0,0.5
12.0,0.5
14.0,0.5
84.0,0.5
12.0,0.5
4.0,0.5
4.0,0.5
21.0,0.5
12.0,0.5
12.0,0.5
14.0,0.5
4.0,0.5
4.0,0.5
7.0,0.5
12.0,0.5
4.0,0.5
4.0,0.5
4.0,0.5
28.0,0.5
28.0,0.5
4.0,0.5
4.0,0.5
1.0,0.5
1.0,0.5
84.0,0.5
7.0,0.5
12.0,0.5
28.0,0.5
3.0,0.5
4.0,0.5
6.0,0.7
3.0,0.7
6.0,0.7
6.0,0.7
2.0,0.7
6.0,0.7
6.0,0.7
6.0,0.7
2.0,0.7
2.0,0.7
6.0,0.7
6.0,0.7
2.0,0.7
6.0,0.7
6.0,0.7
2.0,0.7
6.0,0.7
6.0,0.7
6.0,0.7
3.0,0.7
6.0,0.7
6.0,0.7
2.0,0.7
1.0,0.7
6.0,0.7
3.0,0.7
6.0,0.7
6.0,0.7
2.0,0.7
2.0,0.7
2.0,0.7
3.0,0.7
6.0,0.7
2.0,0.7
6.0,0.7
6.0,0.7
6.0,0.7
6.0,0.7
6.0,0.7
6.0,0.7
1.0,0.7
2.0,0.7
3.0,0.7
6.0,0.7
1.0,0.7
6.0,0.7
6.0,0.7
3.0,0.7
6.0,0.7
2.0,0.7
6.0,0.7
6.0,0.7
1.0,0.7
3.0,0.7
2.0,0.7
6.0,0.7
6.0,0.7
6.0,0.7
6.0,0.7
1.0,0.7
3.0,0.7
6.0,0.7
2.0,0.7
6.0,0.7
6.0,0.7
6.0,0.7
6.0,0.7
6.0,0.7
6.0,0.7
2.0,0.7
6.0,0.7
2.0,0.7
1.0,0.7
6.0,0.7
6.0,0.7
3.0,0.7
6.0,0.7
2.0,0.7
6.0,0.7
2.0,0.7
6.0,0.7
6.0,0.7
2.0,0.7
6.0,0.7
6.0,0.7
6.0,0.7
1.0,0.7
2.0,0.7
3.0,0.7
2.0,0.7
1.0,0.7
1.0,0.7
6.0,0.7
2.0,0.7
3.0,0.7
6.0,0.7
6.0,0.7
6.0,0.7
2.0,0.7
6.0,0.7
6.0,0.7
2.0,0.7
6.0,0.7
6.0,0.7
3.0,0.7
2.0,0.7
6.0,0.7
2.0,0.7
3.0,0.7
6.0,0.7
6.0,0.7
2.0,0.7
6.0,0.7
3.0,0.7
2.0,0.7
6.0,0.7
1.0,0.7
2.0,0.7
6.0,0.7
3.0,0.7
6.0,0.7
2.0,0.7
2.0,0.7
2.0,0.7
1.0,0.7
6.0,0.7
1.0,0.7
2.0,0.7
2.0,0.7
6.0,0.7
2.0,0.7
2.0,0.7
1.0,0.7
2.0,0.7
2.0,0.7
6.0,0.7
1.0,0.7
6.0,0.7
2.0,0.7
3.0,0.7
1.0,0.7
2.0,0.7
3.0,0.7
1.0,0.7
6.0,0.7
3.0,0.7
6.0,0.7
3.0,0.7
6.0,0.7
3.0,0.7
3.0,0.7
2.0,0.7
6.0,0.7
2.0,0.7
6.0,0.7
6.0,0.7
6.0,0.7
3.0,0.7
6.0,0.7
6.0,0.7
2.0,0.7
1.0,0.7
2.0,0.7
2.0,0.7
2.0,0.7
2.0,0.7
3.0,0.7
6.0,0.7
6.0,0.7
1.0,0.7
1.0,0.7
6.0,0.7
3.0,0.7
6.0,0.7
6.0,0.7
2.0,0.7
6.0,0.7
2.0,0.7
6.0,0.7
6.0,0.7
6.0,0.7
2.0,0.7
6.0,0.7
2.0,0.7
6.0,0.7
2.0,0.7
1.0,0.7
6.0,0.7
6.0,0.7
2.0,0.7
1.0,0.7
6.0,0.7
3.0,0.7
6.0,0.7
1.0,0.7
3.0,0.7
2.0,0.7
6.0,0.7
6.0,0.7
2.0,0.7
3.0,0.9
3.0,0.9
1.0,0.9
3.0,0.9
6.0,0.9
6.0,0.9
2.0,0.9
1.0,0.9
6.0,0.9
6.0,0.9
1.0,0.9
6.0,0.9
3.0,0.9
1.0,0.9
1.0,0.9
1.0,0.9
3.0,0.9
1.0,0.9
3.0,0.9
6.0,0.9
1.0,0.9
1.0,0.9
6.0,0.9
1.0,0.9
3.0,0.9
6.0,0.9
6.0,0.9
1.0,0.9
1.0,0.9
1.0,0.9
3.0,0.9
1.0,0.9
1.0,0.9
1.0,0.9
2.0,0.9
3.0,0.9
3.0,0.9
6.0,0.9
1.0,0.9
6.0,0.9
6.0,0.9
1.0,0.9
3.0,0.9
1.0,0.9
6.0,0.9
1.0,0.9
1.0,0.9
3.0,0.9
1.0,0.9
3.0,0.9
3.0,0.9
1.0,0.9
1.0,0.9
1.0,0.9
1.0,0.9
1.0,0.9
1.0,0.9
2.0,0.9
6.0,0.9
1.0,0.9
1.0,0.9
2.0,0.9
6.0,0.9
1.0,0.9
1.0,0.9
1.0,0.9
2.0,0.9
2.0,0.9
3.0,0.9
3.0,0.9
1.0,0.9
6.0,0.9
3.0,0.9
1.0,0.9
3.0,0.9
1.0,0.9
1.0,0.9
1.0,0.9
3.0,0.9
1.0,0.9
1.0,0.9
1.0,0.9
1.0,0.9
2.0,0.9
1.0,0.9
1.0,0.9
3.0,0.9
1.0,0.9
1.0,0.9
2.0,0.9
1.0,0.9
6.0,0.9
3.0,0.9
1.0,0.9
2.0,0.9
2.0,0.9
1.0,0.9
1.0,0.9
3.0,0.9
3.0,0.9
3.0,0.9
1.0,0.9
1.0,0.9
1.0,0.9
6.0,0.9
1.0,0.9
3.0,0.9
6.0,0.9
1.0,0.9
1.0,0.9
1.0,0.9
6.0,0.9
3.0,0.9
1.0,0.9
3.0,0.9
3.0,0.9
1.0,0.9
1.0,0.9
1.0,0.9
3.0,0.9
3.0,0.9
1.0,0.9
1.0,0.9
1.0,0.9
6.0,0.9
2.0,0.9
1.0,0.9
3.0,0.9
3.0,0.9
1.0,0.9
1.0,0.9
3.0,0.9
3.0,0.9
1.0,0.9
3.0,0.9
2.0,0.9
1.0,0.9
1.0,0.9
2.0,0.9
6.0,0.9
3.0,0.9
3.0,0.9
2.0,0.9
1.0,0.9
1.0,0.9
3.0,0.9
3.0,0.9
1.0,0.9
3.0,0.9
2.0,0.9
2.0,0.9
1.0,0.9
3.0,0.9
6.0,0.9
1.0,0.9
3.0,0.9
6.0,0.9
6.0,0.9
3.0,0.9
2.0,0.9
2.0,0.9
1.0,0.9
3.0,0.9
1.0,0.9
1.0,0.9
2.0,0.9
3.0,0.9
1.0,0.9
3.0,0.9
1.0,0.9
1.0,0.9
1.0,0.9
2.0,0.9
