length,p_a
63.0,0.0
63.0,0.0
63.0,0.0
63.0,0.0
63.0,0.0
63.0,0.0
63.0,0.0
63.0,0.0
63.0,0.0
63.0,0.0
63.0,0.0
63.0,0.0
63.0,0.0
63.0,0.0
63.0,0.0
63.0,0.0
63.0,0.0
63.0,0.0
63.0,0.0
63.0,0.0
63.0,0.0
63.0,0.0
63.0,0.0
63.0,0.0
63.0,0.0
63.0,0.0
63.0,0.0
63.0,0.0
63.0,0.0
63.0,0.0
63.0,0.0
63.0,0.0
63.0,0.0
63.0,0.0
63.0,0.0
63.0,0.0
63.0,0.0
63.0,0.0
63.0,0.0
63.0,0.0
63.0,0.0
63.0,0.0
63.0,0.0
63.0,0.0
63.0,0.0
63.0,0.0
63.0,0.0
63.0,0.0
63.0,0.0
63.0,0.0
63.0,0.0
63.0,0.0
63.0,0.0
63.0,0.0
63.0,0.0
63.0,0.0
63.0,0.0
63.0,0.0
63.0,0.0
63.0,0.0
63.0,0.0
63.0,0.0
63.0,0.0
63.0,0.0
63.0,0.0
63.0,0.0
63.0,0.0
63.0,0.0
63.0,0.0
63.0,0.0
63.0,0.0
63.0,0.0
63.0,0.0
63.0,0.0
63.0,0.0
63.0,0.0
63.0,0.0
63.0,0.0
63.0,0.0
63.0,0.0
63.0,0.0
63.0,0.0
63.0,0.0
63.0,0.0
63.0,0.0
63.0,0.0
63.0,0.0
63.0,0.0
63.0,0.0
63.0,0.0
63.0,0.0
63.0,0.0
63.0,0.0
63.0,0.0
63.0,0.0
63.0,0.0
63.0,0.0
63.0,0.0
63.0,0.0
63.0,0.0
63.0,0.0
63.0,0.0
63.0,0.0
63.0,0.0
63.0,0.0
63.0,0.0
63.0,0.0
63.0,0.0
63.0,0.0
63.0,0.0
63.0,0.0
63.0,0.0
63.0,0.0
63.0,0.0
63.0,0.0
63.0,0.0
63.0,0.0
63.0,0.0
63.0,0.0
63.0,0.0
63.0,0.0
63.0,0.0
63.0,0.0
63.0,0.0
63.0,0.0
63.0,0.0
63.0,0.0
63.0,0.0
63.0,0.0
63.0,0.0
63.0,0.0
63.0,0.0
63.0,0.0
63.0,0.0
63.0,0.0
63.0,0.0
63.0,0.0
63.0,0.0
63.0,0.0
63.0,0.0
63.0,0.0
63.0,0.0
63.0,0.0
63.0,0.0
63.0,0.0
63.0,0.0
63.0,0.0
63.0,0.0
63.0,0.0
63.0,0.0
63.0,0.0
63.0,0.0
63.0,0.0
63.0,0.0
63.0,0.0
63.0,0.0
63.0,0.0
63.0,0.0
63.0,0.0
63.0,0.0
63.0,0.0
63.0,0.0
63.0,0.0
63.0,0.0
63.0,0.0
63.0,0.0
63.0,0.0
63.0,0.0
63.0,0.0
63.0,0.0
63.0,0.0
63.0,0.0
63.0,0.0
63.0,0.0
63.0,0.0
63.0,0.0
63.0,0.0
63.0,0.0
63.0,0.0
63.0,0.0
63.0,0.0
63.0,0.0
63.0,0.0
63.0,0.0
63.0,0.0
63.0,0.0
63.0,0.0
63.0,0.0
63.0,0.0
63.0,0.0
63.0,0.0
63.0,0.0
63.0,0.0
63.0,0.0
63.0,0.0
63.0,0.0
63.0,0.0
63.0,0.0
63.0,0.0
63.0,0.0
60.0,0.1
30.0,0.1
99.0,0.1
60.0,0.1
44.0,0.1
202.0,0.1
44.0,0.1
60.0,0.1
60.0,0.1
165.0,0.1
1.0,0.1
1.0,0.1
44.0,0.1
44.0,0.1
165.0,0.1
1.0,0.1
165.0,0.1
11.0,0.1
1.0,0.1
99.0,0.1
60.0,0.1
1.0,0.1
44.0,0.1
1.0,0.1
180.0,0.1
44.0,0.1
1.0,0.1
20.0,0.1
165.0,0.1
99.0,0.1
60.0,0.1
60.0,0.1
1.0,0.1
60.0,0.1
1.0,0.1
30.0,0.1
180.0,0.1
44.0,0.1
30.0,0.1
1.0,0.1
36.0,0.1
36.0,0.1
44.0,0.1
165.0,0.1
1.0,0.1
44.0,0.1
45.0,0.1
60.0,0.1
1.0,0.1
1.0,0.1
110.0,0.1
