length,p_a
35.0,0.0
29.0,0.0
35.0,0.0
35.0,0.0
35.0,0.0
35.0,0.0
1.0,0.0
35.0,0.0
35.0,0.0
35.0,0.0
35.0,0.0
1.0,0.0
35.0,0.0
35.0,0.0
35.0,0.0
1.0,0.0
35.0,0.0
35.0,0.0
1.0,0.0
1.0,0.0
29.0,0.0
1.0,0.0
1.0,0.0
35.0,0.0
35.0,0.0
35.0,0.0
35.0,0.0
35.0,0.0
35.0,0.0
1.0,0.0
35.0,0.0
29.0,0.0
35.0,0.0
29.0,0.0
35.0,0.0
29.0,0.0
35.0,0.0
29.0,0.0
35.0,0.0
35.0,0.0
35.0,0.0
35.0,0.0
35.0,0.0
35.0,0.0
35.0,0.0
29.0,0.0
35.0,0.0
35.0,0.0
29.0,0.0
1.0,0.0
35.0,0.0
29.0,0.0
29.0,0.0
1.0,0.0
35.0,0.0
35.0,0.0
35.0,0.0
35.0,0.0
35.0,0.0
35.0,0.0
1.0,0.0
1.0,0.0
35.0,0.0
1.0,0.0
35.0,0.0
35.0,0.0
35.0,0.0
29.0,0.0
35.0,0.0
35.0,0.0
35.0,0.0
35.0,0.0
1.0,0.0
35.0,0.0
35.0,0.0
35.0,0.0
35.0,0.0
35.0,0.0
1.0,0.0
29.0,0.0
35.0,0.0
35.0,0.0
35.0,0.0
35.0,0.0
35.0,0.0
35.0,0.0
35.0,0.0
29.0,0.0
29.0,0.0
35.0,0.0
35.0,0.0
1.0,0.0
35.0,0.0
35.0,0.0
29.0,0.0
35.0,0.0
35.0,0.0
35.0,0.0
35.0,0.0
1.0,0.0
29.0,0.0
35.0,0.0
35.0,0.0
29.0,0.0
35.0,0.0
35.0,0.0
35.0,0.0
35.0,0.0
35.0,0.0
1.0,0.0
29.0,0.0
35.0,0.0
35.0,0.0
35.0,0.0
35.0,0.0
29.0,0.0
29.0,0.0
1.0,0.0
35.0,0.0
35.0,0.0
35.0,0.0
29.0,0.0
1.0,0.0
35.0,0.0
35.0,0.0
1.0,0.0
35.0,0.0
35.0,0.0
29.0,0.0
29.0,0.0
35.0,0.0
35.0,0.0
35.0,0.0
35.0,0.0
35.0,0.0
35.0,0.0
35.0,0.0
35.0,0.0
1.0,0.0
35.0,0.0
35.0,0.0
35.0,0.0
29.0,0.0
1.0,0.0
29.0,0.0
35.0,0.0
35.0,0.0
35.0,0.0
35.0,0.0
35.0,0.0
35.0,0.0
1.0,0.0
29.0,0.0
1.0,0.0
35.0,0.0
35.0,0.0
35.0,0.0
1.0,0.0
35.0,0.0
35.0,0.0
35.0,0.0
29.0,0.0
35.0,0.0
35.0,0.0
35.0,0.0
1.0,0.0
35.0,0.0
35.0,0.0
29.0,0.0
35.0,0.0
35.0,0.0
29.0,0.0
35.0,0.0
35.0,0.0
35.0,0.0
35.0,0.0
29.0,0.0
35.0,0.0
1.0,0.0
1.0,0.0
35.0,0.0
35.0,0.0
29.0,0.0
35.0,0.0
35.0,0.0
35.0,0.0
1.0,0.0
35.0,0.0
29.0,0.0
35.0,0.0
29.0,0.0
35.0,0.0
35.0,0.0
35.0,0.0
1.0,0.0
35.0,0.0
1.0,0.0
35.0,0.0
1.0,0.0
35.0,0.0
40.0,0.1
10.0,0.1
10.0,0.1
8.0,0.1
1.0,0.1
8.0,0.1
6.0,0.1
24.0,0.1
40.0,0.1
202.0,0.1
1.0,0.1
1.0,0.1
2.0,0.1
202.0,0.1
2.0,0.1
1.0,0.1
202.0,0.1
70.0,0.1
70.0,0.1
70.0,0.1
10.0,0.1
1.0,0.1
10.0,0.1
1.0,0.1
1.0,0.1
10.0,0.1
10.0,0.1
1.0,0.1
8.0,0.1
202.0,0.1
2.0,0.1
1.0,0.1
10.0,0.1
40.0,0.1
10.0,0.1
40.0,0.1
8.0,0.1
70.0,0.1
10.0,0.1
6.0,0.1
70.0,0.1
2.0,0.1
8.0,0.1
8.0,0.1
1.0,0.1
10.0,0.1
1.0,0.1
70.0,0.1
70.0,0.1
2.0,0.1
8.0,0.1
1.0,0.1
2.0,0.1
2.0,0.1
202.0,0.1
10.0,0.1
105.0,0.1
70.0,0.1
40.0,0.1
70.0,0.1
8.0,0.1
8.0,0.1
1.0,0.1
202.0,0.1
2.0,0.1
70.0,0.1
70.0,0.1
70.0,0.1
70.0,0.1
1.0,0.1
202.0,0.1
70.0,0.1
1.0,0.1
10.0,0.1
6.0,0.1
1.0,0.1
6.0,0.1
24.0,0.1
40.0,0.1
40.0,0.1
105.0,0.1
10.0,0.1
1.0,0.1
1.0,0.1
70.0,0.1
70.0,0.1
8.0,0.1
1.0,0.1
1.0,0.1
10.0,0.1
40.0,0.1
10.0,0.1
202.0,0.1
40.0,0.1
6.0,0.1
70.0,0.1
40.0,0.1
40.0,0.1
1.0,0.1
10.0,0.1
1.0,0.1
1.0,0.1
8.0,0.1
40.0,0.1
40.0,0.1
202.0,0.1
202.0,0.1
6.0,0.1
70.0,0.1
70.0,0.1
202.0,0.1
2.0,0.1
8.0,0.1
70.0,0.1
70.0,0.1
2.0,0.1
1.0,0.1
70.0,0.1
1.0,0.1
1.0,0.1
1.0,0.1
70.0,0.1
1.0,0.1
70.0,0.1
202.0,0.1
24.0,0.1
70.0,0.1
40.0,0.1
1.0,0.1
10.0,0.1
40.0,0.1
70.0,0.1
70.0,0.1
70.0,0.1
24.0,0.1
8.0,0.1
10.0,0.1
2.0,0.1
2.0,0.1
1.0,0.1
8.0,0.1
105.0,0.1
70.0,0.1
1.0,0.1
8.0,0.1
10.0,0.1
40.0,0.1
10.0,0.1
10.0,0.1
70.0,0.1
8.0,0.1
10.0,0.1
8.0,0.1
202.0,0.1
10.0,0.1
40.0,0.1
1.0,0.1
6.0,0.1
1.0,0.1
24.0,0.1
40.0,0.1
70.0,0.1
2.0,0.1
6.0,0.1
70.0,0.1
40.0,0.1
8.0,0.1
24.0,0.1
70.0,0.1
202.0,0.1
1.0,0.1
24.0,0.1
1.0,0.1
202.0,0.1
202.0,0.1
70.0,0.1
70.0,0.1
202.0,0.1
40.0,0.1
2.0,0.1
70.0,0.1
1.0,0.1
24.0,0.1
10.0,0.1
105.0,0.1
40.0,0.1
70.0,0.1
202.0,0.1
1.0,0.1
10.0,0.1
70.0,0.1
8.0,0.1
70.0,0.1
40.0,0.1
70.0,0.1
2.0,0.1
1.0,0.1
202.0,0.1
202.0,0.1
202.0,0.1
3.0,0.3
12.0,0.3
12.0,0.3
30.0,0.3
60.0,0.3
60.0,0.3
12.0,0.3
30.0,0.3
12.0,0.3
60.0,0.3
10.0,0.3
12.0,0.3
12.0,0.3
15.0,0.3
12.0,0.3
12.0,0.3
60.0,0.3
30.0,0.3
12.0,0.3
12.0,0.3
