p_a,SpinGlass
0.0,-44.0
0.0,-52.0
0.0,-52.0
0.0,-60.0
0.0,-64.0
0.0,-60.0
0.0,-60.0
0.0,-56.0
0.0,-56.0
0.0,-60.0
0.0,-52.0
0.0,-56.0
0.0,-56.0
0.0,-64.0
0.0,-60.0
0.0,-64.0
0.0,-56.0
0.0,-60.0
0.0,-64.0
0.0,-52.0
0.0,-56.0
0.0,-56.0
0.0,-64.0
0.0,-48.0
0.0,-56.0
0.0,-60.0
0.0,-60.0
0.0,-64.0
0.0,-60.0
0.0,-52.0
0.0,-60.0
0.0,-56.0
0.0,-52.0
0.0,-64.0
0.0,-56.0
0.0,-64.0
0.0,-64.0
0.0,-60.0
0.0,-60.0
0.0,-52.0
0.0,-60.0
0.0,-60.0
0.0,-60.0
0.0,-52.0
0.0,-48.0
0.0,-60.0
0.0,-60.0
0.0,-52.0
0.0,-56.0
0.0,-60.0
0.0,-64.0
0.0,-60.0
0.0,-52.0
0.0,-56.0
0.0,-60.0
0.0,-64.0
0.0,-60.0
0.0,-60.0
0.0,-60.0
0.0,-48.0
0.0,-56.0
0.0,-56.0
0.0,-60.0
0.0,-60.0
0.0,-56.0
0.0,-60.0
0.0,-40.0
0.0,-52.0
0.0,-56.0
0.0,-60.0
0.0,-44.0
0.0,-60.0
0.0,-56.0
0.0,-52.0
0.0,-64.0
0.0,-56.0
0.0,-60.0
0.0,-60.0
0.0,-60.0
0.0,-52.0
0.0,-32.0
0.0,-56.0
0.0,-60.0
0.0,-64.0
0.0,-60.0
0.0,-56.0
0.0,-56.0
0.0,-60.0
0.0,-60.0
0.0,-56.0
0.0,-60.0
0.0,-56.0
0.0,-44.0
0.0,-56.0
0.0,-60.0
0.0,-56.0
0.0,-56.0
0.0,-60.0
0.0,-60.0
0.0,-52.0
0.0,-64.0
0.0,-60.0
0.0,-60.0
0.0,-56.0
0.0,-52.0
0.0,-60.0
0.0,-48.0
0.0,-60.0
0.0,-60.0
0.0,-44.0
0.0,-56.0
0.0,-56.0
0.0,-52.0
0.0,-52.0
0.0,-56.0
0.0,-52.0
0.0,-56.0
0.0,-48.0
0.0,-56.0
0.0,-64.0
0.0,-60.0
0.0,-60.0
0.0,-52.0
0.0,-52.0
0.0,-56.0
0.0,-56.0
0.0,-64.0
0.0,-64.0
0.0,-60.0
0.0,-60.0
0.0,-60.0
0.0,-60.0
0.0,-56.0
0.0,-56.0
0.0,-60.0
0.0,-64.0
0.0,-44.0
0.0,-48.0
0.0,-52.0
0.0,-60.0
0.0,-52.0
0.0,-52.0
0.0,-56.0
0.0,-44.0
0.0,-56.0
0.0,-60.0
0.0,-52.0
0.0,-56.0
0.0,-44.0
0.0,-52.0
0.0,-64.0
0.0,-64.0
0.0,-60.0
0.0,-52.0
0.0,-60.0
0.0,-52.0
0.0,-64.0
0.0,-56.0
0.0,-60.0
0.0,-60.0
0.0,-48.0
0.0,-52.0
0.0,-56.0
0.0,-60.0
0.0,-64.0
0.0,-56.0
0.0,-56.0
0.0,-52.0
0.0,-60.0
0.0,-56.0
0.0,-60.0
0.0,-64.0
0.0,-48.0
0.0,-60.0
0.0,-48.0
0.0,-56.0
0.0,-60.0
0.0,-64.0
0.0,-64.0
0.0,-60.0
0.0,-56.0
0.0,-52.0
0.0,-56.0
0.0,-60.0
0.0,-48.0
0.0,-64.0
0.0,-56.0
0.0,-60.0
0.0,-40.0
0.0,-52.0
0.0,-60.0
0.0,-60.0
0.0,-60.0
0.0,-48.0
0.0,-60.0
0.0,-60.0
0.0,-56.0
0.0,-52.0
0.0,-52.0
0.0,-56.0
0.000244140625,-56.0
0.000244140625,-60.0
0.000244140625,-64.0
0.000244140625,-60.0
0.000244140625,-48.0
0.000244140625,-44.0
0.000244140625,-48.0
0.000244140625,-52.0
0.000244140625,-64.0
0.000244140625,-52.0
0.000244140625,-36.0
0.000244140625,-52.0
0.000244140625,-44.0
0.000244140625,-48.0
0.000244140625,-64.0
0.000244140625,-60.0
0.000244140625,-64.0
0.000244140625,-60.0
0.000244140625,-56.0
0.000244140625,-60.0
0.000244140625,-48.0
0.000244140625,-64.0
0.000244140625,-60.0
0.000244140625,-52.0
0.000244140625,-60.0
0.000244140625,-52.0
0.000244140625,-56.0
0.000244140625,-64.0
0.000244140625,-60.0
0.000244140625,-48.0
0.000244140625,-60.0
0.000244140625,-60.0
0.000244140625,-40.0
0.000244140625,-60.0
0.000244140625,-52.0
0.000244140625,-64.0
0.000244140625,-36.0
0.000244140625,-48.0
0.000244140625,-52.0
0.000244140625,-44.0
0.000244140625,-56.0
0.000244140625,-64.0
0.000244140625,-52.0
0.000244140625,-48.0
0.000244140625,-60.0
0.000244140625,-56.0
0.000244140625,-40.0
0.000244140625,-60.0
0.000244140625,-60.0
0.000244140625,-52.0
0.000244140625,-64.0
0.000244140625,-64.0
0.000244140625,-52.0
0.000244140625,-52.0
0.000244140625,-64.0
0.000244140625,-60.0
0.000244140625,-56.0
0.000244140625,-64.0
0.000244140625,-60.0
0.000244140625,-60.0
0.000244140625,-60.0
0.000244140625,-60.0
0.000244140625,-60.0
0.000244140625,-60.0
0.000244140625,-52.0
0.000244140625,-64.0
0.000244140625,-56.0
0.000244140625,-56.0
0.000244140625,-56.0
0.000244140625,-64.0
0.000244140625,-48.0
0.000244140625,-56.0
0.000244140625,-60.0
0.000244140625,-56.0
0.000244140625,-60.0
0.000244140625,-52.0
0.000244140625,-56.0
0.000244140625,-60.0
0.000244140625,-56.0
0.000244140625,-60.0
0.000244140625,-60.0
0.000244140625,-64.0
0.000244140625,-60.0
0.000244140625,-60.0
0.000244140625,-48.0
0.000244140625,-56.0
0.000244140625,-60.0
0.000244140625,-60.0
0.000244140625,-52.0
0.000244140625,-56.0
0.000244140625,-64.0
0.000244140625,-64.0
0.000244140625,-64.0
0.000244140625,-60.0
0.000244140625,-56.0
0.000244140625,-60.0
0.000244140625,-60.0
0.000244140625,-64.0
0.000244140625,-52.0
0.000244140625,-44.0
0.000244140625,-64.0
0.000244140625,-64.0
0.000244140625,-52.0
0.000244140625,-44.0
0.000244140625,-52.0
0.000244140625,-52.0
0.000244140625,-64.0
0.000244140625,-64.0
0.000244140625,-64.0
0.000244140625,-60.0
0.000244140625,-60.0
0.000244140625,-56.0
0.000244140625,-64.0
0.000244140625,-60.0
0.000244140625,-60.0
0.000244140625,-60.0
0.000244140625,-52.0
0.000244140625,-56.0
0.000244140625,-48.0
0.000244140625,-56.0
0.000244140625,-56.0
0.000244140625,-64.0
0.000244140625,-60.0
0.000244140625,-44.0
0.000244140625,-60.0
0.000244140625,-52.0
0.000244140625,-60.0
0.000244140625,-48.0
0.000244140625,-60.0
0.000244140625,-56.0
0.000244140625,-64.0
0.000244140625,-64.0
0.000244140625,-56.0
0.000244140625,-60.0
0.000244140625,-60.0
0.000244140625,-52.0
0.000244140625,-56.0
0.000244140625,-60.0
0.000244140625,-44.0
0.000244140625,-56.0
0.000244140625,-52.0
0.000244140625,-64.0
0.000244140625,-56.0
0.000244140625,-48.0
0.000244140625,-60.0
0.000244140625,-56.0
0.000244140625,-44.0
0.000244140625,-48.0
0.000244140625,-60.0
0.000244140625,-48.0
0.000244140625,-56.0
0.000244140625,-60.0
0.000244140625,-64.0
0.000244140625,-52.0
0.000244140625,-48.0
0.000244140625,-56.0
0.000244140625,-48.0
0.000244140625,-48.0
0.000244140625,-60.0
0.000244140625,-44.0
0.000244140625,-52.0
0.000244140625,-44.0
0.000244140625,-60.0
0.000244140625,-64.0
0.000244140625,-60.0
0.000244140625,-60.0
0.000244140625,-64.0
0.000244140625,-64.0
0.000244140625,-56.0
0.000244140625,-60.0
0.000244140625,-52.0
0.000244140625,-60.0
0.000244140625,-56.0
0.000244140625,-56.0
0.000244140625,-52.0
0.000244140625,-48.0
0.000244140625,-56.0
0.000244140625,-56.0
0.000244140625,-60.0
0.000244140625,-52.0
0.000244140625,-52.0
0.000244140625,-60.0
0.000244140625,-60.0
0.000244140625,-48.0
0.000244140625,-52.0
0.000244140625,-52.0
0.000244140625,-56.0
0.000244140625,-60.0
0.000244140625,-52.0
0.000244140625,-56.0
0.000244140625,-52.0
0.000244140625,-48.0
0.000244140625,-52.0
0.000244140625,-60.0
0.000244140625,-64.0
0.000244140625,-56.0
0.000244140625,-64.0
0.000244140625,-60.0
0.000244140625,-52.0
0.000244140625,-60.0
0.015625,-56.0
0.015625,-64.0
0.015625,-48.0
0.015625,-48.0
0.015625,-56.0
0.015625,-56.0
0.015625,-52.0
0.015625,-60.0
