energy,p_a
37.0,0.0
40.0,0.0
40.0,0.0
38.0,0.0
36.0,0.0
41.0,0.0
39.0,0.0
37.0,0.0
36.0,0.0
39.0,0.0
35.0,0.0
43.0,0.0
36.0,0.0
42.0,0.0
40.0,0.0
38.0,0.0
33.0,0.0
40.0,0.0
40.0,0.0
37.0,0.0
38.0,0.0
44.0,0.0
40.0,0.0
34.0,0.0
35.0,0.0
34.0,0.0
37.0,0.0
33.0,0.0
39.0,0.0
33.0,0.0
40.0,0.0
34.0,0.0
34.0,0.0
36.0,0.0
36.0,0.0
35.0,0.0
35.0,0.0
33.0,0.0
42.0,0.0
38.0,0.0
39.0,0.0
35.0,0.0
34.0,0.0
33.0,0.0
35.0,0.0
35.0,0.0
32.0,0.0
35.0,0.0
39.0,0.0
45.0,0.0
36.0,0.0
39.0,0.0
38.0,0.0
33.0,0.0
44.0,0.0
40.0,0.0
37.0,0.0
33.0,0.0
43.0,0.0
33.0,0.0
39.0,0.0
39.0,0.0
36.0,0.0
34.0,0.0
35.0,0.0
40.0,0.0
41.0,0.0
33.0,0.0
37.0,0.0
32.0,0.0
34.0,0.0
38.0,0.0
39.0,0.0
41.0,0.0
39.0,0.0
34.0,0.0
33.0,0.0
36.0,0.0
37.0,0.0
33.0,0.0
37.0,0.0
36.0,0.0
36.0,0.0
38.0,0.0
35.0,0.0
35.0,0.0
37.0,0.0
42.0,0.0
34.0,0.0
40.0,0.0
33.0,0.0
42.0,0.0
37.0,0.0
38.0,0.0
39.0,0.0
30.0,0.0
32.0,0.0
38.0,0.0
37.0,0.0
33.0,0.0
34.0,0.0
38.0,0.0
41.0,0.0
37.0,0.0
31.0,0.0
37.0,0.0
37.0,0.0
43.0,0.0
43.0,0.0
36.0,0.0
42.0,0.0
36.0,0.0
39.0,0.0
34.0,0.0
37.0,0.0
33.0,0.0
35.0,0.0
31.0,0.0
44.0,0.0
36.0,0.0
34.0,0.0
32.0,0.0
40.0,0.0
32.0,0.0
38.0,0.0
36.0,0.0
35.0,0.0
35.0,0.0
40.0,0.0
40.0,0.0
34.0,0.0
35.0,0.0
33.0,0.0
39.0,0.0
35.0,0.0
26.0,0.0
40.0,0.0
39.0,0.0
38.0,0.0
39.0,0.0
33.0,0.0
34.0,0.0
38.0,0.0
37.0,0.0
36.0,0.0
36.0,0.0
36.0,0.0
37.0,0.0
39.0,0.0
33.0,0.0
