p_a,SpinGlass
0.0,-4.0
0.0,4.0
0.0,-4.0
0.0,4.0
0.0,-4.0
0.0,20.0
0.0,4.0
0.0,-0.0
0.0,-4.0
0.0,-8.0
0.0,-4.0
0.0,4.0
0.0,4.0
0.0,-4.0
0.0,8.0
0.0,4.0
0.0,-0.0
0.0,-4.0
0.0,-4.0
0.0,-8.0
0.0,-8.0
0.0,-0.0
0.0,-12.0
0.0,4.0
0.0,-8.0
0.0,-8.0
0.0,-0.0
0.0,-8.0
0.0,12.0
0.0,-8.0
0.0,-0.0
0.0,-4.0
0.0,12.0
0.0,-4.0
0.0,-4.0
0.0,4.0
0.0,-4.0
0.0,8.0
0.0,8.0
0.0,-12.0
0.0,-4.0
0.0,4.0
0.0,-12.0
0.0,-8.0
0.0,4.0
0.0,8.0
0.0,4.0
0.0,-0.0
0.0,-0.0
0.0,-12.0
0.0,20.0
0.0,-0.0
0.0,4.0
0.0,12.0
0.0,-0.0
0.0,-0.0
0.0,-8.0
0.0,-16.0
0.0,-12.0
0.0,4.0
0.0,8.0
0.0,8.0
0.0,-20.0
0.0,-8.0
0.0,4.0
0.0,-4.0
0.0,-0.0
0.0,-0.0
0.0,-4.0
0.0,-8.0
0.0,-4.0
0.0,-0.0
0.0,4.0
0.0,-8.0
0.0,-4.0
0.0,8.0
0.0,-0.0
0.0,-0.0
0.0,8.0
0.0,-8.0
0.0,-8.0
0.0,-12.0
0.0,-0.0
0.0,-0.0
0.0,-4.0
0.0,-12.0
0.0,8.0
0.0,-0.0
0.0,8.0
0.0,4.0
0.0,4.0
0.0,8.0
0.0,-8.0
0.0,-0.0
0.0,8.0
0.0,-4.0
0.0,-0.0
0.0,-0.0
0.0,-0.0
0.0,8.0
0.0,-4.0
0.0,-8.0
0.0,-12.0
0.0,-4.0
0.0,4.0
0.0,-8.0
0.0,-4.0
0.0,-8.0
0.0,-4.0
0.0,-0.0
0.0,4.0
0.0,-4.0
0.0,-16.0
0.0,16.0
0.0,8.0
0.0,-0.0
0.0,-16.0
0.0,4.0
0.0,8.0
0.0,-16.0
0.0,-28.0
0.0,4.0
0.0,-0.0
0.0,-16.0
0.0,-4.0
0.0,-4.0
0.0,8.0
0.0,4.0
0.0,8.0
0.0,-0.0
0.0,8.0
0.0,-12.0
0.0,-12.0
0.0,-8.0
0.0,4.0
0.0,-4.0
0.0,4.0
0.0,8.0
0.0,-16.0
0.0,4.0
0.0,-8.0
0.0,8.0
0.0,4.0
0.0,4.0
0.0,8.0
0.0,8.0
0.0,-4.0
0.0,-0.0
0.0,8.0
