p_a,Metric.SpinGlass
0.0,-8.0
0.0,-0.0
0.0,4.0
0.0,-0.0
0.0,-8.0
0.0,-0.0
0.0,-0.0
0.0,-0.0
0.0,-4.0
0.0,-4.0
0.0,-4.0
0.0,-4.0
0.0,-4.0
0.0,-4.0
0.0,12.0
0.0,-4.0
0.0,-4.0
0.0,-4.0
0.0,-0.0
0.0,12.0
0.0,8.0
0.0,-0.0
0.0,-4.0
0.0,8.0
0.0,-4.0
0.0,-0.0
0.0,-0.0
0.0,-0.0
0.0,-0.0
0.0,-0.0
0.0,-0.0
0.0,4.0
0.0,4.0
0.0,-8.0
0.0,-0.0
0.0,-0.0
0.0,-4.0
0.0,-0.0
0.0,-4.0
0.0,4.0
0.0,-0.0
0.0,-8.0
0.0,-4.0
0.0,-0.0
0.0,4.0
0.0,4.0
0.0,-8.0
0.0,-0.0
0.0,8.0
0.0,-4.0
0.0,-12.0
0.0,4.0
0.0,-0.0
0.0,-0.0
0.0,-4.0
0.0,-0.0
0.0,-0.0
0.0,-12.0
0.0,-0.0
0.0,-8.0
0.0,-4.0
0.0,-0.0
0.0,-12.0
0.0,-8.0
0.0,-4.0
0.0,-8.0
0.0,-0.0
0.0,-8.0
0.0,-0.0
0.0,-8.0
0.0,-4.0
0.0,-0.0
0.0,-4.0
0.0,8.0
0.0,-8.0
0.0,4.0
0.0,4.0
0.0,-4.0
0.0,-4.0
0.0,8.0
0.0,-0.0
0.0,-0.0
0.0,-8.0
0.0,-0.0
0.0,-4.0
0.0,-8.0
0.0,-0.0
0.0,-0.0
0.0,-0.0
0.0,-4.0
0.0,4.0
0.0,-8.0
0.0,-0.0
0.0,-4.0
0.0,12.0
0.0,4.0
0.0,-0.0
0.0,-4.0
0.0,-4.0
0.0,-0.0
0.0,-0.0
0.0,4.0
0.0,4.0
0.0,-4.0
0.0,-8.0
0.0,-0.0
0.0,4.0
0.0,-0.0
0.0,8.0
0.0,-8.0
0.0,-0.0
0.0,8.0
0.0,-0.0
0.0,-0.0
0.0,-0.0
0.0,-8.0
0.0,-8.0
0.0,-4.0
0.0,-8.0
0.0,-4.0
0.0,-16.0
0.0,8.0
0.0,-8.0
0.0,-4.0
0.0,4.0
0.0,4.0
0.0,-12.0
0.0,-4.0
0.0,-16.0
0.0,-8.0
0.0,-4.0
0.0,-12.0
0.0,-4.0
0.0,-0.0
0.0,-4.0
0.0,-0.0
0.0,-4.0
0.0,4.0
0.0,4.0
0.0,8.0
0.0,-0.0
0.0,-4.0
0.0,-0.0
0.0,-0.0
0.0,-0.0
0.0,4.0
0.0,-4.0
0.0,4.0
0.0,4.0
0.0,-0.0
0.0,-4.0
0.0,4.0
0.0,-0.0
0.0,-12.0
0.0,-12.0
0.0,4.0
0.0,-8.0
0.0,-0.0
0.0,-4.0
0.0,-8.0
0.0,-0.0
0.0,-4.0
0.0,-8.0
0.0,-0.0
0.0,8.0
0.0,-4.0
0.0,-12.0
0.0,-0.0
0.0,4.0
0.0,-8.0
0.0,-4.0
0.0,-0.0
0.0,-4.0
0.0,-8.0
0.0,4.0
0.0,-4.0
0.0,-8.0
0.0,-8.0
0.0,8.0
0.0,-4.0
0.0,-0.0
0.0,4.0
0.0,-12.0
0.0,4.0
0.0,-4.0
0.0,4.0
0.0,-0.0
0.0,-16.0
0.0,-4.0
0.0,8.0
0.0,-4.0
0.0,4.0
0.0,-4.0
0.0,12.0
0.0,-4.0
0.0,4.0
0.0,-4.0
0.0,-4.0
0.0,-12.0
0.0,-8.0
