energy,p_a
62.5,1.0
46.5,1.0
41.0,1.0
50.0,1.0
54.0,1.0
38.0,1.0
53.5,1.0
55.0,1.0
45.0,1.0
41.5,1.0
47.0,1.0
41.5,1.0
57.0,1.0
52.0,1.0
51.5,1.0
57.5,1.0
51.5,1.0
52.5,1.0
55.5,1.0
50.5,1.0
52.0,1.0
45.5,1.0
40.5,1.0
59.0,1.0
57.5,1.0
52.0,1.0
38.0,1.0
53.0,1.0
42.0,1.0
42.5,1.0
47.5,1.0
41.5,1.0
47.0,1.0
45.5,1.0
63.0,1.0
57.5,1.0
50.5,1.0
52.5,1.0
46.5,1.0
49.0,1.0
55.5,1.0
47.0,1.0
55.0,1.0
42.5,1.0
57.0,1.0
45.5,1.0
54.0,1.0
50.5,1.0
46.5,1.0
52.0,1.0
46.5,1.0
42.0,1.0
56.0,1.0
42.0,1.0
45.0,1.0
47.5,1.0
53.0,1.0
45.5,1.0
58.0,1.0
44.0,1.0
41.0,1.0
53.5,1.0
46.5,1.0
49.5,1.0
46.0,1.0
50.0,1.0
40.5,1.0
45.0,1.0
43.0,1.0
47.5,1.0
43.0,1.0
49.0,1.0
40.0,1.0
59.0,1.0
59.0,1.0
42.5,1.0
36.0,1.0
56.0,1.0
51.5,1.0
53.0,1.0
51.5,1.0
48.0,1.0
44.5,1.0
55.5,1.0
42.0,1.0
60.0,1.0
60.5,1.0
51.0,1.0
39.5,1.0
50.5,1.0
41.0,1.0
41.5,1.0
45.5,1.0
52.0,1.0
44.0,1.0
53.5,1.0
46.5,1.0
57.0,1.0
48.0,1.0
51.0,1.0
52.0,1.0
51.5,1.0
56.5,1.0
45.5,1.0
57.5,1.0
44.5,1.0
44.0,1.0
46.0,1.0
53.5,1.0
47.0,1.0
36.5,1.0
48.0,1.0
44.5,1.0
48.0,1.0
50.0,1.0
53.0,1.0
54.0,1.0
45.0,1.0
50.0,1.0
64.0,1.0
54.5,1.0
53.0,1.0
62.0,1.0
54.0,1.0
52.5,1.0
49.5,1.0
53.5,1.0
49.5,1.0
55.0,1.0
58.5,1.0
49.5,1.0
60.0,1.0
52.0,1.0
34.0,1.0
50.5,1.0
55.5,1.0
58.5,1.0
53.0,1.0
57.0,1.0
39.0,1.0
48.5,1.0
39.0,1.0
54.5,1.0
52.0,1.0
49.0,1.0
56.5,1.0
60.0,1.0
53.5,1.0
49.0,1.0
52.0,1.0
